algo,n_clusters,mean,sem
Algorithm1,1,0.0000,0.0000
Algorithm1,4,0.0000,0.0000
Algorithm1,8,0.6000,0.1633
Algorithm1,24,1.0000,0.0000
Ditto,1,1.0000,0.0000
Ditto,4,1.4000,0.2211
Ditto,8,3.0000,0.1491
Ditto,24,3.2000,0.1333
FedAvg,1,0.0000,0.0000
FedAvg,4,3.0000,0.0000
FedAvg,8,5.0000,0.1491
FedAvg,24,4.8000,0.2000
FedBN,1,0.0000,0.0000
FedBN,4,3.1000,0.1000
FedBN,8,5.6000,0.2211
FedBN,24,6.5000,0.2687
FedProx,1,0.0000,0.0000
FedProx,4,2.9000,0.1000
FedProx,8,5.0000,0.2108
FedProx,24,5.4000,0.3055
IFCA,1,0.1000,0.1000
IFCA,4,1.2000,0.1333
IFCA,8,2.1000,0.2333
IFCA,24,2.9000,0.3786
TopK (K=4),1,0.0000,0.0000
TopK (K=4),4,0.0000,0.0000
TopK (K=4),8,0.0000,0.0000
TopK (K=4),24,0.0000,0.0000
TopK (K=8),1,0.0000,0.0000
TopK (K=8),4,0.0000,0.0000
TopK (K=8),8,0.0000,0.0000
TopK (K=8),24,0.0000,0.0000
