algo,n_clusters,mean,sem
Algorithm1,1,0.584816,0.001560
Algorithm1,4,0.557513,0.001510
Algorithm1,8,0.492154,0.001399
Algorithm1,24,0.480658,0.001562
Ditto,1,0.668480,0.001423
Ditto,4,0.569167,0.001376
Ditto,8,0.516108,0.001963
Ditto,24,0.502804,0.001500
FedAvg,1,0.685978,0.001229
FedAvg,4,0.536817,0.001928
FedAvg,8,0.463738,0.001402
FedAvg,24,0.454933,0.001205
FedBN,1,0.677464,0.001906
FedBN,4,0.524875,0.000963
FedBN,8,0.454100,0.001714
FedBN,24,0.443079,0.001613
FedProx,1,0.684676,0.001180
FedProx,4,0.538621,0.001611
FedProx,8,0.464746,0.001932
FedProx,24,0.454758,0.000951
IFCA,1,0.684565,0.001165
IFCA,4,0.542379,0.010239
IFCA,8,0.455642,0.003537
IFCA,24,0.426446,0.003154
TopK (K=4),1,0.635717,0.001353
TopK (K=4),4,0.564846,0.001783
TopK (K=4),8,0.504596,0.001161
TopK (K=4),24,0.496292,0.001106
TopK (K=8),1,0.665815,0.000791
TopK (K=8),4,0.547850,0.001236
TopK (K=8),8,0.490988,0.001147
TopK (K=8),24,0.480783,0.001351
