iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.8333775078256925,0.42491671442985535,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.38241077214479446,0.46958333253860474,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.2375096638376514,0.49029168486595154,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.23372761718928814,0.4957084059715271,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.13549834683847925,0.5119166970252991,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.15578951896168292,0.5105833411216736,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.18828912382014096,0.5092084407806396,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.12182361636466037,0.518500030040741,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.06831418631675963,0.5350834131240845,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.13123370274358118,0.5240416526794434,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.05030550380858282,0.5365417003631592,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.07813363453412119,0.533583402633667,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.07006055553210899,0.5358749032020569,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.15075202818843536,0.5232917070388794,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.046318412331553795,0.5450000762939453,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.4971459871449042,0.46058332920074463,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.34725929362078506,0.4687916934490204,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.25030169387658435,0.48991677165031433,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.1672562718061575,0.4960833489894867,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.19494848682855567,0.48512494564056396,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.0702532478608191,0.5100001096725464,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.11041157966246828,0.49658331274986267,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.08297815681241143,0.5076251029968262,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.07560358819318935,0.5047083497047424,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.09359048692082676,0.4982083737850189,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.10231330126407556,0.4969583749771118,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.05391509707260411,0.5087500810623169,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.07276117389361995,0.49625009298324585,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.043164697626101166,0.5129166841506958,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.07643607769568916,0.5054584741592407,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,30,10
