iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.8032972365617752,0.4463750720024109,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
1,0.402032354225715,0.4782916009426117,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
2,0.3010396758715312,0.4917917251586914,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
3,0.25086570034424466,0.4886666536331177,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
4,0.17955428206672272,0.5092500448226929,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
5,0.1693070431550344,0.5179582834243774,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
6,0.11510222886378567,0.5269167423248291,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
7,0.12598149493957558,0.5265417098999023,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
8,0.08747101590658228,0.5303750038146973,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
9,0.08708271477371454,0.5313334465026855,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
10,0.05823518491039673,0.533500075340271,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
11,0.060246737130607166,0.5386250615119934,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
12,0.04943571759698292,0.5387500524520874,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
13,0.03854740919390073,0.5502917170524597,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
14,0.04143907934970533,0.5446251034736633,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
15,0.4199102682371934,0.4872499704360962,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
16,0.30637644545640796,0.48583337664604187,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
17,0.24463009058187404,0.49391669034957886,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
18,0.19601552417346588,0.49645838141441345,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
19,0.20576670513643572,0.49008333683013916,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
20,0.14938203274505213,0.505000114440918,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
21,0.08951254398562014,0.5102916955947876,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
22,0.13554034271510318,0.49712496995925903,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
23,0.08026065506661932,0.5079166889190674,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
24,0.09082608468209703,0.5107916593551636,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
25,0.09651239673257805,0.49375006556510925,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
26,0.0857789224634568,0.5061249732971191,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
27,0.07637964588745187,0.5005834102630615,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
28,0.05766346252251727,0.5075832605361938,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
29,0.05634770247464379,0.5032500624656677,24,4,500,1000,15,2,"(3, 32, 32)",10,0.01,0.99,8,4,uniform,1.0,30,10
