iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,1.0584265713890393,0.3147916793823242,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.3082233043387532,0.3773333728313446,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.32729834131896496,0.392666757106781,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.77680319113036,0.3954167366027832,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.2436897907561312,0.42712506651878357,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.08733507602786024,0.4599166512489319,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.04578770658311745,0.47275006771087646,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.26709085842594504,0.45887506008148193,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.03098468218619625,0.49145835638046265,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.050432617271629475,0.4906249940395355,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,0.0907364470185712,0.47583335638046265,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.09106680933230867,0.4762917459011078,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.024614297358008724,0.49483343958854675,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.08959396544378251,0.49687498807907104,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.04400242453751465,0.4996250569820404,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.013321719559219977,0.5099583864212036,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.012713677793120345,0.5115417242050171,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.010990875811936954,0.51479172706604,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.010311550771196684,0.5163750052452087,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.01112389851671954,0.5182917714118958,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.009221568664846322,0.5198751091957092,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.008291742861426124,0.5224583148956299,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.010977640049532056,0.5230000615119934,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.00819328537909314,0.5248749852180481,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.007396712394741674,0.5282083749771118,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.0072904431144706905,0.5281667113304138,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.006716587231494486,0.5291250348091125,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.006827296883178254,0.5261667370796204,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.006175172185370077,0.5286667346954346,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.005975175668330242,0.5298333764076233,24,3,500,1000,10,21,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
