iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.919647455215454,0.31808334589004517,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.6321572065353394,0.37920838594436646,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.5391638725996017,0.40162503719329834,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.509474903345108,0.41095834970474243,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.336875115831693,0.4397083520889282,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.2711550394694011,0.4522501230239868,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.1938355267047882,0.46050000190734863,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.1173988978068035,0.4745834469795227,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.058031032482783,0.47958338260650635,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.0002461324135463,0.4879167079925537,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
10,0.9639846806724867,0.48937496542930603,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
11,0.9079142759243647,0.4951666593551636,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.8817961389819781,0.49645841121673584,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.8239627331495285,0.5014583468437195,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.7783787076671919,0.5059583187103271,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
15,1.4569428861141205,0.4252500534057617,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
16,1.3259809042016666,0.44283339381217957,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
17,1.2436349565784137,0.4488750696182251,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
18,1.1590726748108864,0.4553750455379486,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
19,1.0990348309278488,0.4592083692550659,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
20,1.0403087958693504,0.46283334493637085,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.9732263485590616,0.46787500381469727,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.9310893168052038,0.47037503123283386,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.8834193572402,0.4700833261013031,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.8405647873878479,0.47008341550827026,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.7931188953419527,0.4754166603088379,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.7581086531281471,0.4779583215713501,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.7207146299382051,0.47845837473869324,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.6846739562849203,0.47837504744529724,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.6577596887946129,0.4792083501815796,24,4,500,1000,15,10,"(3, 32, 32)",10,0.03,0.99,30,10
