iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.920100837945938,0.2912916839122772,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7506786584854126,0.3452083468437195,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.5992160886526108,0.3787500560283661,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.5017604033152263,0.4071666896343231,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.4199254264434178,0.4193750321865082,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.5989342083533604,0.3878333270549774,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.5393756131331127,0.3998750150203705,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.4598409136136372,0.4090833365917206,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.3868044515450795,0.4163334369659424,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.3030519237120946,0.4267083406448364,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.2249020834763844,0.43258339166641235,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.172736292084058,0.44137507677078247,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.1324025864402454,0.44150012731552124,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0864499658346176,0.4461667239665985,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
14,1.0429942632714908,0.44591665267944336,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.9994923596580824,0.44758340716362,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.9535065094629923,0.44950002431869507,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8941796397169431,0.4573333263397217,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8799623673160871,0.4525000751018524,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8343706130981445,0.4543333649635315,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.7860431969165802,0.4607499837875366,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7775657499829928,0.45795831084251404,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7396386315425237,0.45641669631004333,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.7117123752832413,0.4578333795070648,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6866428380211195,0.4595417380332947,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6497772447764874,0.46137505769729614,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.623823132365942,0.4609166979789734,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.6081062269707521,0.46125003695487976,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5794166885316372,0.4618333578109741,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5522264478107294,0.46283337473869324,24,4,500,1000,5,12,"(3, 32, 32)",10,0.03,0.99,30,10
