iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.9213723838329315,0.31304168701171875,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.5989360958337784,0.38720834255218506,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.584776798884074,0.3920000493526459,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.3975381304820378,0.4330417513847351,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.3374533702929814,0.44579169154167175,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.2022233704725902,0.47558340430259705,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.1612895727157593,0.47979170083999634,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.0633603458603222,0.49616676568984985,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.0242021332184474,0.49795836210250854,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,0.9776569679379463,0.504666805267334,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,0.9116787711779276,0.5118333697319031,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,0.882423423230648,0.5109167098999023,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,0.8327343612909317,0.5182084441184998,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.7870902741948763,0.5215833783149719,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.7635749007264773,0.5236667394638062,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,1.513266588250796,0.421875,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,1.3576515689492226,0.4427917003631592,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,1.2737519790728886,0.4487916827201843,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,1.1740550622344017,0.4571250379085541,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,1.112773321568966,0.4607499837875366,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,1.0512934972842534,0.46370837092399597,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.9968876615166664,0.4687917232513428,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.9456029472251734,0.4719583988189697,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.9001954396565756,0.4749166667461395,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.8564919407169024,0.47687506675720215,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.819296677907308,0.4774583578109741,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.7814387964705626,0.4781249761581421,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.7415885056058565,0.4789583683013916,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.7027423543234667,0.48312506079673767,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.6750229100386301,0.4825000464916229,24,4,500,1000,15,18,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
