iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_shift_at,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_algo_n_clusters,algo_R,algo_R_local
0,1.7674155086278915,0.3398750424385071,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
1,1.1997512355446815,0.4399583041667938,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
2,0.9844412207603455,0.4646250903606415,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
3,0.8098939669628938,0.4827917218208313,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
4,0.6741862818598747,0.5002500414848328,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
5,1.0726854869474967,0.4387916326522827,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
6,0.8979726421336333,0.45629167556762695,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
7,0.8194019459187984,0.46116670966148376,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
8,0.6933180910224715,0.46670830249786377,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
9,0.6149853949124614,0.47341668605804443,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
10,0.5638403432288518,0.4749167561531067,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
11,0.5295087458410611,0.47329169511795044,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
12,0.4849526785934965,0.4774167239665985,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
13,0.4433269588820015,0.47841665148735046,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
14,0.39183653993920114,0.4819999933242798,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
15,0.36761486223743606,0.4829583764076233,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
16,0.33750754365852725,0.4838750958442688,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
17,0.31011392213016126,0.4854583740234375,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
18,0.28840110057111207,0.484375,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
19,0.26650451866832253,0.4857500493526459,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
20,0.24528278781993626,0.4867083728313446,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
21,0.22384408636329076,0.48879167437553406,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
22,0.21060111918874705,0.48833340406417847,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
23,0.1916927884449251,0.4895833432674408,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
24,0.1764440401069199,0.4878333508968353,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
25,0.16579580367639815,0.4892084002494812,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
26,0.15021187723323237,0.4893749952316284,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
27,0.13927807102057463,0.48983335494995117,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
28,0.1292977131670341,0.4897499978542328,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
29,0.11885260110041902,0.4904583692550659,24,4,500,1000,5,20,"(3, 32, 32)",10,0.03,0.99,4,,30,10
