iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,0.9108702863256136,0.405958354473114,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
1,0.436867721999685,0.4335833787918091,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
2,0.25149099342525005,0.44454169273376465,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
3,0.2565764730485777,0.447833389043808,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
4,0.16356933070346713,0.4578750729560852,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
5,0.1845695225832363,0.4635000228881836,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
6,0.0821281826744477,0.4764583110809326,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
7,0.11416305209665249,0.47429168224334717,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
8,0.06272046289329107,0.4794166088104248,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
9,0.14779899498292556,0.4725834131240845,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
10,0.12144192750565708,0.4748750627040863,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
11,0.12385609625683476,0.47450003027915955,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
12,0.09191056288545951,0.47425004839897156,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
13,0.06510906879945348,0.4867499768733978,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
14,0.032763564008443304,0.48983335494995117,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
15,0.06185115163680166,0.4854166507720947,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
16,0.06399620161391795,0.48529165983200073,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
17,0.04577377886259152,0.48887503147125244,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
18,0.03748946371100222,0.48745834827423096,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
19,0.026860620642158512,0.49270838499069214,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
20,0.06352787304786034,0.49016666412353516,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
21,0.05487803016634037,0.4919167160987854,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
22,0.030171609738317784,0.49379175901412964,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
23,0.020162833444677137,0.49887508153915405,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
24,0.045229011579067446,0.49579164385795593,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
25,0.04849996175228929,0.49516674876213074,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
26,0.045042862776123606,0.48908334970474243,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
27,0.025629125370566424,0.49654167890548706,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
28,0.00879890186964379,0.49695834517478943,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
29,0.05135556682216702,0.48629170656204224,24,4,500,1000,45.0,6,"(3, 32, 32)",10,0.01,0.99,8,30,10
