iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_lmbd
0,0.8592272674043974,0.3373333811759949,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
1,0.14107743402322134,0.41437506675720215,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
2,0.4455072882895668,0.39137500524520874,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
3,0.1065503612626344,0.4478750228881836,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
4,0.26452087665287155,0.4426249861717224,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
5,0.5532776629552245,0.46883338689804077,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
6,0.11189669882878661,0.49366676807403564,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
7,0.026531425925592583,0.5094583630561829,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
8,0.06839683834308137,0.5085833668708801,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
9,0.21167069444588074,0.5161250829696655,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
10,1.9867340331741918,0.5121251344680786,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
11,0.02178819275771578,0.5340417623519897,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
12,0.01737581565976143,0.5409584045410156,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
13,0.010906325789013257,0.5489583611488342,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
14,0.01096364533683906,0.5505000948905945,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
15,0.009920309258935353,0.5559583902359009,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
16,0.015947149329197902,0.5576250553131104,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
17,0.007924698002170771,0.5616251230239868,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
18,0.00771809999908631,0.5636666417121887,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
19,0.007277007059504588,0.5657083988189697,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
20,0.006697878746005396,0.567791759967804,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
21,0.006782332183017085,0.5670833587646484,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
22,0.006369779701344669,0.5700000524520874,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
23,0.005734289317236592,0.5712916851043701,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
24,0.005689298831081639,0.5722916722297668,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
25,0.006395982384371261,0.5726249814033508,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
26,0.005812726294000943,0.5760416984558105,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
27,0.00794483139179647,0.5742499828338623,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
28,0.004914305599716802,0.5765417218208313,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
29,0.004814027575775981,0.5778334140777588,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10,0.1
