iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,1.9816145996252696,0.2526250183582306,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.679912731051445,0.36250004172325134,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.5837461451689403,0.3863333463668823,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.416968936721484,0.4230833947658539,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.3327402472496033,0.4412083327770233,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.241299569606781,0.4592500329017639,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.1950005441904068,0.4617917239665985,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.1147877350449562,0.47241663932800293,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.0458706468343735,0.48395836353302,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
9,0.9788543432950974,0.4932500123977661,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
10,0.9413601234555244,0.49825000762939453,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
11,0.8854711130261421,0.502000093460083,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
12,0.8480112726489702,0.5062083601951599,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
13,0.8010210643212,0.5115000605583191,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.767250582575798,0.5139999389648438,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.7304259911179543,0.5164166688919067,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.6925559317072233,0.518541693687439,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.6499063322941462,0.5236250162124634,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.6253086005647978,0.5250000357627869,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.58956303820014,0.5272083878517151,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.5660344337423643,0.5271667242050171,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.5332802931467692,0.5293750166893005,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.5151557760934035,0.5289167165756226,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.48716871937115985,0.5311667323112488,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.47060801088809967,0.5302083492279053,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.4352479812999566,0.533708393573761,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.4144011003275712,0.5351666808128357,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.39577406520644826,0.5350000858306885,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.3703433846433957,0.5378750562667847,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.3497197243074576,0.5388333797454834,24,4,500,1000,0.0,5,"(3, 32, 32)",10,0.03,0.99,30,10
