iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local
0,2.0220228185256324,0.24508336186408997,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
1,1.7583490759134293,0.34012505412101746,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
2,1.6992612928152084,0.3569583296775818,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
3,1.6025331715742748,0.37391671538352966,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
4,1.5522681772708893,0.38612502813339233,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
5,1.4547062267859776,0.3997916877269745,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
6,1.3894012371699016,0.41045841574668884,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
7,1.332882155974706,0.41183340549468994,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
8,1.2556431144475937,0.42354172468185425,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
9,1.1856421182552974,0.4278333783149719,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
10,1.1605196396509807,0.4282916784286499,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
11,1.0979475229978561,0.4360416829586029,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
12,1.0755393678943317,0.43366676568984985,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
13,1.0141970838109653,0.43962499499320984,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
14,0.9739082405964533,0.44295835494995117,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
15,0.93346090366443,0.4435000419616699,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
16,0.894228513042132,0.44741666316986084,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
17,0.8718646466732025,0.44320839643478394,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
18,0.8251837665836016,0.4502916932106018,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
19,0.8231471553444862,0.44841670989990234,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
20,0.7836179609100024,0.44916674494743347,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
21,0.7330637524525324,0.4511250853538513,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
22,0.7091791033744812,0.45091670751571655,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
23,0.6906714141368866,0.4520833492279053,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
24,0.6627164892852306,0.45483338832855225,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
25,0.6472252445916334,0.45354169607162476,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
26,0.5979160517454147,0.4590000510215759,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
27,0.5885065980255604,0.45745837688446045,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
28,0.5546917021274567,0.45883333683013916,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
29,0.5311311731735865,0.45595836639404297,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10
