iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_R,algo_R_local,algo_mu
0,1.96160692969958,0.2667500078678131,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
1,1.7146703203519185,0.34962499141693115,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
2,1.6948113143444061,0.35475003719329834,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
3,1.5759095797936122,0.37845832109451294,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
4,1.479981337984403,0.40383338928222656,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
5,1.431974321603775,0.4044167399406433,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
6,1.310808042685191,0.4268333911895752,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
7,1.28572383026282,0.42245838046073914,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
8,1.2157515188058217,0.4316250681877136,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
9,1.1536520247658093,0.4382084012031555,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
10,1.1141020928819974,0.43654173612594604,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
11,1.066815863053004,0.4397500157356262,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
12,1.0567675555745761,0.44054171442985535,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
13,0.9736037030816078,0.44695836305618286,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
14,0.933902382850647,0.44875001907348633,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
15,0.9015446603298187,0.4480000138282776,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
16,0.8620735431710879,0.4515000581741333,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
17,0.8452109644810358,0.4494166970252991,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
18,0.7997509489456812,0.45337504148483276,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
19,0.7734860753019651,0.453208327293396,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
20,0.7407609075307846,0.4566251039505005,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
21,0.7064319178462029,0.45591676235198975,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
22,0.6813383822639784,0.45679163932800293,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
23,0.655277126779159,0.45633336901664734,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
24,0.6280809752643108,0.4580833911895752,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
25,0.6073506673177084,0.4581250548362732,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
26,0.5808237741390864,0.45920833945274353,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
27,0.5537314526736736,0.4595416784286499,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
28,0.5282303628822168,0.46116673946380615,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
29,0.5047783168653647,0.4610000252723694,24,4,500,1000,60.0,2,"(3, 32, 32)",10,0.03,0.99,30,10,0.01
