iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_n_clusters,algo_R,algo_R_local
0,1.844868150850137,0.29516667127609253,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
1,1.371437980948637,0.38229167461395264,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
2,1.2490884801372886,0.39404165744781494,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
3,1.0654759975732304,0.4151250123977661,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
4,0.9281963935160699,0.42283332347869873,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
5,0.8347933289090482,0.43258339166641235,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
6,0.7560001411475241,0.432041734457016,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
7,0.6576528187142685,0.439750075340271,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
8,0.6147561797261005,0.43812498450279236,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
9,0.5232013218434682,0.44058340787887573,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
10,0.47789670214115176,0.43924999237060547,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
11,0.42412759487342555,0.44804173707962036,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
12,0.382540408463683,0.4462916851043701,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
13,0.3427143410347829,0.44437503814697266,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
14,0.30841497790728073,0.4449583888053894,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
15,0.28559282715044293,0.4450834393501282,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
16,0.25164370040389866,0.4464167356491089,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
17,0.22670242716412758,0.4459167420864105,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
18,0.1980357289115394,0.44816669821739197,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
19,0.17563495843690666,0.4480000138282776,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
20,0.1551565879926784,0.45129165053367615,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
21,0.13687033771930146,0.45112499594688416,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
22,0.12115833560771232,0.4502917230129242,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
23,0.1134806302979996,0.45100003480911255,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
24,0.09837865737790707,0.4529167115688324,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
25,0.08504891807630581,0.45087504386901855,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
26,0.07714172321599715,0.4509584307670593,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
27,0.07172945666631374,0.4519166946411133,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
28,0.06285352639073001,0.4515833854675293,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
29,0.06600459924932996,0.453583300113678,24,4,500,1000,30.0,5,"(3, 32, 32)",10,0.03,0.99,4,30,10
