algo,sigma,mean,sem
Algorithm1,0,0.0000,0.0000
Algorithm1,15,0.1000,0.1000
Algorithm1,30,0.3000,0.1528
Algorithm1,45,0.4000,0.1633
Algorithm1,60,0.6000,0.1633
Ditto,0,1.6000,0.2667
Ditto,15,3.1000,0.1795
Ditto,30,3.0000,0.1491
Ditto,45,3.1000,0.1795
Ditto,60,3.4000,0.1633
FedAvg,0,2.9000,0.1000
FedAvg,15,4.2000,0.1333
FedAvg,30,4.7000,0.1528
FedAvg,45,4.3000,0.2134
FedAvg,60,4.5000,0.1667
FedBN,0,3.0000,0.0000
FedBN,15,4.8000,0.1333
FedBN,30,5.1000,0.1795
FedBN,45,4.9000,0.2769
FedBN,60,5.3000,0.2134
FedProx,0,2.9000,0.1000
FedProx,15,4.2000,0.1333
FedProx,30,4.9000,0.1795
FedProx,45,4.1000,0.1795
FedProx,60,4.2000,0.2000
IFCA,0,1.2000,0.1333
IFCA,15,1.4000,0.2211
IFCA,30,2.1000,0.1795
IFCA,45,1.9000,0.1000
IFCA,60,1.9000,0.1795
TopK (K=4),15,0.0000,0.0000
TopK (K=4),30,0.0000,0.0000
TopK (K=4),45,0.0000,0.0000
TopK (K=4),60,0.0000,0.0000
TopK (K=8),15,0.0000,0.0000
TopK (K=8),30,0.0000,0.0000
TopK (K=8),45,0.0000,0.0000
TopK (K=8),60,0.0000,0.0000
