algo,sigma,mean,sem
Algorithm1,0,0.557817,0.001510
Algorithm1,15,0.505229,0.003047
Algorithm1,30,0.488425,0.000901
Algorithm1,45,0.490417,0.001505
Algorithm1,60,0.486042,0.002106
Ditto,0,0.568825,0.001585
Ditto,15,0.521817,0.002603
Ditto,30,0.506250,0.001741
Ditto,45,0.507375,0.002155
Ditto,60,0.507546,0.001344
FedAvg,0,0.538279,0.001470
FedAvg,15,0.480004,0.002807
FedAvg,30,0.462808,0.001231
FedAvg,45,0.463908,0.002212
FedAvg,60,0.465429,0.001985
FedBN,0,0.525817,0.001851
FedBN,15,0.470617,0.002292
FedBN,30,0.452975,0.002385
FedBN,45,0.457938,0.002042
FedBN,60,0.458742,0.001274
FedProx,0,0.535608,0.001682
FedProx,15,0.479350,0.002514
FedProx,30,0.464954,0.001839
FedProx,45,0.465921,0.001714
FedProx,60,0.467263,0.001307
IFCA,0,0.534617,0.007795
IFCA,15,0.493346,0.005220
IFCA,30,0.469600,0.003851
IFCA,45,0.472046,0.003732
IFCA,60,0.476113,0.003442
TopK (K=4),15,0.515617,0.002267
TopK (K=4),30,0.502267,0.000880
TopK (K=4),45,0.502800,0.001962
TopK (K=4),60,0.503442,0.000878
TopK (K=8),15,0.501229,0.002251
TopK (K=8),30,0.487471,0.000779
TopK (K=8),45,0.488888,0.001857
TopK (K=8),60,0.489767,0.001100
