iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.8062776600321134,0.45508334040641785,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
1,0.4256767990688483,0.47670838236808777,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
2,0.29372435559829074,0.4932500720024109,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
3,0.22133081561575332,0.5057500004768372,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
4,0.19116176975270113,0.5120832920074463,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
5,0.15530355119456848,0.5247500538825989,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
6,0.12443262943997979,0.5337499976158142,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
7,0.11491980527838071,0.5326250791549683,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
8,0.09868408755088846,0.5342917442321777,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
9,0.09915064073478182,0.5361250638961792,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
10,0.10135150949160258,0.5349166393280029,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
11,0.0647856689368685,0.5413333773612976,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
12,0.059908804638932146,0.5450417399406433,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
13,0.05102387450945874,0.5468333959579468,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
14,0.044312118630235396,0.5542500019073486,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
15,0.03325797792058438,0.5527083873748779,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
16,0.07468366421138246,0.5436667203903198,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
17,0.04951314286639293,0.549791693687439,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
18,0.05274240777362138,0.5464166402816772,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
19,0.027684893265056115,0.5493333339691162,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
20,0.0422588165771837,0.5525417327880859,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
21,0.027148408039162557,0.5566667318344116,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
22,0.027515537881602842,0.5575417280197144,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
23,0.019508118585993845,0.5550833344459534,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
24,0.0340480639715679,0.5444583892822266,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
25,0.01563371908074866,0.5547500848770142,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
26,0.023867298325058073,0.55162513256073,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
27,0.026603670228117455,0.5438750386238098,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
28,0.024679646361619234,0.5515416860580444,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
29,0.01980071540068214,0.5502917170524597,24,4,500,1000,0.0,0,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
