iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.7796526898940405,0.4645833373069763,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
1,0.39782578373948735,0.4957500100135803,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
2,0.2445596425483624,0.5159584283828735,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
3,0.20806346430132786,0.5251667499542236,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
4,0.10934794771795471,0.5389167070388794,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
5,0.09831316722556949,0.5444583892822266,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
6,0.0855110021463285,0.5491250157356262,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
7,0.0672727805795148,0.5500000715255737,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
8,0.06302095445183416,0.5575000643730164,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
9,0.05453007466470202,0.5608334541320801,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
10,0.0692181292688474,0.5569584369659424,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
11,0.04206348749964187,0.5639583468437195,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
12,0.02514634558853383,0.5680417418479919,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
13,0.0327056601527147,0.5655416250228882,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
14,0.04616483500770604,0.5664166808128357,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
15,0.030518152634613216,0.5627083778381348,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
16,0.02435054104231919,0.5607083439826965,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
17,0.020046346782085795,0.5609999895095825,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
18,0.020534430902140837,0.5674583911895752,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
19,0.037549390263545014,0.5595417618751526,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
20,0.02872504323992568,0.5671667456626892,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
21,0.025764613965293393,0.5630416870117188,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
22,0.012253564898855984,0.562583327293396,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
23,0.014656194029763961,0.5626250505447388,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
24,0.010398548377755409,0.5636250972747803,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
25,0.021480777591932565,0.5555000305175781,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
26,0.017573579020487767,0.5584583282470703,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
27,0.004792168915931446,0.5629584193229675,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
28,0.011455199584209671,0.5586249828338623,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
29,0.023070164868840948,0.5525833964347839,24,4,500,1000,0.0,3,"(3, 32, 32)",10,0.01,0.99,8,4,reward,1.0,30,10
