iter,loss_mean,accuracy,data_n_clients,data_n_clusters,data_n_samples,data_n_samples_test,data_sigma,data_seed,model_input_shape,model_n_classes,algo_lrate,algo_lrate_decay,algo_S,algo_K,algo_weighting,algo_temperature,algo_R,algo_R_local
0,0.9506141617894173,0.4238750636577606,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
1,0.5422716600199541,0.43916672468185425,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
2,0.3904828242957592,0.4515000283718109,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
3,0.31353913868467015,0.4590833783149719,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
4,0.270504605025053,0.4645000398159027,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
5,0.22923482488840818,0.468291699886322,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
6,0.1926868880788485,0.4720000624656677,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
7,0.16702059749513865,0.4756249785423279,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
8,0.1377989531805118,0.47695836424827576,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
9,0.12229243557279308,0.4801250398159027,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
10,0.11710090547179182,0.4828333556652069,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
11,0.10281915217638016,0.48600003123283386,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
12,0.08150946954265237,0.4903750419616699,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
13,0.09474392607808113,0.48404163122177124,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
14,0.07396395364776254,0.48629170656204224,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
15,0.07745764846913517,0.48879167437553406,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
16,0.0797090248670429,0.48754167556762695,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
17,0.06107622121150295,0.4896666407585144,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
18,0.05673771242921551,0.48895835876464844,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
19,0.04930237494409084,0.4882916212081909,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
20,0.04598084844959279,0.48512503504753113,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
21,0.04493298032321036,0.4896667003631592,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
22,0.03286510721469919,0.49487507343292236,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
23,0.034428987632660814,0.4891666769981384,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
24,0.037532078412671886,0.4909583032131195,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
25,0.035081390446672835,0.4883333444595337,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
26,0.02669329793813328,0.4915834069252014,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
27,0.021601904397054266,0.48866671323776245,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
28,0.031806498242076486,0.486750066280365,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
29,0.01820753621480738,0.4855416417121887,24,4,500,1000,60.0,3,"(3, 32, 32)",10,0.01,0.99,8,8,reward,1.0,30,10
