iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
0,84.14258,92.34752655029297,9.28331470489502,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
1,72.626625,84.15375518798828,8.465984344482422,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
2,62.69948,76.98218536376953,7.750742435455322,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
3,54.437733,70.49266815185547,7.105246543884277,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
4,47.37021,64.6747055053711,6.524222373962402,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
5,41.244953,59.455379486083984,6.002607345581055,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
6,36.054615,54.84690856933594,5.541143417358398,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
7,31.586365,50.64287185668945,5.118359088897705,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
8,27.75433,46.878543853759766,4.740172863006592,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
9,24.458313,43.408939361572266,4.39118766784668,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
10,21.584524,40.33952713012695,4.08107328414917,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
11,19.106339,37.55567932128906,3.800445556640625,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
12,16.961634,34.95197677612305,3.5383591651916504,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
13,15.069256,32.64348220825195,3.305479049682617,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
14,13.440832,30.45615005493164,3.0854406356811523,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
15,11.995062,28.46942138671875,2.8836824893951416,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
16,10.725312,26.657007217407227,2.700166940689087,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
17,9.635498,24.95772933959961,2.528275728225708,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
18,8.663991,23.417644500732422,2.3715896606445312,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
19,7.8009734,21.954627990722656,2.222669839859009,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
20,7.0339346,20.588502883911133,2.082807779312134,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
21,6.350501,19.3449764251709,1.9563572406768799,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
22,5.7469964,18.171907424926758,1.8365428447723389,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
23,5.2039723,17.10037612915039,1.726743221282959,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
24,4.7286305,16.111270904541016,1.6253809928894043,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
25,4.304957,15.18450927734375,1.5304497480392456,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
26,3.9271321,14.379131317138672,1.4474259614944458,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
27,3.5910254,13.57879638671875,1.3646571636199951,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
28,3.2836623,12.841193199157715,1.288495659828186,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
29,3.0059152,12.13857650756836,1.2156109809875488,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
30,2.75823,11.483522415161133,1.1477981805801392,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
31,2.5349555,10.828897476196289,1.080113410949707,3,150,10,500,10,0,0,10,False,0.01,30,1500,1
