iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,55.61574770609538,7.075620174407959,71.55838012695312,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
1,32.9592603969574,5.138286113739014,51.90018844604492,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
2,20.952474705378215,3.9319405555725098,39.766807556152344,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
3,13.94817060470581,3.078380584716797,31.233041763305664,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
4,9.325077729225159,2.4095568656921387,24.601600646972656,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
5,6.634951713085175,1.9655513763427734,20.166160583496094,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
6,4.980002477566401,1.6162197589874268,16.698671340942383,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
7,3.8497237330675125,1.358152985572815,14.138958930969238,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
8,3.1443243410189945,1.1680420637130737,12.224262237548828,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
9,2.46506944000721,0.9968113303184509,10.516722679138184,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
10,2.248486345211665,0.907571017742157,9.653724670410156,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
11,2.0108348506689073,0.8007291555404663,8.601448059082031,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
12,1.7192665620644887,0.7080284953117371,7.716754913330078,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
13,1.6901374300320944,0.6466301679611206,7.074529647827148,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
14,1.6648610205451648,0.6033962965011597,6.646607875823975,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
15,1.4773945698142052,0.5538575649261475,6.173809051513672,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
16,1.3897452838222186,0.5065082907676697,5.7146430015563965,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
17,1.344481042176485,0.47715678811073303,5.414656162261963,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
18,1.2435864199201265,0.44510042667388916,5.1119256019592285,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
19,1.2458450134595236,0.40865305066108704,4.760461807250977,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
20,1.298012056797743,0.4024880528450012,4.728020191192627,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
21,1.2363228725393614,0.37248504161834717,4.441553115844727,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
22,1.2390489358703296,0.3684373199939728,4.427149772644043,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
23,1.0823559433718521,0.3450426459312439,4.198538303375244,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
24,1.1285224756598473,0.36227214336395264,4.372836112976074,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
25,1.1546463868021966,0.3495599329471588,4.240969657897949,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,5
