iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,34.94972516377767,5.625019550323486,56.70741653442383,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
1,15.60939453125,3.4974560737609863,35.41548538208008,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
2,8.524172467390697,2.3811566829681396,24.268817901611328,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
3,5.8224414769808455,1.8145695924758911,18.69052505493164,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
4,3.975333784818649,1.3845384120941162,14.344718933105469,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
5,2.8966946617762246,1.0613049268722534,11.19384479522705,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
6,2.3884495349725086,0.8444337248802185,9.072014808654785,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
7,1.8874479215343793,0.6561678051948547,7.241997241973877,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
8,1.628668234994014,0.5502592325210571,6.18568229675293,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
9,1.6239646735290687,0.49186936020851135,5.559287071228027,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
10,1.3189437586069106,0.3975052535533905,4.643310070037842,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
11,1.4354941583176455,0.38709139823913574,4.542124271392822,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
12,1.4213822655876478,0.378002792596817,4.509823322296143,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
13,1.3174587927758694,0.3755117654800415,4.513641357421875,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
14,1.2835208912193776,0.3234165608882904,3.989954948425293,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
15,1.141805288841327,0.28398874402046204,3.610642194747925,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
16,1.3320821775744358,0.2958013117313385,3.732478618621826,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
17,1.336457480142514,0.32588741183280945,4.0854291915893555,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
18,1.2831889473398526,0.2840512692928314,3.674964189529419,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
19,1.3291585341592629,0.29499924182891846,3.803480386734009,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
20,1.331236551751693,0.28869006037712097,3.7574658393859863,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
21,1.73392577663064,0.3401714563369751,4.21601676940918,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
22,1.7050594785312811,0.30627554655075073,3.848872184753418,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
23,1.671298320715626,0.3176564574241638,3.9336211681365967,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
24,1.5816309626897176,0.296459436416626,3.7259087562561035,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
25,1.3392710850636165,0.2534319758415222,3.303882122039795,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
26,1.3448139725625514,0.25986820459365845,3.412533760070801,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
27,1.9196314318478107,0.3440481722354889,4.264921188354492,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
28,1.5876099427044392,0.3121810853481293,3.915346384048462,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
29,1.5733139976362387,0.3097269833087921,3.9157304763793945,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
30,1.4438320297499498,0.32524374127388,4.075361251831055,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
31,1.285806442052126,0.2727884352207184,3.537930965423584,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
32,1.0226817392061154,0.23283402621746063,3.1175317764282227,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
33,1.0147726981341838,0.2217540293931961,2.9926822185516357,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
34,1.34474526638786,0.2623729705810547,3.400163412094116,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
35,1.3396409665544828,0.2647109031677246,3.379173755645752,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
36,1.2076081261783838,0.24568746984004974,3.2080130577087402,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
37,1.4995924310386182,0.2717580795288086,3.452000379562378,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
38,1.3302288583169382,0.24626269936561584,3.224735975265503,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
39,1.449515630279978,0.24929513037204742,3.2415285110473633,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
40,1.3521999794493118,0.27015331387519836,3.465555429458618,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
41,1.14693662400047,0.24455547332763672,3.236093759536743,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
42,1.2388248330106337,0.2577756345272064,3.3794023990631104,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
43,1.3356922987103461,0.2574881911277771,3.426558494567871,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
44,1.2959787191450596,0.2700633108615875,3.519747734069824,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
45,1.4349662246803443,0.2871244549751282,3.6657910346984863,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
46,1.5956303247312704,0.285654217004776,3.669848680496216,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
47,1.4898247967660427,0.29730328917503357,3.778687000274658,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
48,1.2303047048548856,0.26049384474754333,3.4275598526000977,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
49,1.4727922256787618,0.275857150554657,3.587613105773926,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
50,1.3167702723418673,0.23160383105278015,3.1384191513061523,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
51,1.4910910738259553,0.2651868760585785,3.470958709716797,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
52,1.5307844696193933,0.2876976728439331,3.763880729675293,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
53,1.3698139482736587,0.28278645873069763,3.682208299636841,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
54,1.4535207424064478,0.30398067831993103,3.8681139945983887,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
55,1.3320688944061596,0.29156816005706787,3.724475145339966,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
56,1.3817108471691608,0.28805598616600037,3.671379804611206,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
57,1.5039150097221137,0.28634482622146606,3.6738266944885254,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
58,1.40886451544861,0.2922341227531433,3.72151255607605,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
59,1.4491331055760384,0.31554120779037476,3.966214656829834,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
60,1.4630695465703805,0.32777297496795654,4.085716724395752,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
61,1.405346169223388,0.30057764053344727,3.792921304702759,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
62,1.2810109334190687,0.29041409492492676,3.664235830307007,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
63,1.515711401651303,0.2920892834663391,3.691988706588745,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
64,1.530824435899655,0.3150116503238678,3.9025485515594482,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
65,1.5874528274685145,0.32567712664604187,4.024453639984131,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
66,1.5274582798033953,0.30061936378479004,3.8004188537597656,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
67,1.5368372683227063,0.2932754456996918,3.729224920272827,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
68,1.5083601302901903,0.3142126500606537,3.9081079959869385,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
69,1.331326640297969,0.2908494174480438,3.6995911598205566,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
70,1.1253234363098938,0.24277275800704956,3.2074332237243652,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
71,1.18547208994627,0.24266640841960907,3.1674070358276367,3,150,10,500,10,0,0,False,10,False,0.01,1,5,300,10
