iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,84.13425,92.25415802001953,9.285982131958008,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
1,72.56368,83.93315887451172,8.45701789855957,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
2,62.7567,76.74174499511719,7.738301753997803,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
3,54.438572,70.41735076904297,7.102445602416992,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
4,47.346554,64.54672241210938,6.513728618621826,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
5,41.19959,59.265106201171875,5.984316349029541,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
6,35.991756,54.682708740234375,5.525104522705078,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
7,31.544928,50.50088882446289,5.105910778045654,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
8,27.69634,46.70766067504883,4.7252397537231445,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
9,24.391241,43.27642822265625,4.379702568054199,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
10,21.575922,40.20386505126953,4.071119785308838,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
11,19.106234,37.35649490356445,3.7835376262664795,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
12,16.928484,34.7225227355957,3.518005132675171,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
13,15.072201,32.369754791259766,3.280902147293091,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
14,13.44405,30.199060440063477,3.0603549480438232,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
15,12.004795,28.28942108154297,2.865718126296997,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
16,10.751801,26.44816017150879,2.67860746383667,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
17,9.638439,24.743606567382812,2.505953311920166,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
18,8.647362,23.22728157043457,2.350883960723877,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
19,7.7883816,21.78620719909668,2.2041127681732178,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
20,7.0284677,20.4527530670166,2.068103790283203,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
21,6.3462286,19.248769760131836,1.9451802968978882,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
22,5.7359495,18.072200775146484,1.8245558738708496,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
23,5.192063,17.017786026000977,1.7159998416900635,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
24,4.7141113,16.024568557739258,1.6139686107635498,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
25,4.2922072,15.11043643951416,1.5201739072799683,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
26,3.9127116,14.280314445495605,1.4348810911178589,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
27,3.5747616,13.492021560668945,1.353571891784668,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
28,3.272803,12.73017406463623,1.2753405570983887,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
29,2.999945,12.023216247558594,1.2023465633392334,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
30,2.7552571,11.361111640930176,1.1339929103851318,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
31,2.535359,10.762042999267578,1.0718940496444702,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
32,2.3396308,10.195691108703613,1.0130114555358887,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
33,2.161837,9.65932559967041,0.9573611617088318,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
34,2.0001924,9.162744522094727,0.905811071395874,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
35,1.8540188,8.734124183654785,0.8607380390167236,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
36,1.7208571,8.294951438903809,0.8147622346878052,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
37,1.6006494,7.880833625793457,0.7710261940956116,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
38,1.4905128,7.511075019836426,0.7319635152816772,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
39,1.390546,7.152268409729004,0.6940809488296509,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
40,1.2994192,6.812595367431641,0.6581721901893616,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
41,1.2174104,6.500442981719971,0.6253113746643066,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
42,1.1429613,6.1978631019592285,0.5935001373291016,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
43,1.0755296,5.930291175842285,0.5650266408920288,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
44,1.0131434,5.651298522949219,0.5353545546531677,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
45,0.9551718,5.4120869636535645,0.5096278190612793,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
46,0.9028841,5.186873912811279,0.4854842722415924,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
47,0.8539836,4.977670192718506,0.463095098733902,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
48,0.8077762,4.772512912750244,0.44123053550720215,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
49,0.7672135,4.583343982696533,0.42078498005867004,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
50,0.7293245,4.3994855880737305,0.40114349126815796,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
51,0.6955744,4.229964256286621,0.3829898536205292,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
52,0.66367584,4.075261116027832,0.3662385046482086,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
53,0.6347143,3.928147792816162,0.35028350353240967,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
54,0.60793483,3.789547920227051,0.33519548177719116,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
55,0.58252877,3.6689133644104004,0.3220962882041931,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
56,0.55927014,3.5457515716552734,0.30863308906555176,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
57,0.5376865,3.4368464946746826,0.29680514335632324,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
58,0.5179416,3.3238773345947266,0.284536749124527,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
59,0.49964878,3.2319955825805664,0.27438971400260925,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
60,0.4829006,3.1423287391662598,0.26472610235214233,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
61,0.46652913,3.053401470184326,0.25485238432884216,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
62,0.4513714,2.9766159057617188,0.24623899161815643,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
63,0.43794933,2.9054245948791504,0.23828774690628052,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
64,0.4249379,2.841427803039551,0.2310650646686554,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,1
