iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R,algo_R_local
0,62.18786,80.07427978515625,8.072330474853516,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
1,41.417767,65.75886535644531,6.636682510375977,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
2,28.698559,55.479618072509766,5.604686260223389,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
3,20.637592,47.74363708496094,4.826113224029541,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
4,15.318092,41.82647705078125,4.227761268615723,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
5,11.6955,37.06639099121094,3.746846914291382,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
6,9.146911,33.166786193847656,3.351557970046997,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
7,7.3020744,29.854671478271484,3.0153043270111084,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
8,5.94228,27.115671157836914,2.7359066009521484,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
9,4.9054775,24.68317985534668,2.487640619277954,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
10,4.104341,22.58498191833496,2.273040294647217,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
11,3.4727437,20.771543502807617,2.088123321533203,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
12,2.9713724,19.174901962280273,1.9254544973373413,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
13,2.5618317,17.70619773864746,1.774425745010376,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
14,2.2260926,16.38047218322754,1.6379094123840332,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
15,1.9470206,15.225235939025879,1.518311619758606,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
16,1.713444,14.1591215133667,1.4091012477874756,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
17,1.5189655,13.226981163024902,1.3123689889907837,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
18,1.3531188,12.417926788330078,1.2287253141403198,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
19,1.2116944,11.653136253356934,1.1491888761520386,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
20,1.0908824,10.922531127929688,1.0739798545837402,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
21,0.9863166,10.279790878295898,1.00736403465271,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
22,0.89717275,9.684843063354492,0.9459448456764221,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
23,0.8173145,9.117998123168945,0.8867558240890503,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
24,0.74740356,8.605040550231934,0.8328028321266174,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
25,0.687969,8.158402442932129,0.7862576246261597,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
26,0.6352103,7.730349540710449,0.7415916919708252,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
27,0.58868104,7.342294216156006,0.7007176876068115,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
28,0.54858613,6.990113258361816,0.6637312173843384,3,150,10,500,10,0,0,10,False,0.01,30,1500,5
