iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,90.66303,95.3451919555664,9.584864616394043,3,150,10,500,10,0,10,False,0.01,30,1500
1,84.514275,90.11797332763672,9.065281867980957,3,150,10,500,10,0,10,False,0.01,30,1500
2,78.80569,85.14031982421875,8.564974784851074,3,150,10,500,10,0,10,False,0.01,30,1500
3,73.54197,80.5138168334961,8.103524208068848,3,150,10,500,10,0,10,False,0.01,30,1500
4,68.67313,76.07286834716797,7.659670352935791,3,150,10,500,10,0,10,False,0.01,30,1500
5,64.05896,72.05892944335938,7.258659839630127,3,150,10,500,10,0,10,False,0.01,30,1500
6,59.78124,68.09862518310547,6.863897323608398,3,150,10,500,10,0,10,False,0.01,30,1500
7,55.902565,64.67510223388672,6.521206378936768,3,150,10,500,10,0,10,False,0.01,30,1500
8,52.32424,61.26563262939453,6.180674076080322,3,150,10,500,10,0,10,False,0.01,30,1500
9,48.93663,58.079063415527344,5.861501693725586,3,150,10,500,10,0,10,False,0.01,30,1500
10,45.736496,55.10184097290039,5.56331205368042,3,150,10,500,10,0,10,False,0.01,30,1500
11,42.81646,52.30556869506836,5.282558441162109,3,150,10,500,10,0,10,False,0.01,30,1500
12,40.04692,49.49259567260742,5.000873565673828,3,150,10,500,10,0,10,False,0.01,30,1500
13,37.52262,46.984500885009766,4.750418663024902,3,150,10,500,10,0,10,False,0.01,30,1500
14,35.117374,44.536720275878906,4.505309581756592,3,150,10,500,10,0,10,False,0.01,30,1500
15,32.914608,42.38372039794922,4.288754940032959,3,150,10,500,10,0,10,False,0.01,30,1500
16,30.85711,40.2982063293457,4.078165054321289,3,150,10,500,10,0,10,False,0.01,30,1500
17,28.910755,38.33828353881836,3.879434823989868,3,150,10,500,10,0,10,False,0.01,30,1500
18,27.086754,36.380409240722656,3.682037830352783,3,150,10,500,10,0,10,False,0.01,30,1500
19,25.396069,34.60453796386719,3.5020370483398438,3,150,10,500,10,0,10,False,0.01,30,1500
20,23.818588,32.87518310546875,3.3276782035827637,3,150,10,500,10,0,10,False,0.01,30,1500
21,22.385843,31.251943588256836,3.164315938949585,3,150,10,500,10,0,10,False,0.01,30,1500
22,20.978691,29.725692749023438,3.01145601272583,3,150,10,500,10,0,10,False,0.01,30,1500
23,19.67622,28.2340145111084,2.860759973526001,3,150,10,500,10,0,10,False,0.01,30,1500
24,18.46489,26.776622772216797,2.714296817779541,3,150,10,500,10,0,10,False,0.01,30,1500
25,17.34207,25.51373863220215,2.5863053798675537,3,150,10,500,10,0,10,False,0.01,30,1500
26,16.296286,24.315570831298828,2.4645979404449463,3,150,10,500,10,0,10,False,0.01,30,1500
27,15.288971,23.175642013549805,2.3488547801971436,3,150,10,500,10,0,10,False,0.01,30,1500
28,14.379991,22.045143127441406,2.234724760055542,3,150,10,500,10,0,10,False,0.01,30,1500
29,13.527408,21.014617919921875,2.130046844482422,3,150,10,500,10,0,10,False,0.01,30,1500
30,12.736284,20.053071975708008,2.0325605869293213,3,150,10,500,10,0,10,False,0.01,30,1500
31,11.968306,19.12360382080078,1.9378623962402344,3,150,10,500,10,0,10,False,0.01,30,1500
32,11.264422,18.208030700683594,1.8450469970703125,3,150,10,500,10,0,10,False,0.01,30,1500
33,10.621584,17.37371826171875,1.7595752477645874,3,150,10,500,10,0,10,False,0.01,30,1500
34,9.997341,16.553817749023438,1.6751660108566284,3,150,10,500,10,0,10,False,0.01,30,1500
35,9.4186325,15.82271957397461,1.5996819734573364,3,150,10,500,10,0,10,False,0.01,30,1500
36,8.877295,15.109233856201172,1.5261609554290771,3,150,10,500,10,0,10,False,0.01,30,1500
37,8.358917,14.469063758850098,1.4606163501739502,3,150,10,500,10,0,10,False,0.01,30,1500
38,7.8742642,13.831713676452637,1.3951817750930786,3,150,10,500,10,0,10,False,0.01,30,1500
39,7.430108,13.216742515563965,1.3318270444869995,3,150,10,500,10,0,10,False,0.01,30,1500
40,7.008593,12.593249320983887,1.2680168151855469,3,150,10,500,10,0,10,False,0.01,30,1500
41,6.6058936,12.02674388885498,1.2100372314453125,3,150,10,500,10,0,10,False,0.01,30,1500
42,6.2351227,11.494268417358398,1.1559028625488281,3,150,10,500,10,0,10,False,0.01,30,1500
43,5.8923063,10.993897438049316,1.1038068532943726,3,150,10,500,10,0,10,False,0.01,30,1500
44,5.5703287,10.507537841796875,1.0535987615585327,3,150,10,500,10,0,10,False,0.01,30,1500
45,5.2627735,10.053542137145996,1.006327509880066,3,150,10,500,10,0,10,False,0.01,30,1500
46,4.9752884,9.630640983581543,0.9624919891357422,3,150,10,500,10,0,10,False,0.01,30,1500
47,4.7115126,9.228662490844727,0.9206222295761108,3,150,10,500,10,0,10,False,0.01,30,1500
48,4.45109,8.822670936584473,0.8784830570220947,3,150,10,500,10,0,10,False,0.01,30,1500
49,4.2109613,8.420838356018066,0.8367765545845032,3,150,10,500,10,0,10,False,0.01,30,1500
50,3.9896297,8.083416938781738,0.8012133240699768,3,150,10,500,10,0,10,False,0.01,30,1500
51,3.7811458,7.731469631195068,0.76447594165802,3,150,10,500,10,0,10,False,0.01,30,1500
52,3.5854378,7.427957534790039,0.7324712872505188,3,150,10,500,10,0,10,False,0.01,30,1500
53,3.40149,7.130602836608887,0.7013296484947205,3,150,10,500,10,0,10,False,0.01,30,1500
54,3.228579,6.859955310821533,0.6724990606307983,3,150,10,500,10,0,10,False,0.01,30,1500
55,3.0663335,6.580322265625,0.6428260803222656,3,150,10,500,10,0,10,False,0.01,30,1500
56,2.9115307,6.301470756530762,0.6135247945785522,3,150,10,500,10,0,10,False,0.01,30,1500
57,2.770163,6.054110050201416,0.5875436067581177,3,150,10,500,10,0,10,False,0.01,30,1500
58,2.6339428,5.788764476776123,0.5594920516014099,3,150,10,500,10,0,10,False,0.01,30,1500
59,2.507327,5.55626916885376,0.5349639058113098,3,150,10,500,10,0,10,False,0.01,30,1500
60,2.383842,5.363920211791992,0.5141131281852722,3,150,10,500,10,0,10,False,0.01,30,1500
61,2.2713783,5.161342144012451,0.4927854835987091,3,150,10,500,10,0,10,False,0.01,30,1500
62,2.1654968,4.9991679191589355,0.4752771556377411,3,150,10,500,10,0,10,False,0.01,30,1500
63,2.0660105,4.837076187133789,0.4576382339000702,3,150,10,500,10,0,10,False,0.01,30,1500
64,1.9710469,4.666872024536133,0.4394820034503937,3,150,10,500,10,0,10,False,0.01,30,1500
65,1.882277,4.501556396484375,0.42187368869781494,3,150,10,500,10,0,10,False,0.01,30,1500
66,1.7987081,4.339468479156494,0.4043269455432892,3,150,10,500,10,0,10,False,0.01,30,1500
67,1.7193785,4.18882417678833,0.3880661129951477,3,150,10,500,10,0,10,False,0.01,30,1500
68,1.6449512,4.053241729736328,0.3733111023902893,3,150,10,500,10,0,10,False,0.01,30,1500
69,1.57517,3.917630910873413,0.35853925347328186,3,150,10,500,10,0,10,False,0.01,30,1500
70,1.5094374,3.780484676361084,0.34384042024612427,3,150,10,500,10,0,10,False,0.01,30,1500
71,1.4469941,3.6575121879577637,0.3304661810398102,3,150,10,500,10,0,10,False,0.01,30,1500
72,1.3872713,3.570162773132324,0.3205673098564148,3,150,10,500,10,0,10,False,0.01,30,1500
73,1.3318378,3.451631784439087,0.3076961934566498,3,150,10,500,10,0,10,False,0.01,30,1500
74,1.2782241,3.3637819290161133,0.2977812886238098,3,150,10,500,10,0,10,False,0.01,30,1500
75,1.2280786,3.268314838409424,0.28713318705558777,3,150,10,500,10,0,10,False,0.01,30,1500
76,1.1801941,3.1720240116119385,0.2766159176826477,3,150,10,500,10,0,10,False,0.01,30,1500
77,1.136335,3.0723259449005127,0.26574093103408813,3,150,10,500,10,0,10,False,0.01,30,1500
78,1.0950599,2.980264663696289,0.2556857168674469,3,150,10,500,10,0,10,False,0.01,30,1500
79,1.0563617,2.899822950363159,0.24666419625282288,3,150,10,500,10,0,10,False,0.01,30,1500
80,1.0191228,2.8299834728240967,0.23866485059261322,3,150,10,500,10,0,10,False,0.01,30,1500
