iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,76.57243344624837,8.630067825317383,87.31825256347656,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
1,61.231254749298095,7.5540595054626465,76.41804504394531,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
2,48.76122177759806,6.62849235534668,67.07026672363281,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
3,39.40057129542033,5.816659450531006,58.85588836669922,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
4,32.1953975613912,5.161559104919434,52.21966552734375,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
5,26.822604637145997,4.656191825866699,47.119598388671875,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
6,22.294810132980345,4.187224388122559,42.42873764038086,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
7,18.525184949239094,3.762179374694824,38.113929748535156,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
8,15.547956263224284,3.424844741821289,34.73121643066406,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
9,13.169736326535542,3.1150500774383545,31.635242462158203,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
10,11.296533694267273,2.8473081588745117,28.93692398071289,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
11,9.720345837275188,2.58552622795105,26.3421573638916,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
12,8.496968646844229,2.3563904762268066,24.047048568725586,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
13,7.405960162480672,2.155235528945923,22.033950805664062,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
14,6.492430642445882,1.9793055057525635,20.26885223388672,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
15,5.671645696163178,1.8151276111602783,18.648296356201172,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
16,4.997653354406356,1.6667139530181885,17.170578002929688,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
17,4.439747103055319,1.5458581447601318,15.982319831848145,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
18,3.9968454909324644,1.433933138847351,14.89126205444336,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
19,3.5741715919971466,1.3194169998168945,13.758735656738281,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
20,3.2510607788960137,1.2286921739578247,12.851276397705078,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
21,2.944198888937632,1.144498348236084,12.032630920410156,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
22,2.6721466569105785,1.055332064628601,11.153364181518555,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
23,2.492027172545592,0.9894405603408813,10.496275901794434,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
24,2.2663463271657625,0.9240041375160217,9.84099006652832,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
25,2.1047466269135473,0.8771069645881653,9.375569343566895,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
26,1.9895924036204815,0.8232423067092896,8.85004711151123,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
27,1.8667570830136537,0.7752690315246582,8.378862380981445,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
28,1.7751258095602194,0.7379211187362671,8.011279106140137,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
29,1.6448310041427612,0.6920636892318726,7.557718276977539,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
30,1.5943008281787237,0.6574413776397705,7.215024471282959,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
31,1.5252756346265475,0.6315966248512268,6.964227676391602,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
32,1.4588310943047205,0.6060593128204346,6.715477466583252,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
33,1.3957774686813353,0.5733000040054321,6.396938800811768,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
34,1.3428476664423943,0.5490307211875916,6.1578192710876465,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
35,1.2920725616812705,0.5272597074508667,5.946141242980957,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
36,1.2485746067762375,0.5090383291244507,5.775600910186768,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
37,1.2023817160725594,0.4887627363204956,5.573563575744629,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
38,1.1365309662123522,0.4628470838069916,5.314109802246094,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
39,1.0811164795855681,0.44391298294067383,5.122718334197998,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
40,1.0421838861703874,0.4219803214073181,4.901817798614502,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
41,1.0203935765723386,0.41562482714653015,4.844608783721924,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
42,1.0059721265733241,0.4006226360797882,4.697883605957031,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
43,0.9887157308061918,0.40227288007736206,4.711733818054199,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
44,0.9470847104986508,0.37861648201942444,4.475844383239746,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
45,0.9060158893465996,0.36169570684432983,4.3161139488220215,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
46,0.9106673373778661,0.3613552153110504,4.3156232833862305,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
47,0.8882291745146116,0.34498652815818787,4.155431270599365,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
48,0.8777804469068845,0.33236104249954224,4.032353401184082,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
49,0.84162625943621,0.3191681504249573,3.906588554382324,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
50,0.8598540383080642,0.3154849112033844,3.870873212814331,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
51,0.8291670781870683,0.3046218454837799,3.7634501457214355,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
52,0.8363144709169865,0.3074740171432495,3.7904772758483887,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
53,0.7847242662807306,0.29181814193725586,3.641489028930664,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
54,0.7635700888931751,0.28027719259262085,3.5283830165863037,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
55,0.7542534229159356,0.2733301818370819,3.46008563041687,3,150,10,500,10,0,0,False,10,False,0.01,,5,300,2
