iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,91.265495,95.63754272460938,9.61616325378418,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
1,85.173035,90.39582824707031,9.092875480651855,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
2,79.412735,85.33399200439453,8.588310241699219,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
3,74.067314,80.67851257324219,8.125102996826172,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
4,69.13408,76.16275024414062,7.675000190734863,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
5,64.52166,72.03580474853516,7.261981010437012,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
6,60.429543,68.35295104980469,6.892719268798828,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
7,56.427982,64.63043212890625,6.521542549133301,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
8,52.789494,61.1163444519043,6.1691179275512695,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
9,49.339817,57.97895812988281,5.854895114898682,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
10,46.099285,54.844173431396484,5.5417866706848145,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
11,43.164845,51.998619079589844,5.257190704345703,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
12,40.35138,49.42631149291992,4.999533176422119,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
13,37.812992,46.94173049926758,4.7505412101745605,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
14,35.425285,44.587947845458984,4.513911247253418,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
15,33.167675,42.269378662109375,4.280168533325195,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
16,31.064648,40.17621994018555,4.068652629852295,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
17,29.134407,38.283973693847656,3.877533435821533,3,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
