iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,79.05915773391723,8.882411003112793,89.82626342773438,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
1,64.57658171971639,7.902658939361572,79.95038604736328,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
2,53.224689076741534,7.110752105712891,71.915283203125,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
3,44.54459497451782,6.458224773406982,65.28803253173828,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
4,37.576917311350506,5.879672527313232,59.5342903137207,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
5,31.858631318410236,5.384912967681885,54.56977081298828,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
6,27.04614475886027,4.910778045654297,49.81513977050781,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
7,23.190262568791706,4.489397048950195,45.570228576660156,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
8,20.17005009651184,4.145354270935059,42.12628173828125,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
9,17.717832851409913,3.845327615737915,39.107688903808594,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
10,15.49234854221344,3.565288543701172,36.25056076049805,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
11,13.541053709983826,3.2856338024139404,33.428314208984375,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
12,12.272647109031677,3.1220388412475586,31.765785217285156,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
13,11.080825222333273,2.9615836143493652,30.190948486328125,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
14,10.007851603825888,2.800244092941284,28.563365936279297,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
15,9.06895129998525,2.641862630844116,26.982391357421875,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
16,8.131514852841695,2.4440054893493652,25.005313873291016,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
17,7.518491667906443,2.3089802265167236,23.64282989501953,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
18,6.936948619683584,2.1776022911071777,22.32200813293457,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
19,6.480269548098247,2.0702011585235596,21.241579055786133,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
20,6.044723908901215,1.9879999160766602,20.4432430267334,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
21,5.550845412413279,1.8710864782333374,19.258594512939453,3,150,10,500,10,0,0,False,10,False,0.01,1,3,300,2
