iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,8.58938704446079,139.60613962060785,3,150,10,500,10,0,0,5,0.05,20,200
1,11.324919614360427,136.48677089552166,3,150,10,500,10,0,0,5,0.05,20,200
2,11.74182170252104,134.59769843490366,3,150,10,500,10,0,0,5,0.05,20,200
3,13.198348783219277,131.17311464421454,3,150,10,500,10,0,0,5,0.05,20,200
4,14.63570479938955,127.65420174634058,3,150,10,500,10,0,0,5,0.05,20,200
5,16.30377194249608,127.739279938805,3,150,10,500,10,0,0,5,0.05,20,200
6,16.68611980922254,124.76488075055296,3,150,10,500,10,0,0,5,0.05,20,200
7,17.161889589314384,123.4018826994255,3,150,10,500,10,0,0,5,0.05,20,200
8,18.216782682979755,124.50089548612874,3,150,10,500,10,0,0,5,0.05,20,200
9,19.599961875566624,122.70345074598752,3,150,10,500,10,0,0,5,0.05,20,200
10,20.621708068325596,120.3378104908812,3,150,10,500,10,0,0,5,0.05,20,200
11,20.92114415312404,117.45581920212975,3,150,10,500,10,0,0,5,0.05,20,200
12,22.582957159067366,116.77401961191998,3,150,10,500,10,0,0,5,0.05,20,200
13,22.824339549888915,115.06421715562266,3,150,10,500,10,0,0,5,0.05,20,200
14,24.55149243931244,113.37640626608709,3,150,10,500,10,0,0,5,0.05,20,200
15,24.67736653439451,113.40717355574768,3,150,10,500,10,0,0,5,0.05,20,200
16,25.464789547562855,112.67848210583861,3,150,10,500,10,0,0,5,0.05,20,200
17,26.744241901644138,112.40215659896715,3,150,10,500,10,0,0,5,0.05,20,200
18,27.299408098291067,110.49086601175702,3,150,10,500,10,0,0,5,0.05,20,200
19,27.925462341087623,113.15112088136004,3,150,10,500,10,0,0,5,0.05,20,200
20,29.443903713674068,109.92047890667949,3,150,10,500,10,0,0,5,0.05,20,200
21,28.901614364891316,110.94516407360764,3,150,10,500,10,0,0,5,0.05,20,200
22,30.73837789845043,110.66944047546882,3,150,10,500,10,0,0,5,0.05,20,200
23,30.445037962238754,109.32904554714027,3,150,10,500,10,0,0,5,0.05,20,200
24,30.402787677549313,107.99382202394709,3,150,10,500,10,0,0,5,0.05,20,200
25,31.71604181188471,108.73837602519247,3,150,10,500,10,0,0,5,0.05,20,200
26,32.8419354246731,107.55972050030913,3,150,10,500,10,0,0,5,0.05,20,200
27,33.75478375890526,107.9093849530755,3,150,10,500,10,0,0,5,0.05,20,200
28,32.617201391708,108.59323481373931,3,150,10,500,10,0,0,5,0.05,20,200
29,33.77514975217731,108.68121653629717,3,150,10,500,10,0,0,5,0.05,20,200
30,35.17204308639682,107.89014005196422,3,150,10,500,10,0,0,5,0.05,20,200
31,33.946985307364905,107.39458507700994,3,150,10,500,10,0,0,5,0.05,20,200
32,36.01902280354247,106.15433953648801,3,150,10,500,10,0,0,5,0.05,20,200
33,36.657325052515404,107.09801733432079,3,150,10,500,10,0,0,5,0.05,20,200
34,37.772550862358834,105.65720379694908,3,150,10,500,10,0,0,5,0.05,20,200
35,37.53878201333738,107.15001840155169,3,150,10,500,10,0,0,5,0.05,20,200
36,36.926257772068375,106.93408079277485,3,150,10,500,10,0,0,5,0.05,20,200
37,37.55361389115212,105.00143823955429,3,150,10,500,10,0,0,5,0.05,20,200
38,38.66739085108187,104.69386467423718,3,150,10,500,10,0,0,5,0.05,20,200
39,38.67766525713502,105.00150807181535,3,150,10,500,10,0,0,5,0.05,20,200
40,39.05055499239666,105.47176400609206,3,150,10,500,10,0,0,5,0.05,20,200
41,39.384066092755035,104.98082866396432,3,150,10,500,10,0,0,5,0.05,20,200
42,39.881265536170474,104.57597085201239,3,150,10,500,10,0,0,5,0.05,20,200
43,39.801379186558755,104.387082639132,3,150,10,500,10,0,0,5,0.05,20,200
44,40.67872827203471,103.81505755651615,3,150,10,500,10,0,0,5,0.05,20,200
45,40.92680533671466,104.89393427313807,3,150,10,500,10,0,0,5,0.05,20,200
46,42.27204275379433,104.88198952789391,3,150,10,500,10,0,0,5,0.05,20,200
47,42.461330225807224,105.49594721572001,3,150,10,500,10,0,0,5,0.05,20,200
48,42.07859060903618,103.03095775693913,3,150,10,500,10,0,0,5,0.05,20,200
49,42.69529631655432,103.92402091620367,3,150,10,500,10,0,0,5,0.05,20,200
50,42.29090846641832,104.10026545313053,3,150,10,500,10,0,0,5,0.05,20,200
51,41.41219081360866,103.85618782630341,3,150,10,500,10,0,0,5,0.05,20,200
52,42.401426204047894,103.49235849074488,3,150,10,500,10,0,0,5,0.05,20,200
53,44.13505877363442,104.03594189548977,3,150,10,500,10,0,0,5,0.05,20,200
54,43.566485734362644,104.92905422527554,3,150,10,500,10,0,0,5,0.05,20,200
55,44.154493882080615,103.17929930577493,3,150,10,500,10,0,0,5,0.05,20,200
56,45.294895199153856,104.43640658368017,3,150,10,500,10,0,0,5,0.05,20,200
57,43.46516038071535,104.13969106676008,3,150,10,500,10,0,0,5,0.05,20,200
58,44.031030432047494,103.3743440295936,3,150,10,500,10,0,0,5,0.05,20,200
59,46.00679322842544,102.66434014357063,3,150,10,500,10,0,0,5,0.05,20,200
60,46.101352816992744,101.86115156314278,3,150,10,500,10,0,0,5,0.05,20,200
61,43.92945831616803,101.337340215434,3,150,10,500,10,0,0,5,0.05,20,200
62,45.28525014847605,103.24521213165042,3,150,10,500,10,0,0,5,0.05,20,200
63,45.07842091067073,103.2281929532521,3,150,10,500,10,0,0,5,0.05,20,200
64,46.07557739600812,101.62998557092354,3,150,10,500,10,0,0,5,0.05,20,200
65,46.15407072530904,102.94815339607136,3,150,10,500,10,0,0,5,0.05,20,200
66,46.67956155709176,102.0779755805817,3,150,10,500,10,0,0,5,0.05,20,200
67,45.55560442265062,103.30820386824226,3,150,10,500,10,0,0,5,0.05,20,200
68,45.74999266829071,102.84447151210664,3,150,10,500,10,0,0,5,0.05,20,200
69,46.16027739027104,103.11799085123307,3,150,10,500,10,0,0,5,0.05,20,200
70,46.69612273147491,102.74076971458092,3,150,10,500,10,0,0,5,0.05,20,200
71,46.1543145630855,101.29500039848132,3,150,10,500,10,0,0,5,0.05,20,200
72,47.31893164911685,102.90305259302707,3,150,10,500,10,0,0,5,0.05,20,200
73,48.080223092970584,102.17642342210829,3,150,10,500,10,0,0,5,0.05,20,200
74,47.72926627330063,102.1578781454531,3,150,10,500,10,0,0,5,0.05,20,200
75,49.232946677432004,102.16784285590725,3,150,10,500,10,0,0,5,0.05,20,200
76,48.54357760386798,101.89860428538879,3,150,10,500,10,0,0,5,0.05,20,200
77,48.08902343643152,102.84294906320332,3,150,10,500,10,0,0,5,0.05,20,200
78,50.06455257727312,103.05501647759803,3,150,10,500,10,0,0,5,0.05,20,200
79,49.67683925903235,101.97263235327843,3,150,10,500,10,0,0,5,0.05,20,200
80,50.159437292308624,103.59223212765818,3,150,10,500,10,0,0,5,0.05,20,200
81,49.45178297248128,103.7691785184807,3,150,10,500,10,0,0,5,0.05,20,200
82,49.598944798199184,104.68266082697751,3,150,10,500,10,0,0,5,0.05,20,200
83,49.83033801085655,103.43557182688392,3,150,10,500,10,0,0,5,0.05,20,200
84,49.35158799788899,102.96442824803856,3,150,10,500,10,0,0,5,0.05,20,200
85,52.402318428132325,104.6757757360771,3,150,10,500,10,0,0,5,0.05,20,200
86,51.1340173933144,102.718009753272,3,150,10,500,10,0,0,5,0.05,20,200
87,51.15909392246889,104.42871492666721,3,150,10,500,10,0,0,5,0.05,20,200
88,51.098185905172045,102.87184408521018,3,150,10,500,10,0,0,5,0.05,20,200
89,49.61689679646847,101.77706922520292,3,150,10,500,10,0,0,5,0.05,20,200
90,49.83259699424056,101.29162915723036,3,150,10,500,10,0,0,5,0.05,20,200
91,49.38988049488714,101.44418523005328,3,150,10,500,10,0,0,5,0.05,20,200
92,50.29209408605606,102.62454814587447,3,150,10,500,10,0,0,5,0.05,20,200
93,50.60008984397855,101.93723742276805,3,150,10,500,10,0,0,5,0.05,20,200
94,50.82643465457269,102.60553847605365,3,150,10,500,10,0,0,5,0.05,20,200
95,52.69364274922601,102.45879153979581,3,150,10,500,10,0,0,5,0.05,20,200
96,52.4170160011469,102.0448939399063,3,150,10,500,10,0,0,5,0.05,20,200
97,51.77757204958489,101.88017344198576,3,150,10,500,10,0,0,5,0.05,20,200
98,50.016727983676795,103.93761865208656,3,150,10,500,10,0,0,5,0.05,20,200
99,50.56137733665945,103.43721749804035,3,150,10,500,10,0,0,5,0.05,20,200
100,49.97966575496293,101.9213017115157,3,150,10,500,10,0,0,5,0.05,20,200
101,51.39600607100786,103.3925685763265,3,150,10,500,10,0,0,5,0.05,20,200
102,50.934405920483236,101.9554742926884,3,150,10,500,10,0,0,5,0.05,20,200
103,51.1901592185128,102.51752831780553,3,150,10,500,10,0,0,5,0.05,20,200
104,50.48652303456273,102.83638245916481,3,150,10,500,10,0,0,5,0.05,20,200
105,51.805230832153754,102.7764709444498,3,150,10,500,10,0,0,5,0.05,20,200
106,51.88786316309203,101.11310029455063,3,150,10,500,10,0,0,5,0.05,20,200
107,51.50489735314207,102.22418968456356,3,150,10,500,10,0,0,5,0.05,20,200
108,51.380320196851436,103.25602165484185,3,150,10,500,10,0,0,5,0.05,20,200
109,51.47265896882458,104.14556935121907,3,150,10,500,10,0,0,5,0.05,20,200
110,52.0875774448494,103.09041918590272,3,150,10,500,10,0,0,5,0.05,20,200
111,51.69500691445815,103.20900758921238,3,150,10,500,10,0,0,5,0.05,20,200
112,52.73439372799256,101.58433569465608,3,150,10,500,10,0,0,5,0.05,20,200
113,52.29157218511685,103.24630136992756,3,150,10,500,10,0,0,5,0.05,20,200
114,52.30142352537795,101.7734039185249,3,150,10,500,10,0,0,5,0.05,20,200
115,52.62682255674377,101.93938586591126,3,150,10,500,10,0,0,5,0.05,20,200
116,53.08580739799653,102.91871751977628,3,150,10,500,10,0,0,5,0.05,20,200
117,51.55191908403291,100.8729900103986,3,150,10,500,10,0,0,5,0.05,20,200
118,51.97416987311782,101.16290809234087,3,150,10,500,10,0,0,5,0.05,20,200
119,51.559114350253196,101.83812982730173,3,150,10,500,10,0,0,5,0.05,20,200
120,52.85224768339032,103.42984975320479,3,150,10,500,10,0,0,5,0.05,20,200
121,51.477887918448225,102.61900348470343,3,150,10,500,10,0,0,5,0.05,20,200
122,50.71480073990181,100.7050424365378,3,150,10,500,10,0,0,5,0.05,20,200
123,52.42622275943896,101.06415226236831,3,150,10,500,10,0,0,5,0.05,20,200
124,53.08835335919837,102.6274681684817,3,150,10,500,10,0,0,5,0.05,20,200
125,51.557053365448965,102.30696718071849,3,150,10,500,10,0,0,5,0.05,20,200
126,52.10555889959123,102.21028639702685,3,150,10,500,10,0,0,5,0.05,20,200
127,53.870809964743785,102.31800187649206,3,150,10,500,10,0,0,5,0.05,20,200
128,51.923201914046906,101.0074294564072,3,150,10,500,10,0,0,5,0.05,20,200
129,52.97353487581064,101.44723027569941,3,150,10,500,10,0,0,5,0.05,20,200
130,52.60564861116034,102.83548863865157,3,150,10,500,10,0,0,5,0.05,20,200
131,53.035458283983125,100.19054301193279,3,150,10,500,10,0,0,5,0.05,20,200
132,52.11505895226691,100.24025451352713,3,150,10,500,10,0,0,5,0.05,20,200
133,54.71136382118725,100.92267351587208,3,150,10,500,10,0,0,5,0.05,20,200
134,53.054069146759915,100.41001039268531,3,150,10,500,10,0,0,5,0.05,20,200
