iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,8.19207834350288,142.1573640498331,3,150,10,500,10,0,0,5,0.05,20,200
1,10.969248450830591,139.97403378145032,3,150,10,500,10,0,0,5,0.05,20,200
2,11.708182819311988,135.23031231715268,3,150,10,500,10,0,0,5,0.05,20,200
3,12.686956397590464,132.6783846151173,3,150,10,500,10,0,0,5,0.05,20,200
4,14.549589530515943,131.82971507522913,3,150,10,500,10,0,0,5,0.05,20,200
5,15.215369702782263,129.07488959510445,3,150,10,500,10,0,0,5,0.05,20,200
6,17.02035384458395,127.93378641831015,3,150,10,500,10,0,0,5,0.05,20,200
7,17.78723183776242,125.37008440462537,3,150,10,500,10,0,0,5,0.05,20,200
8,17.521935836979118,123.55763274044944,3,150,10,500,10,0,0,5,0.05,20,200
9,19.036173431231177,123.31763954243628,3,150,10,500,10,0,0,5,0.05,20,200
10,20.642228507845765,122.11868518641468,3,150,10,500,10,0,0,5,0.05,20,200
11,20.817621426262498,121.47776975707235,3,150,10,500,10,0,0,5,0.05,20,200
12,21.54788981036304,120.66482244672488,3,150,10,500,10,0,0,5,0.05,20,200
13,22.651754369582026,119.2487473790196,3,150,10,500,10,0,0,5,0.05,20,200
14,22.84863123463211,117.46962790730157,3,150,10,500,10,0,0,5,0.05,20,200
15,23.74894370152527,115.97454464415556,3,150,10,500,10,0,0,5,0.05,20,200
16,25.807867155151612,115.35411796210603,3,150,10,500,10,0,0,5,0.05,20,200
17,25.973575004672742,113.9144324315002,3,150,10,500,10,0,0,5,0.05,20,200
18,25.915772457414935,115.16835472336528,3,150,10,500,10,0,0,5,0.05,20,200
19,26.54110435825266,113.22584543068605,3,150,10,500,10,0,0,5,0.05,20,200
20,27.584602934538648,111.6568943303613,3,150,10,500,10,0,0,5,0.05,20,200
21,27.422831528040394,112.0795226404443,3,150,10,500,10,0,0,5,0.05,20,200
22,29.037863247288758,110.76099558222899,3,150,10,500,10,0,0,5,0.05,20,200
23,29.0642167916576,111.15702708530075,3,150,10,500,10,0,0,5,0.05,20,200
24,28.975068632584673,110.26252397049475,3,150,10,500,10,0,0,5,0.05,20,200
25,29.871288628706896,109.7364698472055,3,150,10,500,10,0,0,5,0.05,20,200
26,30.841725362286088,109.58849707064624,3,150,10,500,10,0,0,5,0.05,20,200
27,30.934231277480546,108.60242009065954,3,150,10,500,10,0,0,5,0.05,20,200
28,32.955257885770976,109.05555156353394,3,150,10,500,10,0,0,5,0.05,20,200
29,32.983483365491004,107.28688419931969,3,150,10,500,10,0,0,5,0.05,20,200
30,33.62944234950884,107.57171453241345,3,150,10,500,10,0,0,5,0.05,20,200
31,34.267787752790376,106.20212384222135,3,150,10,500,10,0,0,5,0.05,20,200
32,32.84223222621811,106.3663768243358,3,150,10,500,10,0,0,5,0.05,20,200
33,33.97510477083908,108.88161845010349,3,150,10,500,10,0,0,5,0.05,20,200
34,36.0049338657546,107.8851280617882,3,150,10,500,10,0,0,5,0.05,20,200
35,35.65956754849724,106.90332075271057,3,150,10,500,10,0,0,5,0.05,20,200
36,35.90710161320759,106.75359881694578,3,150,10,500,10,0,0,5,0.05,20,200
37,37.28954734905836,107.15327000340535,3,150,10,500,10,0,0,5,0.05,20,200
38,36.53701965000517,105.58057486545889,3,150,10,500,10,0,0,5,0.05,20,200
39,37.02694602754575,105.59636945554821,3,150,10,500,10,0,0,5,0.05,20,200
40,38.31959711142541,104.84884693641692,3,150,10,500,10,0,0,5,0.05,20,200
41,38.51989114228196,105.91118401904303,3,150,10,500,10,0,0,5,0.05,20,200
42,39.36024056896543,105.32827941918855,3,150,10,500,10,0,0,5,0.05,20,200
43,38.76867281324144,104.79837302580557,3,150,10,500,10,0,0,5,0.05,20,200
44,39.5730490594727,103.66273598365879,3,150,10,500,10,0,0,5,0.05,20,200
45,40.58628750939147,103.68516075411502,3,150,10,500,10,0,0,5,0.05,20,200
46,40.18795706470399,105.59320673458242,3,150,10,500,10,0,0,5,0.05,20,200
47,39.709160459083144,104.76405018103738,3,150,10,500,10,0,0,5,0.05,20,200
48,41.4729720112905,102.77256252296777,3,150,10,500,10,0,0,5,0.05,20,200
49,40.596505023336356,102.80151326941922,3,150,10,500,10,0,0,5,0.05,20,200
50,41.40378118203082,102.68437131263548,3,150,10,500,10,0,0,5,0.05,20,200
51,42.8308480341972,103.47224988260179,3,150,10,500,10,0,0,5,0.05,20,200
52,41.065228540419184,102.77990531907365,3,150,10,500,10,0,0,5,0.05,20,200
53,43.525001154982384,103.85465244779287,3,150,10,500,10,0,0,5,0.05,20,200
54,43.16459906556557,103.38569675758086,3,150,10,500,10,0,0,5,0.05,20,200
55,42.80628304827345,103.49528235274553,3,150,10,500,10,0,0,5,0.05,20,200
56,43.16040974067656,102.95041588719575,3,150,10,500,10,0,0,5,0.05,20,200
57,43.90783004342096,102.13593454403777,3,150,10,500,10,0,0,5,0.05,20,200
58,44.19416154660475,102.41471368988209,3,150,10,500,10,0,0,5,0.05,20,200
59,43.75216676759326,102.42083632640755,3,150,10,500,10,0,0,5,0.05,20,200
60,43.987216222027286,102.952623150795,3,150,10,500,10,0,0,5,0.05,20,200
61,44.42952999855923,103.541438770915,3,150,10,500,10,0,0,5,0.05,20,200
62,45.74259513267491,103.20587548313577,3,150,10,500,10,0,0,5,0.05,20,200
63,45.04686562156935,101.5377084696205,3,150,10,500,10,0,0,5,0.05,20,200
64,46.70635609139888,103.04690186103473,3,150,10,500,10,0,0,5,0.05,20,200
65,45.71246495466067,102.6899037381031,3,150,10,500,10,0,0,5,0.05,20,200
66,46.25227246794156,102.80497896810198,3,150,10,500,10,0,0,5,0.05,20,200
67,47.6542945440659,103.5137948235463,3,150,10,500,10,0,0,5,0.05,20,200
68,48.683023114960456,102.1961126808059,3,150,10,500,10,0,0,5,0.05,20,200
69,48.21318844291782,101.87995231067164,3,150,10,500,10,0,0,5,0.05,20,200
70,48.24781417143168,102.87726903548251,3,150,10,500,10,0,0,5,0.05,20,200
71,48.61310960927186,103.5571975562236,3,150,10,500,10,0,0,5,0.05,20,200
72,47.295490011930575,102.7084417220317,3,150,10,500,10,0,0,5,0.05,20,200
73,47.947532085424186,103.06598038737775,3,150,10,500,10,0,0,5,0.05,20,200
74,48.81689232366896,102.7182136296691,3,150,10,500,10,0,0,5,0.05,20,200
75,48.007613516014516,101.39339258365152,3,150,10,500,10,0,0,5,0.05,20,200
