iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,90.21162,95.30963897705078,9.583026885986328,3,150,10,500,10,0,10,False,0.01,50,1500
1,83.69322,89.80471801757812,9.033432960510254,3,150,10,500,10,0,10,False,0.01,50,1500
2,77.669846,84.64373779296875,8.522446632385254,3,150,10,500,10,0,10,False,0.01,50,1500
3,72.04814,79.76205444335938,8.036433219909668,3,150,10,500,10,0,10,False,0.01,50,1500
4,66.98336,75.34515380859375,7.595412731170654,3,150,10,500,10,0,10,False,0.01,50,1500
5,62.330666,71.13117980957031,7.174299240112305,3,150,10,500,10,0,10,False,0.01,50,1500
6,57.928352,67.19281768798828,6.7793426513671875,3,150,10,500,10,0,10,False,0.01,50,1500
7,53.939434,63.452884674072266,6.406198024749756,3,150,10,500,10,0,10,False,0.01,50,1500
8,50.201538,59.99317169189453,6.061215877532959,3,150,10,500,10,0,10,False,0.01,50,1500
9,46.765476,56.77169418334961,5.738103866577148,3,150,10,500,10,0,10,False,0.01,50,1500
10,43.604473,53.73497009277344,5.4332661628723145,3,150,10,500,10,0,10,False,0.01,50,1500
11,40.627926,50.88770294189453,5.1479010581970215,3,150,10,500,10,0,10,False,0.01,50,1500
12,37.89888,48.26852035522461,4.883748531341553,3,150,10,500,10,0,10,False,0.01,50,1500
13,35.384113,45.744258880615234,4.631268501281738,3,150,10,500,10,0,10,False,0.01,50,1500
14,33.019897,43.35027313232422,4.392048358917236,3,150,10,500,10,0,10,False,0.01,50,1500
15,30.834179,41.139122009277344,4.168976783752441,3,150,10,500,10,0,10,False,0.01,50,1500
16,28.78663,39.03571319580078,3.9568281173706055,3,150,10,500,10,0,10,False,0.01,50,1500
17,26.918343,37.0797004699707,3.760050058364868,3,150,10,500,10,0,10,False,0.01,50,1500
18,25.144085,35.275814056396484,3.578460216522217,3,150,10,500,10,0,10,False,0.01,50,1500
19,23.520567,33.50968933105469,3.400470495223999,3,150,10,500,10,0,10,False,0.01,50,1500
20,22.01712,31.85304069519043,3.2338902950286865,3,150,10,500,10,0,10,False,0.01,50,1500
21,20.60195,30.230920791625977,3.0699832439422607,3,150,10,500,10,0,10,False,0.01,50,1500
22,19.281319,28.766910552978516,2.9217562675476074,3,150,10,500,10,0,10,False,0.01,50,1500
23,18.04372,27.370901107788086,2.78029203414917,3,150,10,500,10,0,10,False,0.01,50,1500
24,16.892784,26.00295639038086,2.6420576572418213,3,150,10,500,10,0,10,False,0.01,50,1500
25,15.833086,24.75676727294922,2.5155813694000244,3,150,10,500,10,0,10,False,0.01,50,1500
26,14.838049,23.594789505004883,2.397494316101074,3,150,10,500,10,0,10,False,0.01,50,1500
27,13.910322,22.41579246520996,2.277621269226074,3,150,10,500,10,0,10,False,0.01,50,1500
28,13.044578,21.333391189575195,2.167717456817627,3,150,10,500,10,0,10,False,0.01,50,1500
29,12.248554,20.290538787841797,2.0617470741271973,3,150,10,500,10,0,10,False,0.01,50,1500
30,11.50734,19.330801010131836,1.9633742570877075,3,150,10,500,10,0,10,False,0.01,50,1500
31,10.796334,18.437402725219727,1.8725488185882568,3,150,10,500,10,0,10,False,0.01,50,1500
32,10.135682,17.55384063720703,1.7818260192871094,3,150,10,500,10,0,10,False,0.01,50,1500
33,9.522759,16.711578369140625,1.6954375505447388,3,150,10,500,10,0,10,False,0.01,50,1500
34,8.947406,15.904766082763672,1.612492322921753,3,150,10,500,10,0,10,False,0.01,50,1500
35,8.4188385,15.212656021118164,1.5413167476654053,3,150,10,500,10,0,10,False,0.01,50,1500
36,7.9103384,14.508936882019043,1.469306230545044,3,150,10,500,10,0,10,False,0.01,50,1500
37,7.4411173,13.864858627319336,1.4023096561431885,3,150,10,500,10,0,10,False,0.01,50,1500
38,7.006158,13.183274269104004,1.332284688949585,3,150,10,500,10,0,10,False,0.01,50,1500
