iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,11.40305,10.98749828338623,5.453639984130859,3,150,10,500,2,0,2,False,0.01,30,1500
1,10.338219,9.946914672851562,4.926217555999756,3,150,10,500,2,0,2,False,0.01,30,1500
2,9.34434,8.996659278869629,4.446769714355469,3,150,10,500,2,0,2,False,0.01,30,1500
3,8.476948,8.150167465209961,4.018648147583008,3,150,10,500,2,0,2,False,0.01,30,1500
4,7.736967,7.426892280578613,3.6530086994171143,3,150,10,500,2,0,2,False,0.01,30,1500
5,7.025403,6.733741760253906,3.3009443283081055,3,150,10,500,2,0,2,False,0.01,30,1500
6,6.407068,6.15138053894043,3.0043323040008545,3,150,10,500,2,0,2,False,0.01,30,1500
7,5.826001,5.58846378326416,2.7175819873809814,3,150,10,500,2,0,2,False,0.01,30,1500
8,5.3091555,5.09675407409668,2.466975212097168,3,150,10,500,2,0,2,False,0.01,30,1500
9,4.8464384,4.652022838592529,2.240628242492676,3,150,10,500,2,0,2,False,0.01,30,1500
10,4.4582157,4.277505874633789,2.0496017932891846,3,150,10,500,2,0,2,False,0.01,30,1500
11,4.1110835,3.9343128204345703,1.8748499155044556,3,150,10,500,2,0,2,False,0.01,30,1500
12,3.767327,3.5991501808166504,1.704284429550171,3,150,10,500,2,0,2,False,0.01,30,1500
13,3.4761267,3.3169748783111572,1.5609393119812012,3,150,10,500,2,0,2,False,0.01,30,1500
14,3.1976352,3.0502405166625977,1.424470067024231,3,150,10,500,2,0,2,False,0.01,30,1500
15,2.9567864,2.8080880641937256,1.3013702630996704,3,150,10,500,2,0,2,False,0.01,30,1500
16,2.743639,2.5959131717681885,1.1942622661590576,3,150,10,500,2,0,2,False,0.01,30,1500
17,2.5498068,2.4060847759246826,1.0984982252120972,3,150,10,500,2,0,2,False,0.01,30,1500
18,2.364686,2.233471155166626,1.0118870735168457,3,150,10,500,2,0,2,False,0.01,30,1500
19,2.1783116,2.0619561672210693,0.9260125756263733,3,150,10,500,2,0,2,False,0.01,30,1500
20,2.0214734,1.9108400344848633,0.8510727286338806,3,150,10,500,2,0,2,False,0.01,30,1500
21,1.8734759,1.7710590362548828,0.7816660404205322,3,150,10,500,2,0,2,False,0.01,30,1500
22,1.7377797,1.6407147645950317,0.7174896597862244,3,150,10,500,2,0,2,False,0.01,30,1500
23,1.6152856,1.5237505435943604,0.6601985096931458,3,150,10,500,2,0,2,False,0.01,30,1500
24,1.5106788,1.4218553304672241,0.6102985143661499,3,150,10,500,2,0,2,False,0.01,30,1500
25,1.4047403,1.3223826885223389,0.5624058842658997,3,150,10,500,2,0,2,False,0.01,30,1500
26,1.3008538,1.224285364151001,0.5152027606964111,3,150,10,500,2,0,2,False,0.01,30,1500
27,1.2065213,1.1328972578048706,0.47142183780670166,3,150,10,500,2,0,2,False,0.01,30,1500
28,1.1184485,1.0528624057769775,0.43308308720588684,3,150,10,500,2,0,2,False,0.01,30,1500
29,1.0413706,0.9793423414230347,0.3982091546058655,3,150,10,500,2,0,2,False,0.01,30,1500
30,0.963317,0.9087589979171753,0.3647332787513733,3,150,10,500,2,0,2,False,0.01,30,1500
31,0.8949186,0.8411828279495239,0.33315232396125793,3,150,10,500,2,0,2,False,0.01,30,1500
32,0.834855,0.7833814024925232,0.3063272535800934,3,150,10,500,2,0,2,False,0.01,30,1500
33,0.77267647,0.7251507639884949,0.27927184104919434,3,150,10,500,2,0,2,False,0.01,30,1500
34,0.7139758,0.6696986556053162,0.25387099385261536,3,150,10,500,2,0,2,False,0.01,30,1500
35,0.6653912,0.6229904294013977,0.23258675634860992,3,150,10,500,2,0,2,False,0.01,30,1500
36,0.6191585,0.5804228186607361,0.21341939270496368,3,150,10,500,2,0,2,False,0.01,30,1500
37,0.5777472,0.5416498184204102,0.19592899084091187,3,150,10,500,2,0,2,False,0.01,30,1500
38,0.5393653,0.5049903988838196,0.17969825863838196,3,150,10,500,2,0,2,False,0.01,30,1500
39,0.50292355,0.4700917601585388,0.164380744099617,3,150,10,500,2,0,2,False,0.01,30,1500
40,0.46948868,0.43814992904663086,0.15037380158901215,3,150,10,500,2,0,2,False,0.01,30,1500
41,0.4361145,0.4075593650341034,0.13707947731018066,3,150,10,500,2,0,2,False,0.01,30,1500
42,0.4063981,0.3793482184410095,0.12506502866744995,3,150,10,500,2,0,2,False,0.01,30,1500
43,0.37760386,0.3533395528793335,0.11404087394475937,3,150,10,500,2,0,2,False,0.01,30,1500
44,0.35138747,0.32905811071395874,0.10377828031778336,3,150,10,500,2,0,2,False,0.01,30,1500
45,0.32512975,0.3046291768550873,0.09365016222000122,3,150,10,500,2,0,2,False,0.01,30,1500
46,0.30087245,0.2825320363044739,0.08456742018461227,3,150,10,500,2,0,2,False,0.01,30,1500
47,0.28048807,0.2626473009586334,0.07658335566520691,3,150,10,500,2,0,2,False,0.01,30,1500
48,0.26217678,0.24551346898078918,0.0697598084807396,3,150,10,500,2,0,2,False,0.01,30,1500
49,0.24409755,0.22917772829532623,0.06333619356155396,3,150,10,500,2,0,2,False,0.01,30,1500
50,0.22704707,0.2141534984111786,0.05753680691123009,3,150,10,500,2,0,2,False,0.01,30,1500
51,0.21229991,0.20034164190292358,0.052256323397159576,3,150,10,500,2,0,2,False,0.01,30,1500
52,0.1978108,0.18697936832904816,0.04723689705133438,3,150,10,500,2,0,2,False,0.01,30,1500
53,0.18423328,0.17420300841331482,0.04253218695521355,3,150,10,500,2,0,2,False,0.01,30,1500
54,0.17210592,0.1628255993127823,0.038394778966903687,3,150,10,500,2,0,2,False,0.01,30,1500
55,0.16107969,0.15232335031032562,0.03463758900761604,3,150,10,500,2,0,2,False,0.01,30,1500
56,0.15098016,0.14312946796417236,0.031397055834531784,3,150,10,500,2,0,2,False,0.01,30,1500
57,0.140816,0.1334933191537857,0.028092127293348312,3,150,10,500,2,0,2,False,0.01,30,1500
58,0.13162515,0.12442642450332642,0.025063496083021164,3,150,10,500,2,0,2,False,0.01,30,1500
59,0.12320182,0.1167408898472786,0.022559765726327896,3,150,10,500,2,0,2,False,0.01,30,1500
60,0.11591911,0.10957397520542145,0.020279323682188988,3,150,10,500,2,0,2,False,0.01,30,1500
61,0.10809536,0.10247623920440674,0.01807892881333828,3,150,10,500,2,0,2,False,0.01,30,1500
62,0.10121214,0.09595721960067749,0.016103550791740417,3,150,10,500,2,0,2,False,0.01,30,1500
63,0.095145635,0.090358205139637,0.014478602446615696,3,150,10,500,2,0,2,False,0.01,30,1500
64,0.08892226,0.08455001562833786,0.012814288958907127,3,150,10,500,2,0,2,False,0.01,30,1500
65,0.08345158,0.0793629139661789,0.011419396847486496,3,150,10,500,2,0,2,False,0.01,30,1500
66,0.078379974,0.07450855523347855,0.010131613351404667,3,150,10,500,2,0,2,False,0.01,30,1500
67,0.073688745,0.07006856054067612,0.009030329994857311,3,150,10,500,2,0,2,False,0.01,30,1500
68,0.06905072,0.06573677062988281,0.0080097746104002,3,150,10,500,2,0,2,False,0.01,30,1500
69,0.064819574,0.06181486323475838,0.007115861866623163,3,150,10,500,2,0,2,False,0.01,30,1500
70,0.06100075,0.0582423210144043,0.006382017862051725,3,150,10,500,2,0,2,False,0.01,30,1500
71,0.057374306,0.05483333766460419,0.005704709328711033,3,150,10,500,2,0,2,False,0.01,30,1500
