iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,231.04966491699219,7.217251777648926,367.843017578125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
1,130.4845702870687,6.512989044189453,331.59814453125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
2,78.90940664927165,6.050681114196777,307.89453125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
3,49.0175276406606,5.636040687561035,286.6349182128906,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
4,31.913444690704345,5.345038414001465,271.7716064453125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
5,21.18985799153646,5.097702980041504,258.9562683105469,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
6,15.141115840276083,4.872159004211426,247.451171875,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
7,11.397677464485168,4.678674221038818,237.64901733398438,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
8,8.568835238615671,4.488985061645508,227.75563049316406,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
9,6.673227682113647,4.345109939575195,220.46961975097656,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
10,5.301445252497991,4.1934685707092285,212.83876037597656,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
11,4.405362383127213,4.035122871398926,204.6720733642578,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
12,3.7115343964099883,3.8691024780273438,196.34043884277344,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
13,3.158178206483523,3.729861259460449,189.18438720703125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
14,2.942970895767212,3.632490396499634,184.37603759765625,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
15,2.5935144025087356,3.517390727996826,178.33570861816406,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
16,2.435723594824473,3.417874336242676,173.3795166015625,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
17,2.249229695002238,3.3054959774017334,167.89031982421875,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
18,2.186063359777133,3.214383840560913,163.1990509033203,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
19,2.083566866119703,3.1221425533294678,158.6579132080078,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
20,1.9815282583236695,3.0590972900390625,155.35560607910156,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
21,1.857662846048673,2.9785408973693848,151.30946350097656,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
22,1.8312055083115895,2.9263370037078857,148.66226196289062,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
23,1.758314748009046,2.830554485321045,143.73162841796875,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
24,1.7874788903196652,2.7465062141418457,139.4374542236328,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
25,1.7016289462645848,2.6810736656188965,136.0074005126953,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
26,1.643537335395813,2.588764190673828,131.3299102783203,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
27,1.648246971567472,2.514737129211426,127.55792999267578,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
28,1.6440223877628644,2.4779953956604004,125.73529052734375,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
29,1.5304595724741619,2.393048048019409,121.46756744384766,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
30,1.487243239482244,2.316696882247925,117.63876342773438,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
31,1.4983145081996918,2.2509281635284424,114.39089965820312,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
32,1.5205295944213868,2.178642749786377,110.72819519042969,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
33,1.5129970729351043,2.115939140319824,107.54350280761719,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
34,1.431938235660394,2.0368566513061523,103.52139282226562,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
35,1.4158922173579533,1.9853843450546265,101.0588150024414,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
36,1.4814406421780586,1.9302887916564941,98.26288604736328,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
37,1.4443014000852903,1.876771092414856,95.46678161621094,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
38,1.4128268003463744,1.8350234031677246,93.33573150634766,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
39,1.3094784432649613,1.7804930210113525,90.57945251464844,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
40,1.3247749036550522,1.748864769935608,88.9473648071289,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
41,1.1483851821223894,1.6731592416763306,85.1396484375,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
42,1.2101526480913163,1.627864122390747,82.67906188964844,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
43,1.2657332083086172,1.5922043323516846,80.93856048583984,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
44,1.307938519169887,1.5576115846633911,79.15782165527344,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
45,1.3578207059701284,1.52241849899292,77.39616394042969,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
46,1.2429278941452504,1.4862899780273438,75.53389739990234,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
47,1.209604137937228,1.4418437480926514,73.14049530029297,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
48,1.2141087640821935,1.4182202816009521,71.81256103515625,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
49,1.0985603448251884,1.374179482460022,69.50663757324219,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
50,1.1419741411010425,1.3368672132492065,67.60718536376953,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
51,1.067459526558717,1.3040845394134521,66.037353515625,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
52,1.154534964611133,1.2770662307739258,64.6683578491211,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
53,1.080232519954443,1.2586557865142822,63.69404983520508,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
54,1.0901522751152515,1.2383586168289185,62.73798370361328,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
55,1.1250677313903967,1.2152214050292969,61.563297271728516,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
56,1.097695727845033,1.1836074590682983,60.087554931640625,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
57,1.0424402857323487,1.1639763116836548,59.057220458984375,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
58,1.1582923404872418,1.146374225616455,58.190711975097656,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
59,1.1247641967733701,1.1158462762832642,56.780548095703125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
60,1.0584318317472934,1.0997698307037354,55.90855026245117,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
61,1.050167730698983,1.078603982925415,54.80057907104492,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
62,1.1224345065653325,1.0583007335662842,53.74662399291992,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
63,1.044769292821487,1.0293071269989014,52.20297622680664,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
64,1.0229361375669639,1.0089055299758911,51.05168151855469,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
65,0.9256173476576806,0.9804052710533142,49.64950180053711,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
66,1.0838109095394612,0.9769330024719238,49.71094512939453,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
67,1.0807816075161099,0.9611735343933105,48.93478775024414,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
68,1.017339354927341,0.9408469796180725,47.80754852294922,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
69,1.0012984535843135,0.9172552824020386,46.53291702270508,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
70,0.9898089575767517,0.8933273553848267,45.247013092041016,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
71,1.0784587718794743,0.8805233240127563,44.59675216674805,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
72,1.1308505688110988,0.8621020913124084,43.74677658081055,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
73,1.0164234099288783,0.8429798483848572,42.8013801574707,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
74,0.955594625895222,0.8293534517288208,42.1485595703125,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
75,0.9398689525822799,0.8148738145828247,41.373783111572266,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
76,0.8911421243598063,0.7980008125305176,40.496089935302734,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
77,0.9355519726872444,0.7790597677230835,39.66349411010742,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
78,0.8903334459414085,0.7663053274154663,39.007850646972656,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
79,0.9228440773114562,0.7525509595870972,38.32881164550781,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
80,0.8417581111813585,0.7283260226249695,37.14597702026367,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
81,0.8545847681288918,0.7303597331047058,37.19286346435547,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
82,0.9710728647932411,0.7293038368225098,37.133975982666016,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
83,0.9745405243088802,0.7166487574577332,36.441322326660156,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
84,0.9462510542323191,0.704435408115387,35.80232238769531,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
85,0.8296635220696529,0.6959531307220459,35.39982986450195,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
86,0.8512694671129187,0.6820793747901917,34.67695999145508,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
87,0.8559974302724004,0.6689824461936951,34.00259017944336,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
88,0.9214397321020563,0.6685693860054016,34.01724624633789,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
89,1.0216883719588319,0.665982723236084,33.83964920043945,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
90,1.024054901637137,0.661038339138031,33.595943450927734,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
91,1.0692743480950595,0.6649073958396912,33.77986526489258,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
92,0.9544489877174298,0.6485282778739929,32.935142517089844,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
93,0.9472487318019073,0.6349453330039978,32.26637649536133,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
94,0.8939678122848272,0.6244416832923889,31.731521606445312,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
95,1.0383761557936668,0.6239002346992493,31.739967346191406,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
96,1.0276122248048585,0.6107706427574158,31.120161056518555,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
97,0.9858114732801915,0.5942133665084839,30.292858123779297,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
98,0.9475941463311514,0.5844447612762451,29.79642677307129,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
99,0.8669800148904323,0.576279878616333,29.411209106445312,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
100,0.8681155131943524,0.5686731934547424,28.969362258911133,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
101,0.8304734059423208,0.558898389339447,28.528369903564453,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
102,0.7377896039436261,0.5507621169090271,28.131872177124023,3,150,10,500,50,0,0,False,50,False,0.01,,5,300,2
