iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,9.707638235986233,5.13308048248291,9.71109390258789,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
1,7.79591481640935,4.220930576324463,7.956320762634277,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
2,6.311115338139547,3.489952802658081,6.554287910461426,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
3,5.107238391617623,2.8926379680633545,5.414938926696777,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
4,4.17153939800725,2.4321343898773193,4.536237716674805,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
5,3.4501778408535757,2.044912338256836,3.802656650543213,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
6,2.872059420942678,1.735304594039917,3.2150607109069824,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
7,2.37506177314887,1.459413766860962,2.696495294570923,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
8,2.0295672021834372,1.267032265663147,2.337129592895508,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
9,1.6929419994800508,1.084202766418457,1.9995009899139404,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
10,1.444155103233837,0.9359551072120667,1.7257589101791382,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
11,1.22285338728223,0.8020881414413452,1.4774460792541504,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
12,1.0398059259490886,0.6943587064743042,1.2780492305755615,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
13,0.8870618072654664,0.603826642036438,1.1128772497177124,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
14,0.7556157719343901,0.5210587978363037,0.9615318775177002,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
15,0.6549389406450792,0.45730867981910706,0.8448711633682251,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
16,0.5677754143371324,0.3998710513114929,0.739375114440918,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
17,0.491725445780321,0.35245609283447266,0.6526257991790771,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
18,0.4221795006633814,0.30557873845100403,0.5672178268432617,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
19,0.364010050156503,0.26759767532348633,0.4979209899902344,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
20,0.31795229168259537,0.2371889054775238,0.44239336252212524,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
21,0.2776359293879553,0.20897306501865387,0.3903602659702301,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
22,0.24429534842609427,0.184943288564682,0.3465176224708557,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
23,0.21656423212829395,0.16589543223381042,0.3122393488883972,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
24,0.19328296221230024,0.14690260589122772,0.2775858938694,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
25,0.16888335388095585,0.1288483589887619,0.2448693960905075,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
26,0.1506121403122476,0.11478594690561295,0.2187492698431015,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
27,0.1331920358639521,0.10189986974000931,0.19522221386432648,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
28,0.11892079963950285,0.09147278964519501,0.17625296115875244,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
29,0.10662339036643971,0.08179958909749985,0.15873809158802032,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
30,0.09623468550756419,0.07317628711462021,0.1430714726448059,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
31,0.08750195522753833,0.06645721942186356,0.13081470131874084,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
32,0.07929639054151873,0.059400979429483414,0.11816182732582092,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
33,0.07139175339330298,0.0534207746386528,0.10721392929553986,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
34,0.06643956979018792,0.04883189499378204,0.09883653372526169,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
35,0.0616763254480126,0.044509612023830414,0.09111997485160828,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
36,0.05656741718955648,0.04002871364355087,0.08308257907629013,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
37,0.05312364829005674,0.03680604696273804,0.07736150175333023,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
38,0.049324889202446986,0.03403450548648834,0.0724453553557396,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
39,0.04686789060244337,0.03192818537354469,0.06862933933734894,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
40,0.04402574190249046,0.029431350529193878,0.06422501802444458,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
41,0.04097005975122253,0.027046922594308853,0.05997852981090546,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
42,0.03921602274756879,0.025420621037483215,0.05717906355857849,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
43,0.037509558465875066,0.024049067869782448,0.0546984039247036,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
44,0.03634745868155733,0.022648919373750687,0.05222203582525253,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
45,0.0337030614031634,0.020704854279756546,0.04867168515920639,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
46,0.03160213086948109,0.019077319651842117,0.045683398842811584,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
47,0.030195974312567462,0.01756865903735161,0.0428788997232914,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
48,0.029058058366257078,0.016769180074334145,0.04160183295607567,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
49,0.02839654977976655,0.016148801892995834,0.04058586061000824,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
50,0.026935184506389,0.014573785476386547,0.03772911801934242,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
51,0.02623571909343203,0.014103087596595287,0.03681659325957298,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
52,0.024967946059380967,0.01307121105492115,0.034950435161590576,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
53,0.024218864089925775,0.012228593230247498,0.033395446836948395,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
54,0.023881577871895085,0.012101707980036736,0.03310495242476463,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
55,0.02385289309604559,0.011855260469019413,0.0327085517346859,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
56,0.025200422042398713,0.012379992753267288,0.03374378755688667,3,150,10,500,2,0,0,False,2,False,0.01,1,5,300,2
