iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,384.31662,397.78033447265625,7.899791240692139,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
1,347.30182,379.8709411621094,7.545639991760254,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
2,315.46396,362.56658935546875,7.203845500946045,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
3,287.12357,346.47393798828125,6.886409759521484,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
4,260.40128,331.4757080078125,6.588737487792969,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
5,237.90283,318.7524108886719,6.336205005645752,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
6,216.95158,307.4316101074219,6.115365505218506,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
7,197.86484,296.9035339355469,5.90634298324585,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
8,180.62149,285.91680908203125,5.689388275146484,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
9,164.69057,274.15185546875,5.458285331726074,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
10,150.21172,263.50677490234375,5.243947982788086,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
11,137.03404,252.94482421875,5.035106182098389,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
12,125.43234,244.36990356445312,4.864514350891113,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
13,114.43927,235.81536865234375,4.69386625289917,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
14,104.63984,228.2124481201172,4.54593563079834,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
15,95.65397,220.30726623535156,4.393144130706787,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
16,87.71462,214.149658203125,4.270619869232178,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
17,80.257256,208.0605926513672,4.150959491729736,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
18,73.52332,201.11570739746094,4.011964321136475,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
19,67.20147,195.70501708984375,3.9042177200317383,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
20,61.489414,190.15975952148438,3.7955424785614014,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
21,56.3909,184.9680938720703,3.6918582916259766,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
22,51.655502,180.5913543701172,3.600853443145752,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
23,47.268288,175.980712890625,3.5108683109283447,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
24,43.3169,171.55435180664062,3.4240410327911377,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
25,39.58122,166.80355834960938,3.3300979137420654,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
26,36.351337,162.69773864746094,3.2482872009277344,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
27,33.265503,158.80801391601562,3.1684858798980713,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
28,30.423492,154.80006408691406,3.091186046600342,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
29,27.80792,151.50331115722656,3.025294303894043,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
30,25.41077,148.38368225097656,2.964101791381836,3,150,10,500,50,0,0,50,False,0.01,1,30,1500,0
