iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,0.04415173696931258,2.156364130187623,2,100,10,500,2,0,0,5,0.05,20,200
1,0.05203568901034124,2.0062473518665356,2,100,10,500,2,0,0,5,0.05,20,200
2,0.05434913170213629,1.943338018379513,2,100,10,500,2,0,0,5,0.05,20,200
3,0.07178142364233214,1.8727387875262866,2,100,10,500,2,0,0,5,0.05,20,200
4,0.07147922568102955,1.7700835818412677,2,100,10,500,2,0,0,5,0.05,20,200
5,0.07724854129587466,1.7656327208288736,2,100,10,500,2,0,0,5,0.05,20,200
6,0.07656977581878716,1.681066512181655,2,100,10,500,2,0,0,5,0.05,20,200
7,0.08282806424979854,1.6787943657911502,2,100,10,500,2,0,0,5,0.05,20,200
8,0.07987249831766083,1.6529225881153398,2,100,10,500,2,0,0,5,0.05,20,200
9,0.09184025943362291,1.6322040137399279,2,100,10,500,2,0,0,5,0.05,20,200
10,0.08554178826291527,1.5515572163917761,2,100,10,500,2,0,0,5,0.05,20,200
11,0.09475001710825592,1.5202826090756572,2,100,10,500,2,0,0,5,0.05,20,200
12,0.09066637904816728,1.536815945653507,2,100,10,500,2,0,0,5,0.05,20,200
13,0.09131744708016791,1.5360873019259866,2,100,10,500,2,0,0,5,0.05,20,200
14,0.09524290353656018,1.4877232818318524,2,100,10,500,2,0,0,5,0.05,20,200
15,0.09821349598270372,1.4879707840060998,2,100,10,500,2,0,0,5,0.05,20,200
16,0.09765145544380535,1.494130910152732,2,100,10,500,2,0,0,5,0.05,20,200
17,0.11029465837982863,1.4539606865060544,2,100,10,500,2,0,0,5,0.05,20,200
18,0.10388082902414864,1.4360059648605787,2,100,10,500,2,0,0,5,0.05,20,200
19,0.10605784557990645,1.438845728916644,2,100,10,500,2,0,0,5,0.05,20,200
20,0.11062163155954563,1.4379111746515882,2,100,10,500,2,0,0,5,0.05,20,200
21,0.10875071171813466,1.4105604983639952,2,100,10,500,2,0,0,5,0.05,20,200
22,0.11528549418316261,1.4109415825463154,2,100,10,500,2,0,0,5,0.05,20,200
23,0.1172426371309813,1.4054847281314315,2,100,10,500,2,0,0,5,0.05,20,200
24,0.11944794737091118,1.4105372862407561,2,100,10,500,2,0,0,5,0.05,20,200
25,0.12495030345514911,1.405129862102534,2,100,10,500,2,0,0,5,0.05,20,200
26,0.13159833149387615,1.3947918744372219,2,100,10,500,2,0,0,5,0.05,20,200
27,0.12645375875088163,1.3525820761968574,2,100,10,500,2,0,0,5,0.05,20,200
28,0.1213214799203254,1.3569752043190553,2,100,10,500,2,0,0,5,0.05,20,200
29,0.12239333902491638,1.3209764841589768,2,100,10,500,2,0,0,5,0.05,20,200
30,0.126363713614735,1.334820942961784,2,100,10,500,2,0,0,5,0.05,20,200
