iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,27.80069106179789,788.796182528615,3,150,10,500,50,0,0,10,0.05,30,200
1,30.11083279468015,793.3790818912472,3,150,10,500,50,0,0,10,0.05,30,200
2,31.8342597059692,793.4082138649383,3,150,10,500,50,0,0,10,0.05,30,200
3,27.883632949050515,794.0519893206224,3,150,10,500,50,0,0,10,0.05,30,200
4,30.080796632584498,791.3871744647079,3,150,10,500,50,0,0,10,0.05,30,200
5,26.574158065356073,789.7312157586101,3,150,10,500,50,0,0,10,0.05,30,200
6,28.179514232929662,783.7737924723107,3,150,10,500,50,0,0,10,0.05,30,200
7,28.210623503439408,787.2589289052136,3,150,10,500,50,0,0,10,0.05,30,200
8,28.68201637484668,790.5350472042686,3,150,10,500,50,0,0,10,0.05,30,200
9,28.47302675853482,785.7995302044841,3,150,10,500,50,0,0,10,0.05,30,200
10,30.945980260481665,796.2537196516611,3,150,10,500,50,0,0,10,0.05,30,200
11,30.69823554271084,791.5360404992111,3,150,10,500,50,0,0,10,0.05,30,200
12,31.71698553914614,790.6113281925456,3,150,10,500,50,0,0,10,0.05,30,200
13,24.664510953693263,792.1702419726464,3,150,10,500,50,0,0,10,0.05,30,200
14,30.59396940563854,791.6319915543694,3,150,10,500,50,0,0,10,0.05,30,200
15,26.437107847479552,786.4347887038871,3,150,10,500,50,0,0,10,0.05,30,200
16,27.71894810754214,786.9629753944404,3,150,10,500,50,0,0,10,0.05,30,200
17,30.086427086415,781.9131888933912,3,150,10,500,50,0,0,10,0.05,30,200
18,30.454359578435803,787.1224996845177,3,150,10,500,50,0,0,10,0.05,30,200
19,27.343622427491827,787.3013309156111,3,150,10,500,50,0,0,10,0.05,30,200
20,28.23426986709185,799.4182469654054,3,150,10,500,50,0,0,10,0.05,30,200
21,29.573584272906835,783.5567372111059,3,150,10,500,50,0,0,10,0.05,30,200
22,29.059451660549954,787.0031615803456,3,150,10,500,50,0,0,10,0.05,30,200
23,28.247752894283227,789.7320670088465,3,150,10,500,50,0,0,10,0.05,30,200
24,28.768761315335304,790.8080009705233,3,150,10,500,50,0,0,10,0.05,30,200
25,26.933549389296594,792.5361179430415,3,150,10,500,50,0,0,10,0.05,30,200
26,29.199080119187116,798.6064395458515,3,150,10,500,50,0,0,10,0.05,30,200
27,29.70247220976785,787.4485454252833,3,150,10,500,50,0,0,10,0.05,30,200
28,29.034926905733847,790.9790545970137,3,150,10,500,50,0,0,10,0.05,30,200
29,25.143973833553275,794.6000274401216,3,150,10,500,50,0,0,10,0.05,30,200
30,24.839560585681138,786.834508364861,3,150,10,500,50,0,0,10,0.05,30,200
31,26.544382682625,783.6882235986972,3,150,10,500,50,0,0,10,0.05,30,200
32,28.215270826926474,785.8814875000281,3,150,10,500,50,0,0,10,0.05,30,200
33,29.465974148973753,782.3889681670962,3,150,10,500,50,0,0,10,0.05,30,200
34,29.801497296846538,790.9117156630928,3,150,10,500,50,0,0,10,0.05,30,200
35,27.341798577209424,787.031808704306,3,150,10,500,50,0,0,10,0.05,30,200
36,28.54282561588864,788.2894281327715,3,150,10,500,50,0,0,10,0.05,30,200
37,29.3477695973327,784.9720213080539,3,150,10,500,50,0,0,10,0.05,30,200
38,27.919659489370485,791.3228161574452,3,150,10,500,50,0,0,10,0.05,30,200
39,27.259832237889793,785.8461083528142,3,150,10,500,50,0,0,10,0.05,30,200
40,27.354452384474037,783.3852156712993,3,150,10,500,50,0,0,10,0.05,30,200
41,27.474475907335666,791.128288680326,3,150,10,500,50,0,0,10,0.05,30,200
42,29.22761464585338,786.7658524989191,3,150,10,500,50,0,0,10,0.05,30,200
43,27.530033716905763,787.2971495127368,3,150,10,500,50,0,0,10,0.05,30,200
44,26.14136748625336,789.6872284171857,3,150,10,500,50,0,0,10,0.05,30,200
45,30.98540615382894,778.8432580067995,3,150,10,500,50,0,0,10,0.05,30,200
46,28.93803825199368,788.7765547806789,3,150,10,500,50,0,0,10,0.05,30,200
47,26.952207903418003,791.823311583415,3,150,10,500,50,0,0,10,0.05,30,200
48,28.231726447225288,791.9385128280564,3,150,10,500,50,0,0,10,0.05,30,200
49,27.842390041722187,788.3451486323614,3,150,10,500,50,0,0,10,0.05,30,200
50,31.905851331899576,796.6941403658336,3,150,10,500,50,0,0,10,0.05,30,200
51,28.577672995654236,791.2698931733636,3,150,10,500,50,0,0,10,0.05,30,200
52,30.53860385845526,790.6863198322565,3,150,10,500,50,0,0,10,0.05,30,200
53,30.083235644915586,796.9593510549167,3,150,10,500,50,0,0,10,0.05,30,200
54,29.799362160654383,787.8700764027166,3,150,10,500,50,0,0,10,0.05,30,200
55,27.268555355051838,796.7338919036679,3,150,10,500,50,0,0,10,0.05,30,200
56,29.768977244482098,789.2590870071084,3,150,10,500,50,0,0,10,0.05,30,200
57,26.974803744297734,789.3043045775792,3,150,10,500,50,0,0,10,0.05,30,200
58,28.812398864627532,782.3022133133894,3,150,10,500,50,0,0,10,0.05,30,200
59,28.645315639767322,796.5736545277327,3,150,10,500,50,0,0,10,0.05,30,200
60,31.20330326831077,787.6289397322857,3,150,10,500,50,0,0,10,0.05,30,200
61,28.286643943385904,787.8403204319677,3,150,10,500,50,0,0,10,0.05,30,200
62,27.42167357095664,787.0469017531675,3,150,10,500,50,0,0,10,0.05,30,200
63,31.193780637091294,790.4374201043106,3,150,10,500,50,0,0,10,0.05,30,200
64,31.17791519003116,786.9378669180549,3,150,10,500,50,0,0,10,0.05,30,200
65,27.79908610528916,784.8979267415039,3,150,10,500,50,0,0,10,0.05,30,200
66,30.79027008887219,786.2378315684156,3,150,10,500,50,0,0,10,0.05,30,200
67,26.140769290570386,790.292107852694,3,150,10,500,50,0,0,10,0.05,30,200
68,29.80176383634821,785.0443148139028,3,150,10,500,50,0,0,10,0.05,30,200
69,28.6080209150145,784.6252855646421,3,150,10,500,50,0,0,10,0.05,30,200
70,27.5537209272702,784.8805533501062,3,150,10,500,50,0,0,10,0.05,30,200
71,31.16380688028377,784.2385907926665,3,150,10,500,50,0,0,10,0.05,30,200
72,32.93181184190695,789.5484932144361,3,150,10,500,50,0,0,10,0.05,30,200
73,27.808903339887888,786.6922847546705,3,150,10,500,50,0,0,10,0.05,30,200
74,28.029865829657496,784.5247232019229,3,150,10,500,50,0,0,10,0.05,30,200
75,27.89208885583134,791.9594545281407,3,150,10,500,50,0,0,10,0.05,30,200
76,29.18344205959231,778.9747536097027,3,150,10,500,50,0,0,10,0.05,30,200
77,27.630797728877138,785.0190339132962,3,150,10,500,50,0,0,10,0.05,30,200
78,31.97890830651138,791.0018046827391,3,150,10,500,50,0,0,10,0.05,30,200
79,29.771798714034897,792.1085186311011,3,150,10,500,50,0,0,10,0.05,30,200
80,27.33373957486178,783.631887550086,3,150,10,500,50,0,0,10,0.05,30,200
81,29.248262404002066,791.344639349167,3,150,10,500,50,0,0,10,0.05,30,200
82,27.423158070873953,781.6006192317269,3,150,10,500,50,0,0,10,0.05,30,200
83,28.700600919519367,784.3982163252341,3,150,10,500,50,0,0,10,0.05,30,200
84,29.930207663900923,793.6616464872637,3,150,10,500,50,0,0,10,0.05,30,200
85,30.492078665044282,789.8849821496474,3,150,10,500,50,0,0,10,0.05,30,200
86,29.683832119667937,787.9361052830124,3,150,10,500,50,0,0,10,0.05,30,200
87,27.774973213253293,790.1920257490717,3,150,10,500,50,0,0,10,0.05,30,200
88,26.94497528431443,789.1854495747457,3,150,10,500,50,0,0,10,0.05,30,200
89,28.588939399380592,788.2612439139779,3,150,10,500,50,0,0,10,0.05,30,200
90,27.567517538246083,788.0188230930534,3,150,10,500,50,0,0,10,0.05,30,200
91,28.696916599116182,801.3559483779588,3,150,10,500,50,0,0,10,0.05,30,200
92,27.40260652253388,788.2218148735518,3,150,10,500,50,0,0,10,0.05,30,200
93,31.617062446098803,788.7615331675831,3,150,10,500,50,0,0,10,0.05,30,200
94,31.796473884074693,790.3308348064903,3,150,10,500,50,0,0,10,0.05,30,200
95,29.33364483351858,786.724012492734,3,150,10,500,50,0,0,10,0.05,30,200
96,28.679521256219548,791.1727499742432,3,150,10,500,50,0,0,10,0.05,30,200
97,31.3052055367354,784.6724491534987,3,150,10,500,50,0,0,10,0.05,30,200
98,30.267405048370154,782.6911250514502,3,150,10,500,50,0,0,10,0.05,30,200
99,31.358501554326946,782.3629346240506,3,150,10,500,50,0,0,10,0.05,30,200
100,25.875817686630885,777.8298428127582,3,150,10,500,50,0,0,10,0.05,30,200
101,30.805955270144622,783.3093379743782,3,150,10,500,50,0,0,10,0.05,30,200
102,27.818161771943778,787.3393900139355,3,150,10,500,50,0,0,10,0.05,30,200
103,27.62156160014804,783.6611831628685,3,150,10,500,50,0,0,10,0.05,30,200
104,27.055874629964464,783.7009792111364,3,150,10,500,50,0,0,10,0.05,30,200
105,30.224518507795157,789.2754738708798,3,150,10,500,50,0,0,10,0.05,30,200
106,28.731477443533112,786.4194648308674,3,150,10,500,50,0,0,10,0.05,30,200
107,28.905033392279037,789.5641909968882,3,150,10,500,50,0,0,10,0.05,30,200
108,26.865445721143622,791.9682067336552,3,150,10,500,50,0,0,10,0.05,30,200
109,25.80377006923052,784.647841876389,3,150,10,500,50,0,0,10,0.05,30,200
110,29.36618195119342,785.1860137137029,3,150,10,500,50,0,0,10,0.05,30,200
111,28.26744841056609,779.2070252202914,3,150,10,500,50,0,0,10,0.05,30,200
112,26.918967071624472,786.0475703458175,3,150,10,500,50,0,0,10,0.05,30,200
113,27.867376927581052,788.5766047613913,3,150,10,500,50,0,0,10,0.05,30,200
114,28.949683313580813,791.4433447688823,3,150,10,500,50,0,0,10,0.05,30,200
115,28.24021967979414,785.0905782991107,3,150,10,500,50,0,0,10,0.05,30,200
116,29.435771387363214,785.7840478815206,3,150,10,500,50,0,0,10,0.05,30,200
117,29.164625883406053,780.0525460896781,3,150,10,500,50,0,0,10,0.05,30,200
118,29.321001468283296,787.7689389614565,3,150,10,500,50,0,0,10,0.05,30,200
119,27.868339170692366,788.8245867977698,3,150,10,500,50,0,0,10,0.05,30,200
120,28.077439939706576,789.6058403282299,3,150,10,500,50,0,0,10,0.05,30,200
121,29.893189800336458,785.421508394333,3,150,10,500,50,0,0,10,0.05,30,200
122,27.65796984153194,785.420745325033,3,150,10,500,50,0,0,10,0.05,30,200
123,28.88353196313903,794.7532648003215,3,150,10,500,50,0,0,10,0.05,30,200
124,28.61625038078364,785.3330494572277,3,150,10,500,50,0,0,10,0.05,30,200
125,30.252886226596264,792.1283599051467,3,150,10,500,50,0,0,10,0.05,30,200
126,28.34458608935439,792.3838161612514,3,150,10,500,50,0,0,10,0.05,30,200
127,30.15682402235794,788.3064648607221,3,150,10,500,50,0,0,10,0.05,30,200
128,29.37493576251583,783.3666032802923,3,150,10,500,50,0,0,10,0.05,30,200
129,27.035213879730183,785.7640920245806,3,150,10,500,50,0,0,10,0.05,30,200
130,30.353882032476832,784.659981314989,3,150,10,500,50,0,0,10,0.05,30,200
131,30.697596442383748,791.8366085140007,3,150,10,500,50,0,0,10,0.05,30,200
132,30.630713459145554,789.9813589809972,3,150,10,500,50,0,0,10,0.05,30,200
133,28.398726404672956,789.1372476175989,3,150,10,500,50,0,0,10,0.05,30,200
134,30.335660072474475,786.1571249545027,3,150,10,500,50,0,0,10,0.05,30,200
135,29.118173927202335,790.5276494233967,3,150,10,500,50,0,0,10,0.05,30,200
136,33.6765554458545,792.1479020989259,3,150,10,500,50,0,0,10,0.05,30,200
137,27.01293626417507,787.695819467986,3,150,10,500,50,0,0,10,0.05,30,200
138,28.674405642098044,782.8075674824628,3,150,10,500,50,0,0,10,0.05,30,200
139,28.450180054520473,779.7211413151681,3,150,10,500,50,0,0,10,0.05,30,200
140,30.772524110751245,792.330724472765,3,150,10,500,50,0,0,10,0.05,30,200
141,29.367445217087333,789.3765297208739,3,150,10,500,50,0,0,10,0.05,30,200
142,28.77950588817653,788.6904771645288,3,150,10,500,50,0,0,10,0.05,30,200
143,29.784826262260534,783.2722672738743,3,150,10,500,50,0,0,10,0.05,30,200
144,30.04340140818897,784.4397338607076,3,150,10,500,50,0,0,10,0.05,30,200
145,28.886213396309866,788.6047045448671,3,150,10,500,50,0,0,10,0.05,30,200
146,29.083816427513593,775.7231925032671,3,150,10,500,50,0,0,10,0.05,30,200
147,30.673539526234986,783.5657592926539,3,150,10,500,50,0,0,10,0.05,30,200
148,33.4934925879672,786.9418136398832,3,150,10,500,50,0,0,10,0.05,30,200
149,27.98265148166458,789.4279927807696,3,150,10,500,50,0,0,10,0.05,30,200
150,28.41418271107955,786.4060523721926,3,150,10,500,50,0,0,10,0.05,30,200
151,29.945254650508662,787.2295817767701,3,150,10,500,50,0,0,10,0.05,30,200
152,30.06262733925376,786.4997159676053,3,150,10,500,50,0,0,10,0.05,30,200
153,29.654281789651012,782.4757105626171,3,150,10,500,50,0,0,10,0.05,30,200
154,29.569420524191038,787.2116387726747,3,150,10,500,50,0,0,10,0.05,30,200
155,28.031276993397146,790.6108283275638,3,150,10,500,50,0,0,10,0.05,30,200
156,26.910184816549105,781.8373917644927,3,150,10,500,50,0,0,10,0.05,30,200
157,30.30105413747427,794.1020718608984,3,150,10,500,50,0,0,10,0.05,30,200
158,32.21000485436192,782.498133671164,3,150,10,500,50,0,0,10,0.05,30,200
159,30.70570305009905,786.5578864067531,3,150,10,500,50,0,0,10,0.05,30,200
160,29.36882018399226,784.2945728083076,3,150,10,500,50,0,0,10,0.05,30,200
161,28.507948605104783,787.503713619376,3,150,10,500,50,0,0,10,0.05,30,200
162,27.855802388798907,782.2282874924193,3,150,10,500,50,0,0,10,0.05,30,200
163,28.39537693675992,787.3465348466053,3,150,10,500,50,0,0,10,0.05,30,200
164,32.62235942277495,787.8505731985634,3,150,10,500,50,0,0,10,0.05,30,200
165,30.105204656330496,785.4287529972036,3,150,10,500,50,0,0,10,0.05,30,200
166,28.566398017655278,791.2713564876748,3,150,10,500,50,0,0,10,0.05,30,200
167,28.7493680699856,786.5513201143261,3,150,10,500,50,0,0,10,0.05,30,200
