iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,38.503405064482784,770.2275625514511,3,150,10,500,50,0,0,5,0.05,30,200
1,37.424593112669655,766.7103499414908,3,150,10,500,50,0,0,5,0.05,30,200
2,45.46991243487799,747.6688020295479,3,150,10,500,50,0,0,5,0.05,30,200
3,45.73746982624386,739.3110717238754,3,150,10,500,50,0,0,5,0.05,30,200
4,49.657172380397554,728.0725888844079,3,150,10,500,50,0,0,5,0.05,30,200
5,56.79519516480374,725.0635943347552,3,150,10,500,50,0,0,5,0.05,30,200
6,57.34625875549473,710.9901478319806,3,150,10,500,50,0,0,5,0.05,30,200
7,59.49309485002652,703.6132809398414,3,150,10,500,50,0,0,5,0.05,30,200
8,62.57189702396736,691.159649280441,3,150,10,500,50,0,0,5,0.05,30,200
9,64.30377446000105,685.5786038319444,3,150,10,500,50,0,0,5,0.05,30,200
10,68.27444890151284,684.2802948980514,3,150,10,500,50,0,0,5,0.05,30,200
11,68.57636524492548,670.3607362949817,3,150,10,500,50,0,0,5,0.05,30,200
12,73.77292101669693,669.5613323837813,3,150,10,500,50,0,0,5,0.05,30,200
13,73.88687801866446,659.7162914818688,3,150,10,500,50,0,0,5,0.05,30,200
14,82.4622566790679,653.9782305121414,3,150,10,500,50,0,0,5,0.05,30,200
15,85.72082913372775,653.2343854440421,3,150,10,500,50,0,0,5,0.05,30,200
16,87.5214012640637,647.2672689917613,3,150,10,500,50,0,0,5,0.05,30,200
17,87.01137943518656,635.6857221232577,3,150,10,500,50,0,0,5,0.05,30,200
18,88.95270240388835,637.1147889009401,3,150,10,500,50,0,0,5,0.05,30,200
19,90.2838349499767,632.6638391614542,3,150,10,500,50,0,0,5,0.05,30,200
20,95.92531093079391,623.7681907878072,3,150,10,500,50,0,0,5,0.05,30,200
21,99.83571696853537,625.6854921358961,3,150,10,500,50,0,0,5,0.05,30,200
22,101.16559781385335,622.2183861974361,3,150,10,500,50,0,0,5,0.05,30,200
23,99.8884063190553,617.1365142944685,3,150,10,500,50,0,0,5,0.05,30,200
24,103.7525931795441,621.0979945544279,3,150,10,500,50,0,0,5,0.05,30,200
25,107.55518477304769,607.6597460397744,3,150,10,500,50,0,0,5,0.05,30,200
26,102.89042121777038,606.7836168778914,3,150,10,500,50,0,0,5,0.05,30,200
27,113.10361433269617,604.3473673503754,3,150,10,500,50,0,0,5,0.05,30,200
28,112.96485500602364,604.3494420386924,3,150,10,500,50,0,0,5,0.05,30,200
29,114.48652409420824,607.8285938165933,3,150,10,500,50,0,0,5,0.05,30,200
30,117.56683589326097,597.5288751987886,3,150,10,500,50,0,0,5,0.05,30,200
31,122.11120520919988,595.4417475730414,3,150,10,500,50,0,0,5,0.05,30,200
32,124.43939016731404,595.753042019869,3,150,10,500,50,0,0,5,0.05,30,200
33,122.31570618947904,589.2804669476374,3,150,10,500,50,0,0,5,0.05,30,200
34,122.46963256942605,583.324647044922,3,150,10,500,50,0,0,5,0.05,30,200
35,121.30113971315082,586.6413970776076,3,150,10,500,50,0,0,5,0.05,30,200
36,128.27577233779425,586.2815830370888,3,150,10,500,50,0,0,5,0.05,30,200
37,128.6791189621126,583.3788160579965,3,150,10,500,50,0,0,5,0.05,30,200
38,136.84443244746288,581.7876280009293,3,150,10,500,50,0,0,5,0.05,30,200
39,134.4458629860921,574.3923855524448,3,150,10,500,50,0,0,5,0.05,30,200
40,132.54325481781012,574.8269553722034,3,150,10,500,50,0,0,5,0.05,30,200
41,135.03994268410682,576.2829041561604,3,150,10,500,50,0,0,5,0.05,30,200
42,144.54443690928855,574.8884167590269,3,150,10,500,50,0,0,5,0.05,30,200
43,143.1628846069207,566.7821752641026,3,150,10,500,50,0,0,5,0.05,30,200
44,145.25921635611874,563.2553637597009,3,150,10,500,50,0,0,5,0.05,30,200
45,147.26097967603695,559.9538944881381,3,150,10,500,50,0,0,5,0.05,30,200
46,149.69205001778934,560.2163694241858,3,150,10,500,50,0,0,5,0.05,30,200
47,150.62457148860952,555.3424036303599,3,150,10,500,50,0,0,5,0.05,30,200
48,147.24473045431867,554.9600181980634,3,150,10,500,50,0,0,5,0.05,30,200
49,155.63859459114266,555.1771138364367,3,150,10,500,50,0,0,5,0.05,30,200
50,151.75157830046368,557.6860415891698,3,150,10,500,50,0,0,5,0.05,30,200
51,154.1714009545157,549.2225019807508,3,150,10,500,50,0,0,5,0.05,30,200
52,155.74385453879506,545.7921126230232,3,150,10,500,50,0,0,5,0.05,30,200
53,158.594556841484,547.0813687552878,3,150,10,500,50,0,0,5,0.05,30,200
54,162.61070625088746,548.5253490018367,3,150,10,500,50,0,0,5,0.05,30,200
55,162.58932039541605,551.7515218261173,3,150,10,500,50,0,0,5,0.05,30,200
56,164.8415809205757,546.1307919506303,3,150,10,500,50,0,0,5,0.05,30,200
57,160.16190539629392,552.6855215159676,3,150,10,500,50,0,0,5,0.05,30,200
58,166.0167867411238,537.04824755738,3,150,10,500,50,0,0,5,0.05,30,200
59,166.15968340801498,540.6877232251139,3,150,10,500,50,0,0,5,0.05,30,200
60,170.5251592433883,544.705347912486,3,150,10,500,50,0,0,5,0.05,30,200
61,169.858037347757,540.6995963358586,3,150,10,500,50,0,0,5,0.05,30,200
62,171.50165323293805,539.4169862260366,3,150,10,500,50,0,0,5,0.05,30,200
63,168.8982289223627,539.027238036257,3,150,10,500,50,0,0,5,0.05,30,200
64,167.53363846505061,529.4654333987696,3,150,10,500,50,0,0,5,0.05,30,200
65,171.11338909904026,536.6280803047274,3,150,10,500,50,0,0,5,0.05,30,200
