iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,11.324406,10.996838569641113,5.4561638832092285,3,150,10,500,2,0,2,False,0.01,30,1500
1,10.149167,9.870685577392578,4.896867752075195,3,150,10,500,2,0,2,False,0.01,30,1500
2,9.125019,8.877123832702637,4.40425443649292,3,150,10,500,2,0,2,False,0.01,30,1500
3,8.203236,7.987542629241943,3.963893413543701,3,150,10,500,2,0,2,False,0.01,30,1500
4,7.3709507,7.174762725830078,3.5612614154815674,3,150,10,500,2,0,2,False,0.01,30,1500
5,6.6742544,6.496829986572266,3.2235918045043945,3,150,10,500,2,0,2,False,0.01,30,1500
6,6.0514584,5.888813018798828,2.921175479888916,3,150,10,500,2,0,2,False,0.01,30,1500
7,5.472335,5.311593532562256,2.6355690956115723,3,150,10,500,2,0,2,False,0.01,30,1500
8,4.9612365,4.813806056976318,2.388913631439209,3,150,10,500,2,0,2,False,0.01,30,1500
9,4.481874,4.348335266113281,2.1586742401123047,3,150,10,500,2,0,2,False,0.01,30,1500
10,4.0744567,3.94998836517334,1.9613279104232788,3,150,10,500,2,0,2,False,0.01,30,1500
11,3.7149162,3.595688581466675,1.7853591442108154,3,150,10,500,2,0,2,False,0.01,30,1500
12,3.3655093,3.257219076156616,1.6172263622283936,3,150,10,500,2,0,2,False,0.01,30,1500
13,3.0752892,2.9791886806488037,1.4791909456253052,3,150,10,500,2,0,2,False,0.01,30,1500
14,2.811606,2.7177114486694336,1.3496158123016357,3,150,10,500,2,0,2,False,0.01,30,1500
15,2.5776994,2.486513614654541,1.2347837686538696,3,150,10,500,2,0,2,False,0.01,30,1500
16,2.3468945,2.266861915588379,1.1258111000061035,3,150,10,500,2,0,2,False,0.01,30,1500
17,2.1506524,2.0813636779785156,1.033591628074646,3,150,10,500,2,0,2,False,0.01,30,1500
18,1.9865725,1.9273405075073242,0.9569188952445984,3,150,10,500,2,0,2,False,0.01,30,1500
19,1.835064,1.7823854684829712,0.8847873210906982,3,150,10,500,2,0,2,False,0.01,30,1500
20,1.6859443,1.6371022462844849,0.812797486782074,3,150,10,500,2,0,2,False,0.01,30,1500
21,1.5580246,1.5099822282791138,0.7498648762702942,3,150,10,500,2,0,2,False,0.01,30,1500
22,1.4332906,1.3878363370895386,0.6892633438110352,3,150,10,500,2,0,2,False,0.01,30,1500
23,1.3256958,1.2812762260437012,0.6362717747688293,3,150,10,500,2,0,2,False,0.01,30,1500
24,1.2188748,1.1788218021392822,0.5851767063140869,3,150,10,500,2,0,2,False,0.01,30,1500
