iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,8.924788,16.08907,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
1,8.315325,14.974953,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
2,7.780355,13.999367,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
3,7.2457094,13.046406,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
4,6.762099,12.159563,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
5,6.316515,11.3426,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
6,5.8915806,10.568988,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
7,5.5130506,9.875697,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
8,5.1506076,9.2221,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
9,4.8046956,8.60362,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
10,4.4826393,8.026772,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
11,4.186394,7.4807415,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
12,3.9060507,6.9668756,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
13,3.6440113,6.492604,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
14,3.4009473,6.056021,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
15,3.181962,5.6624384,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
16,2.9731371,5.281047,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
17,2.7790625,4.9343877,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
18,2.594186,4.6072035,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
19,2.4212039,4.294119,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
20,2.260333,4.0060086,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
21,2.114651,3.742172,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
22,1.9797543,3.5004196,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
23,1.8524077,3.2709155,2,100,10,2,0,2,False,MSELoss(),0.01,20,500
