iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,328.9099,369.2910461425781,7.3472795486450195,2,100,10,500,50,0,50,False,0.03,20,1500
1,262.0629,329.4418029785156,6.569535255432129,2,100,10,500,50,0,50,False,0.03,20,1500
2,211.22034,299.24530029296875,5.933791160583496,2,100,10,500,50,0,50,False,0.03,20,1500
3,172.96417,273.486328125,5.38950252532959,2,100,10,500,50,0,50,False,0.03,20,1500
4,144.84943,249.1499786376953,4.866278648376465,2,100,10,500,50,0,50,False,0.03,20,1500
5,122.9376,232.98841857910156,4.48838996887207,2,100,10,500,50,0,50,False,0.03,20,1500
6,105.98489,218.96044921875,4.170238018035889,2,100,10,500,50,0,50,False,0.03,20,1500
7,93.39353,206.39761352539062,3.860239267349243,2,100,10,500,50,0,50,False,0.03,20,1500
8,83.68018,196.4635467529297,3.5965640544891357,2,100,10,500,50,0,50,False,0.03,20,1500
9,76.12715,187.84776306152344,3.397310972213745,2,100,10,500,50,0,50,False,0.03,20,1500
10,69.998566,176.8843536376953,3.1947078704833984,2,100,10,500,50,0,50,False,0.03,20,1500
11,65.80381,172.60568237304688,3.0729830265045166,2,100,10,500,50,0,50,False,0.03,20,1500
12,62.239502,164.75210571289062,2.8934051990509033,2,100,10,500,50,0,50,False,0.03,20,1500
13,59.579132,159.5977325439453,2.7605233192443848,2,100,10,500,50,0,50,False,0.03,20,1500
14,57.470592,157.03289794921875,2.6669771671295166,2,100,10,500,50,0,50,False,0.03,20,1500
15,55.88539,153.5032958984375,2.5500328540802,2,100,10,500,50,0,50,False,0.03,20,1500
16,54.539677,148.51593017578125,2.4395296573638916,2,100,10,500,50,0,50,False,0.03,20,1500
17,53.590664,144.64195251464844,2.3440582752227783,2,100,10,500,50,0,50,False,0.03,20,1500
18,52.843117,140.60671997070312,2.2264461517333984,2,100,10,500,50,0,50,False,0.03,20,1500
19,52.136417,136.95350646972656,2.1307730674743652,2,100,10,500,50,0,50,False,0.03,20,1500
20,51.619938,133.2226104736328,2.0467324256896973,2,100,10,500,50,0,50,False,0.03,20,1500
21,51.19348,130.9097442626953,1.9661234617233276,2,100,10,500,50,0,50,False,0.03,20,1500
22,50.76754,128.906005859375,1.893833875656128,2,100,10,500,50,0,50,False,0.03,20,1500
23,50.51113,127.23818969726562,1.83372962474823,2,100,10,500,50,0,50,False,0.03,20,1500
24,50.286198,125.49117279052734,1.7925523519515991,2,100,10,500,50,0,50,False,0.03,20,1500
25,50.052593,125.21610260009766,1.7439638376235962,2,100,10,500,50,0,50,False,0.03,20,1500
