iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,11.365153,11.030735969543457,5.494696617126465,3,150,10,500,2,0,2,False,0.01,30,1500
1,10.181175,9.874971389770508,4.92003870010376,3,150,10,500,2,0,2,False,0.01,30,1500
2,9.129425,8.846905708312988,4.410219192504883,3,150,10,500,2,0,2,False,0.01,30,1500
3,8.205741,7.941434860229492,3.9597418308258057,3,150,10,500,2,0,2,False,0.01,30,1500
4,7.3810554,7.142798900604248,3.5618059635162354,3,150,10,500,2,0,2,False,0.01,30,1500
5,6.641378,6.43689489364624,3.209550619125366,3,150,10,500,2,0,2,False,0.01,30,1500
6,6.0073094,5.815779685974121,2.900193691253662,3,150,10,500,2,0,2,False,0.01,30,1500
7,5.4281144,5.263340950012207,2.6250061988830566,3,150,10,500,2,0,2,False,0.01,30,1500
8,4.9043913,4.758140563964844,2.3730881214141846,3,150,10,500,2,0,2,False,0.01,30,1500
9,4.440925,4.314029216766357,2.1514394283294678,3,150,10,500,2,0,2,False,0.01,30,1500
10,4.050999,3.9236788749694824,1.957134485244751,3,150,10,500,2,0,2,False,0.01,30,1500
11,3.6832788,3.5689096450805664,1.780484676361084,3,150,10,500,2,0,2,False,0.01,30,1500
12,3.3456628,3.244783639907837,1.6183127164840698,3,150,10,500,2,0,2,False,0.01,30,1500
13,3.0461688,2.957632541656494,1.474582314491272,3,150,10,500,2,0,2,False,0.01,30,1500
14,2.788823,2.7043519020080566,1.348246693611145,3,150,10,500,2,0,2,False,0.01,30,1500
15,2.5639365,2.4854984283447266,1.2395154237747192,3,150,10,500,2,0,2,False,0.01,30,1500
16,2.35237,2.28105092048645,1.1373380422592163,3,150,10,500,2,0,2,False,0.01,30,1500
17,2.1580215,2.090487480163574,1.0423486232757568,3,150,10,500,2,0,2,False,0.01,30,1500
18,1.9698659,1.9133225679397583,0.9536836743354797,3,150,10,500,2,0,2,False,0.01,30,1500
19,1.8205774,1.7658026218414307,0.8803917765617371,3,150,10,500,2,0,2,False,0.01,30,1500
20,1.6859124,1.6354366540908813,0.8151918053627014,3,150,10,500,2,0,2,False,0.01,30,1500
21,1.5493932,1.5032758712768555,0.749396562576294,3,150,10,500,2,0,2,False,0.01,30,1500
22,1.4316975,1.3858468532562256,0.6909674406051636,3,150,10,500,2,0,2,False,0.01,30,1500
23,1.3203267,1.2779542207717896,0.6369871497154236,3,150,10,500,2,0,2,False,0.01,30,1500
24,1.223642,1.1839618682861328,0.5900489091873169,3,150,10,500,2,0,2,False,0.01,30,1500
25,1.1295334,1.095159888267517,0.545702338218689,3,150,10,500,2,0,2,False,0.01,30,1500
26,1.0408009,1.0100252628326416,0.5032450556755066,3,150,10,500,2,0,2,False,0.01,30,1500
27,0.9606783,0.9311028122901917,0.46410223841667175,3,150,10,500,2,0,2,False,0.01,30,1500
28,0.8913531,0.8628392815589905,0.4300970137119293,3,150,10,500,2,0,2,False,0.01,30,1500
29,0.82582176,0.7987353205680847,0.39808666706085205,3,150,10,500,2,0,2,False,0.01,30,1500
30,0.7593569,0.7346829175949097,0.3662813603878021,3,150,10,500,2,0,2,False,0.01,30,1500
31,0.7039866,0.6812270879745483,0.3396584391593933,3,150,10,500,2,0,2,False,0.01,30,1500
32,0.65006995,0.6298261880874634,0.31403422355651855,3,150,10,500,2,0,2,False,0.01,30,1500
33,0.60044336,0.5828291773796082,0.2905583381652832,3,150,10,500,2,0,2,False,0.01,30,1500
34,0.5507971,0.5344243049621582,0.2664279043674469,3,150,10,500,2,0,2,False,0.01,30,1500
35,0.50744855,0.4924432933330536,0.24552462995052338,3,150,10,500,2,0,2,False,0.01,30,1500
36,0.46611512,0.45188573002815247,0.22532318532466888,3,150,10,500,2,0,2,False,0.01,30,1500
37,0.42778143,0.4149760603904724,0.20696856081485748,3,150,10,500,2,0,2,False,0.01,30,1500
38,0.3948857,0.38300877809524536,0.19099615514278412,3,150,10,500,2,0,2,False,0.01,30,1500
39,0.3645924,0.3536416292190552,0.17638906836509705,3,150,10,500,2,0,2,False,0.01,30,1500
40,0.3360985,0.3267718255519867,0.16295744478702545,3,150,10,500,2,0,2,False,0.01,30,1500
41,0.30943373,0.30118438601493835,0.15018539130687714,3,150,10,500,2,0,2,False,0.01,30,1500
42,0.2837653,0.27701911330223083,0.13813446462154388,3,150,10,500,2,0,2,False,0.01,30,1500
43,0.26229575,0.2560902237892151,0.12769407033920288,3,150,10,500,2,0,2,False,0.01,30,1500
44,0.24224894,0.23704560101032257,0.1181761845946312,3,150,10,500,2,0,2,False,0.01,30,1500
45,0.22353472,0.2194507122039795,0.10939192771911621,3,150,10,500,2,0,2,False,0.01,30,1500
46,0.2067278,0.20255275070667267,0.10096393525600433,3,150,10,500,2,0,2,False,0.01,30,1500
47,0.19118743,0.18759474158287048,0.0935433954000473,3,150,10,500,2,0,2,False,0.01,30,1500
48,0.17643115,0.1731579303741455,0.08635427057743073,3,150,10,500,2,0,2,False,0.01,30,1500
49,0.16280963,0.16004903614521027,0.07982025295495987,3,150,10,500,2,0,2,False,0.01,30,1500
50,0.1507196,0.1480969339609146,0.0738520473241806,3,150,10,500,2,0,2,False,0.01,30,1500
51,0.13866107,0.13620619475841522,0.06792682409286499,3,150,10,500,2,0,2,False,0.01,30,1500
52,0.12789366,0.12597964704036713,0.06283628940582275,3,150,10,500,2,0,2,False,0.01,30,1500
53,0.1180742,0.11656008660793304,0.05813905969262123,3,150,10,500,2,0,2,False,0.01,30,1500
54,0.109024875,0.1076720729470253,0.05370001122355461,3,150,10,500,2,0,2,False,0.01,30,1500
55,0.100681044,0.09948136657476425,0.049616988748311996,3,150,10,500,2,0,2,False,0.01,30,1500
56,0.09266989,0.09170028567314148,0.04571973904967308,3,150,10,500,2,0,2,False,0.01,30,1500
57,0.08526094,0.08464574813842773,0.042192403227090836,3,150,10,500,2,0,2,False,0.01,30,1500
58,0.0786507,0.07805480062961578,0.0389205627143383,3,150,10,500,2,0,2,False,0.01,30,1500
59,0.07197972,0.0716623067855835,0.035720277577638626,3,150,10,500,2,0,2,False,0.01,30,1500
60,0.06627869,0.06613517552614212,0.03296654671430588,3,150,10,500,2,0,2,False,0.01,30,1500
61,0.061293222,0.06108863279223442,0.03045434132218361,3,150,10,500,2,0,2,False,0.01,30,1500
62,0.056750488,0.05646523833274841,0.028159257024526596,3,150,10,500,2,0,2,False,0.01,30,1500
63,0.052457448,0.05230285972356796,0.026080386713147163,3,150,10,500,2,0,2,False,0.01,30,1500
64,0.048308372,0.048215363174676895,0.024039264768362045,3,150,10,500,2,0,2,False,0.01,30,1500
65,0.044858735,0.04471105709671974,0.022289838641881943,3,150,10,500,2,0,2,False,0.01,30,1500
66,0.041439425,0.041390907019376755,0.020636076107621193,3,150,10,500,2,0,2,False,0.01,30,1500
