iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,4.458891,4.552487850189209,2.2644033432006836,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
1,4.082449,4.1754560470581055,2.080376386642456,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
2,3.7394438,3.8274917602539062,1.9106906652450562,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
3,3.431398,3.5190203189849854,1.7602448463439941,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
4,3.1512733,3.240685224533081,1.6242932081222534,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
5,2.8796244,2.968568801879883,1.4912257194519043,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
6,2.636197,2.7306296825408936,1.3745214939117432,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
7,2.4189117,2.511892080307007,1.2671411037445068,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
8,2.2149675,2.3070356845855713,1.1667470932006836,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
9,2.0307508,2.1215903759002686,1.0750389099121094,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
10,1.865939,1.9517951011657715,0.991078794002533,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
11,1.7153834,1.7998117208480835,0.9161041975021362,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
12,1.5802037,1.6587907075881958,0.8464325666427612,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
13,1.4512801,1.526137351989746,0.7807075381278992,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
14,1.3353302,1.4073896408081055,0.7218431830406189,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
15,1.2272258,1.2951446771621704,0.6659753918647766,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
16,1.1291993,1.1930725574493408,0.6150956153869629,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
17,1.0428615,1.1042146682739258,0.5705253481864929,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
18,0.95966494,1.0184881687164307,0.5275750160217285,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
19,0.88665736,0.9405514597892761,0.48854967951774597,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
20,0.82564664,0.8766793012619019,0.456539511680603,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
21,0.7648496,0.8130212426185608,0.42454633116722107,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
22,0.71158564,0.7563948631286621,0.39617255330085754,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
23,0.66296214,0.7042027115821838,0.3699004352092743,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
24,0.6160473,0.6564337015151978,0.34581851959228516,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
25,0.5710413,0.6095400452613831,0.3221868872642517,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
26,0.5295184,0.5648247003555298,0.29965677857398987,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
27,0.49168926,0.525373637676239,0.27959272265434265,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
28,0.45818886,0.48948603868484497,0.26138871908187866,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
29,0.4260417,0.45558175444602966,0.24432668089866638,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
30,0.39546064,0.4239194393157959,0.22832272946834564,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
31,0.3686935,0.3956175744533539,0.21399825811386108,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
32,0.34426734,0.3696224093437195,0.2006746232509613,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
33,0.32176003,0.34532493352890015,0.18824756145477295,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
34,0.2981257,0.32060253620147705,0.17556755244731903,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
35,0.27741894,0.29850634932518005,0.16416849195957184,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
36,0.257976,0.27714240550994873,0.153154656291008,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
37,0.24068993,0.2583659291267395,0.14346328377723694,2,100,10,500,2,0,0,2,False,0.01,1,20,500,0
