iter,mse,loss_mean,data_n_clusters,data_n_clients,data_n_samples,data_n_features,data_noise_scale,model_n_features,model_bias,algo_loss_fn,algo_lrate,algo_S,algo_R
0,6.702647,317.8547,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
1,5.844418,236.09996,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
2,5.1168118,178.70184,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
3,4.5335283,135.56784,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
4,3.992901,102.00659,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
5,3.5513134,77.111664,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
6,3.1789794,58.135303,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
7,2.840016,44.75256,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
8,2.5822577,34.442223,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
9,2.3495407,26.524363,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
10,2.1457298,20.692886,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
11,1.9651666,16.42418,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
12,1.7839537,12.813052,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
13,1.6382672,10.105411,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
14,1.5039089,7.996926,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
15,1.3817949,6.274088,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
16,1.26879,5.045526,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
17,1.1685704,4.0596995,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
18,1.0938329,3.340656,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
19,1.0181673,2.7625778,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
20,0.95837855,2.317367,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
21,0.8985404,1.9484574,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
22,0.83960783,1.6589634,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
23,0.78168595,1.4106665,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
24,0.72926205,1.2343044,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
25,0.6812253,1.0804205,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
26,0.64237607,0.962976,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
27,0.60594743,0.8627039,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
28,0.57183784,0.7916473,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
29,0.53696847,0.71561205,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
30,0.50195086,0.62435323,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
31,0.4732822,0.53096914,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
32,0.44535792,0.47571746,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
33,0.42124644,0.43906698,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
34,0.3974175,0.40002936,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
35,0.37811586,0.3477395,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
36,0.35706958,0.3297074,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
37,0.33850646,0.29063377,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
38,0.31940714,0.2731345,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
39,0.3017379,0.27345136,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
40,0.28497994,0.2456169,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
41,0.27055952,0.23196766,2,100,10,50,0,50,False,MSELoss(),0.03,20,1500
