iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,5.429290327112589,142.77249896742677,3,150,10,500,10,0,0,5,0.1,30,200
1,5.983586893985515,138.25287681856545,3,150,10,500,10,0,0,5,0.1,30,200
2,6.878415345793349,136.5727415850789,3,150,10,500,10,0,0,5,0.1,30,200
3,7.382451765967926,135.31251432098776,3,150,10,500,10,0,0,5,0.1,30,200
4,8.18112864349782,135.66349596564754,3,150,10,500,10,0,0,5,0.1,30,200
5,8.065238436746831,133.1834589308375,3,150,10,500,10,0,0,5,0.1,30,200
6,8.890983194718974,133.40313679594985,3,150,10,500,10,0,0,5,0.1,30,200
7,9.426688320304141,132.15509663343545,3,150,10,500,10,0,0,5,0.1,30,200
8,10.559171195729116,131.73926260600734,3,150,10,500,10,0,0,5,0.1,30,200
9,11.039886778461499,129.45194305270195,3,150,10,500,10,0,0,5,0.1,30,200
10,11.062042610534496,127.69872885640987,3,150,10,500,10,0,0,5,0.1,30,200
11,11.816906324916411,126.08408225538315,3,150,10,500,10,0,0,5,0.1,30,200
12,12.028621978991323,125.79615843783385,3,150,10,500,10,0,0,5,0.1,30,200
13,12.548684360018585,123.3006094253253,3,150,10,500,10,0,0,5,0.1,30,200
14,13.042007006376526,121.57161560971532,3,150,10,500,10,0,0,5,0.1,30,200
15,13.555997086899021,122.96648586090326,3,150,10,500,10,0,0,5,0.1,30,200
16,13.603133774806462,120.30294471870344,3,150,10,500,10,0,0,5,0.1,30,200
17,13.868230287639815,121.32863690504406,3,150,10,500,10,0,0,5,0.1,30,200
18,14.418116932828962,122.55841791045073,3,150,10,500,10,0,0,5,0.1,30,200
19,14.69498451637772,120.46009609255472,3,150,10,500,10,0,0,5,0.1,30,200
20,14.776950794088995,121.08385903704225,3,150,10,500,10,0,0,5,0.1,30,200
21,15.238775540531696,117.09339261255484,3,150,10,500,10,0,0,5,0.1,30,200
22,15.058917805146502,118.23123609161505,3,150,10,500,10,0,0,5,0.1,30,200
23,15.816541626508691,117.15766678634037,3,150,10,500,10,0,0,5,0.1,30,200
24,16.494420476940363,117.97065221381789,3,150,10,500,10,0,0,5,0.1,30,200
25,16.510408407117314,116.09627204333549,3,150,10,500,10,0,0,5,0.1,30,200
26,16.472138687424394,115.09528283670397,3,150,10,500,10,0,0,5,0.1,30,200
27,16.779575777576966,115.90023946426612,3,150,10,500,10,0,0,5,0.1,30,200
28,16.572546373323245,115.15068505159623,3,150,10,500,10,0,0,5,0.1,30,200
29,18.069148736696054,115.60273561184754,3,150,10,500,10,0,0,5,0.1,30,200
30,18.124928927492256,115.0121767877191,3,150,10,500,10,0,0,5,0.1,30,200
31,19.097799537693547,113.50208667360288,3,150,10,500,10,0,0,5,0.1,30,200
32,18.145047067213856,112.05392961539103,3,150,10,500,10,0,0,5,0.1,30,200
33,19.174858958285288,113.84661355038334,3,150,10,500,10,0,0,5,0.1,30,200
34,18.450497359554944,114.20710867769846,3,150,10,500,10,0,0,5,0.1,30,200
35,19.37228064619644,113.81967423357852,3,150,10,500,10,0,0,5,0.1,30,200
36,20.06108213144839,112.91895859160856,3,150,10,500,10,0,0,5,0.1,30,200
37,20.051020249081557,112.44847512453003,3,150,10,500,10,0,0,5,0.1,30,200
38,20.12009929644113,111.1647984258646,3,150,10,500,10,0,0,5,0.1,30,200
39,20.542101816476563,110.54447531535361,3,150,10,500,10,0,0,5,0.1,30,200
40,20.702749434641525,111.56197834875728,3,150,10,500,10,0,0,5,0.1,30,200
41,20.432335569566835,111.27209017015325,3,150,10,500,10,0,0,5,0.1,30,200
42,21.763567502230153,111.02601260072234,3,150,10,500,10,0,0,5,0.1,30,200
43,22.035480952933653,110.31534926602323,3,150,10,500,10,0,0,5,0.1,30,200
44,21.876626039947286,108.16135663008038,3,150,10,500,10,0,0,5,0.1,30,200
45,23.23568335697659,109.54819562091475,3,150,10,500,10,0,0,5,0.1,30,200
46,23.250541551401543,109.66937305639257,3,150,10,500,10,0,0,5,0.1,30,200
47,24.065044070345962,108.11229227713706,3,150,10,500,10,0,0,5,0.1,30,200
48,24.033426276879492,108.17914049381545,3,150,10,500,10,0,0,5,0.1,30,200
49,24.132011496369667,107.62817857022854,3,150,10,500,10,0,0,5,0.1,30,200
50,24.33312183235664,107.31636419196302,3,150,10,500,10,0,0,5,0.1,30,200
51,24.61810754402956,108.19892656949557,3,150,10,500,10,0,0,5,0.1,30,200
52,24.305656200212525,108.0147059960989,3,150,10,500,10,0,0,5,0.1,30,200
53,26.00227072685362,107.19096949159123,3,150,10,500,10,0,0,5,0.1,30,200
54,25.46094865585601,106.9269976505672,3,150,10,500,10,0,0,5,0.1,30,200
55,26.244195252748664,107.87337245038705,3,150,10,500,10,0,0,5,0.1,30,200
56,25.649823835716884,106.51256087448502,3,150,10,500,10,0,0,5,0.1,30,200
57,26.255574559396695,107.7910840108648,3,150,10,500,10,0,0,5,0.1,30,200
58,25.819334292885213,106.55093582686293,3,150,10,500,10,0,0,5,0.1,30,200
59,27.088631794183282,106.49529201792353,3,150,10,500,10,0,0,5,0.1,30,200
60,27.151952922581792,105.94451556947358,3,150,10,500,10,0,0,5,0.1,30,200
61,27.18369036216247,107.06587122155202,3,150,10,500,10,0,0,5,0.1,30,200
62,27.49128441676952,106.02856892234337,3,150,10,500,10,0,0,5,0.1,30,200
63,27.42042913885615,105.99157469125498,3,150,10,500,10,0,0,5,0.1,30,200
64,28.007569761316603,106.42126716154559,3,150,10,500,10,0,0,5,0.1,30,200
65,28.653532012224556,105.33202297841343,3,150,10,500,10,0,0,5,0.1,30,200
66,29.382965927340404,107.47080369906062,3,150,10,500,10,0,0,5,0.1,30,200
67,29.183170220427527,106.48631262780718,3,150,10,500,10,0,0,5,0.1,30,200
68,30.12611814260325,106.59393595129622,3,150,10,500,10,0,0,5,0.1,30,200
69,30.44805342492546,103.90105190468114,3,150,10,500,10,0,0,5,0.1,30,200
70,30.269296861045696,107.64471911585125,3,150,10,500,10,0,0,5,0.1,30,200
71,31.35571978314216,105.72586875306948,3,150,10,500,10,0,0,5,0.1,30,200
72,30.971038730318686,105.17302668014393,3,150,10,500,10,0,0,5,0.1,30,200
73,31.308375717851607,104.72349011240549,3,150,10,500,10,0,0,5,0.1,30,200
74,31.213501352921345,103.79283638218054,3,150,10,500,10,0,0,5,0.1,30,200
75,31.528719829534907,105.96870209729033,3,150,10,500,10,0,0,5,0.1,30,200
76,31.354546452441028,105.31209602615837,3,150,10,500,10,0,0,5,0.1,30,200
77,30.73447691353896,104.40977928585004,3,150,10,500,10,0,0,5,0.1,30,200
78,31.897864732962965,105.46021321156356,3,150,10,500,10,0,0,5,0.1,30,200
79,33.02499613284326,106.6151816775465,3,150,10,500,10,0,0,5,0.1,30,200
80,32.40397435227278,105.04918472377373,3,150,10,500,10,0,0,5,0.1,30,200
81,32.69821942245073,104.69520717693597,3,150,10,500,10,0,0,5,0.1,30,200
82,31.587631516495204,104.43725958487246,3,150,10,500,10,0,0,5,0.1,30,200
83,31.49857495885785,105.58681073503418,3,150,10,500,10,0,0,5,0.1,30,200
84,32.521890953818776,104.4428382967691,3,150,10,500,10,0,0,5,0.1,30,200
85,33.040543926619506,105.11665956690058,3,150,10,500,10,0,0,5,0.1,30,200
86,32.37464897901338,104.19978344367243,3,150,10,500,10,0,0,5,0.1,30,200
87,32.69245257392909,105.54361631566829,3,150,10,500,10,0,0,5,0.1,30,200
88,32.1321810907463,105.59193607335033,3,150,10,500,10,0,0,5,0.1,30,200
89,32.466390118442575,105.70975159599676,3,150,10,500,10,0,0,5,0.1,30,200
90,32.899764086778326,104.33035427347637,3,150,10,500,10,0,0,5,0.1,30,200
91,33.69556017548682,104.80573271703861,3,150,10,500,10,0,0,5,0.1,30,200
92,33.390661811224525,105.81861376034203,3,150,10,500,10,0,0,5,0.1,30,200
93,33.60679623273058,103.94717269012752,3,150,10,500,10,0,0,5,0.1,30,200
94,33.43321697222303,103.89862999156968,3,150,10,500,10,0,0,5,0.1,30,200
95,34.9028758988547,103.66194726482297,3,150,10,500,10,0,0,5,0.1,30,200
96,34.32590442795157,103.44693519999586,3,150,10,500,10,0,0,5,0.1,30,200
97,33.358466774444615,104.58447879103062,3,150,10,500,10,0,0,5,0.1,30,200
98,34.035591152449754,105.43959808580925,3,150,10,500,10,0,0,5,0.1,30,200
99,33.775402330165456,103.36675828686678,3,150,10,500,10,0,0,5,0.1,30,200
100,32.941309225615605,103.99847601874367,3,150,10,500,10,0,0,5,0.1,30,200
101,34.49678789124588,104.23032365401643,3,150,10,500,10,0,0,5,0.1,30,200
102,34.06181273020565,104.34990467720478,3,150,10,500,10,0,0,5,0.1,30,200
103,35.4820272746397,103.70798731515767,3,150,10,500,10,0,0,5,0.1,30,200
104,34.951868815034665,103.87043465526754,3,150,10,500,10,0,0,5,0.1,30,200
105,35.767080265790185,103.40498743630414,3,150,10,500,10,0,0,5,0.1,30,200
106,35.95947970978506,103.18511181327985,3,150,10,500,10,0,0,5,0.1,30,200
107,35.147532733448415,102.77432655853617,3,150,10,500,10,0,0,5,0.1,30,200
108,34.69709232256609,102.14008116637754,3,150,10,500,10,0,0,5,0.1,30,200
109,35.07392474282733,101.98366215440743,3,150,10,500,10,0,0,5,0.1,30,200
110,35.80469399410105,102.03908914260094,3,150,10,500,10,0,0,5,0.1,30,200
111,35.37645003362561,101.39237634192463,3,150,10,500,10,0,0,5,0.1,30,200
112,34.885109207792446,103.86829069923242,3,150,10,500,10,0,0,5,0.1,30,200
113,35.36925364483847,102.53461162316377,3,150,10,500,10,0,0,5,0.1,30,200
114,35.99087927941809,102.0922381178737,3,150,10,500,10,0,0,5,0.1,30,200
115,36.00922765715441,102.32636375638405,3,150,10,500,10,0,0,5,0.1,30,200
116,34.87919702526351,102.7596463501311,3,150,10,500,10,0,0,5,0.1,30,200
117,35.94235565624139,103.48250400561012,3,150,10,500,10,0,0,5,0.1,30,200
118,35.63537519762752,101.88956170053667,3,150,10,500,10,0,0,5,0.1,30,200
119,35.98592098015535,102.7078604543983,3,150,10,500,10,0,0,5,0.1,30,200
120,36.197641029827025,104.48025033384364,3,150,10,500,10,0,0,5,0.1,30,200
121,36.85096776854475,105.63495405350166,3,150,10,500,10,0,0,5,0.1,30,200
122,37.048632550463665,102.71492604393238,3,150,10,500,10,0,0,5,0.1,30,200
123,36.9031646478669,104.45823244394099,3,150,10,500,10,0,0,5,0.1,30,200
124,37.34047041388423,102.78668454610835,3,150,10,500,10,0,0,5,0.1,30,200
125,37.59078530605961,104.07532054786928,3,150,10,500,10,0,0,5,0.1,30,200
126,35.85691345153715,102.7116103820545,3,150,10,500,10,0,0,5,0.1,30,200
127,37.59414322557991,102.86388990296372,3,150,10,500,10,0,0,5,0.1,30,200
128,37.43047285563175,101.73945740488598,3,150,10,500,10,0,0,5,0.1,30,200
129,38.30397603542379,102.0032617286568,3,150,10,500,10,0,0,5,0.1,30,200
130,38.84341035970521,102.03744456197211,3,150,10,500,10,0,0,5,0.1,30,200
131,37.860944230236676,102.91167299300861,3,150,10,500,10,0,0,5,0.1,30,200
132,39.08865990018038,100.70360226697039,3,150,10,500,10,0,0,5,0.1,30,200
133,38.007153915138595,102.79620769385596,3,150,10,500,10,0,0,5,0.1,30,200
134,37.785985354085966,102.41743943208364,3,150,10,500,10,0,0,5,0.1,30,200
135,39.51201967241122,102.48181120809238,3,150,10,500,10,0,0,5,0.1,30,200
136,38.08819940871809,101.91655015278997,3,150,10,500,10,0,0,5,0.1,30,200
137,38.75033166276437,102.0071258579431,3,150,10,500,10,0,0,5,0.1,30,200
138,37.50454706721579,102.75948304287878,3,150,10,500,10,0,0,5,0.1,30,200
139,39.20111264809059,101.87262475389576,3,150,10,500,10,0,0,5,0.1,30,200
140,40.1885015537161,101.52373752378892,3,150,10,500,10,0,0,5,0.1,30,200
141,39.27922467935895,102.79533814142415,3,150,10,500,10,0,0,5,0.1,30,200
142,38.92933171267952,101.40328208776998,3,150,10,500,10,0,0,5,0.1,30,200
143,38.68822168100619,102.24929955414353,3,150,10,500,10,0,0,5,0.1,30,200
144,38.77297045631129,103.28065467022226,3,150,10,500,10,0,0,5,0.1,30,200
145,38.102829797933076,102.2535150427205,3,150,10,500,10,0,0,5,0.1,30,200
146,39.28919473619438,103.12975981216832,3,150,10,500,10,0,0,5,0.1,30,200
147,37.91081241459748,101.20879326143996,3,150,10,500,10,0,0,5,0.1,30,200
148,38.029508235368255,102.60374956482801,3,150,10,500,10,0,0,5,0.1,30,200
149,38.6559266500221,101.01676901169552,3,150,10,500,10,0,0,5,0.1,30,200
150,38.37668311865182,101.97548321157467,3,150,10,500,10,0,0,5,0.1,30,200
151,38.563253820773255,101.89161515330075,3,150,10,500,10,0,0,5,0.1,30,200
152,39.89298904802086,102.76079795153495,3,150,10,500,10,0,0,5,0.1,30,200
153,39.350717242895406,104.25255953283653,3,150,10,500,10,0,0,5,0.1,30,200
154,40.58392703923467,102.6375729631034,3,150,10,500,10,0,0,5,0.1,30,200
155,39.4516019401146,102.38744636948233,3,150,10,500,10,0,0,5,0.1,30,200
156,39.26129641091942,102.1132401345874,3,150,10,500,10,0,0,5,0.1,30,200
