iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,77.24558,82.58821868896484,8.209981918334961,5,150,10,500,10,0,0,10,False,0.01,30,1500
1,72.26801,78.55449676513672,7.811387538909912,5,150,10,500,10,0,0,10,False,0.01,30,1500
2,67.62414,74.94302368164062,7.454100131988525,5,150,10,500,10,0,0,10,False,0.01,30,1500
3,63.392017,71.14025115966797,7.078243255615234,5,150,10,500,10,0,0,10,False,0.01,30,1500
4,59.25726,67.68547821044922,6.739715099334717,5,150,10,500,10,0,0,10,False,0.01,30,1500
5,55.43953,64.41517639160156,6.415415287017822,5,150,10,500,10,0,0,10,False,0.01,30,1500
6,51.969513,61.36883544921875,6.114462852478027,5,150,10,500,10,0,0,10,False,0.01,30,1500
7,48.620827,58.451629638671875,5.825998783111572,5,150,10,500,10,0,0,10,False,0.01,30,1500
8,45.617393,55.80880355834961,5.563370704650879,5,150,10,500,10,0,0,10,False,0.01,30,1500
9,42.79198,53.13871383666992,5.300757884979248,5,150,10,500,10,0,0,10,False,0.01,30,1500
10,40.066837,50.55106735229492,5.042745590209961,5,150,10,500,10,0,0,10,False,0.01,30,1500
11,37.590164,48.10315704345703,4.801879405975342,5,150,10,500,10,0,0,10,False,0.01,30,1500
12,35.29449,45.83212661743164,4.577574729919434,5,150,10,500,10,0,0,10,False,0.01,30,1500
13,33.198776,43.798988342285156,4.375668048858643,5,150,10,500,10,0,0,10,False,0.01,30,1500
14,31.233072,41.786373138427734,4.174944877624512,5,150,10,500,10,0,0,10,False,0.01,30,1500
15,29.316936,39.810855865478516,3.979851484298706,5,150,10,500,10,0,0,10,False,0.01,30,1500
16,27.483482,37.942466735839844,3.794973611831665,5,150,10,500,10,0,0,10,False,0.01,30,1500
17,25.82957,36.14501190185547,3.6154074668884277,5,150,10,500,10,0,0,10,False,0.01,30,1500
18,24.352783,34.61823272705078,3.4634571075439453,5,150,10,500,10,0,0,10,False,0.01,30,1500
19,22.91151,33.12027359008789,3.3158199787139893,5,150,10,500,10,0,0,10,False,0.01,30,1500
20,21.567842,31.630014419555664,3.166372299194336,5,150,10,500,10,0,0,10,False,0.01,30,1500
21,20.325758,30.202611923217773,3.0240581035614014,5,150,10,500,10,0,0,10,False,0.01,30,1500
22,19.19033,28.898906707763672,2.8942041397094727,5,150,10,500,10,0,0,10,False,0.01,30,1500
23,18.085836,27.58075523376465,2.7631325721740723,5,150,10,500,10,0,0,10,False,0.01,30,1500
24,17.054626,26.28915786743164,2.6339566707611084,5,150,10,500,10,0,0,10,False,0.01,30,1500
25,16.09266,25.081567764282227,2.514082193374634,5,150,10,500,10,0,0,10,False,0.01,30,1500
26,15.178787,23.948728561401367,2.40028977394104,5,150,10,500,10,0,0,10,False,0.01,30,1500
27,14.32517,22.85150146484375,2.2911181449890137,5,150,10,500,10,0,0,10,False,0.01,30,1500
28,13.500907,21.86199188232422,2.19173002243042,5,150,10,500,10,0,0,10,False,0.01,30,1500
29,12.711102,20.854503631591797,2.0905327796936035,5,150,10,500,10,0,0,10,False,0.01,30,1500
30,12.003915,19.965932846069336,2.0025007724761963,5,150,10,500,10,0,0,10,False,0.01,30,1500
31,11.331111,19.068340301513672,1.9126663208007812,5,150,10,500,10,0,0,10,False,0.01,30,1500
32,10.711932,18.267786026000977,1.8327428102493286,5,150,10,500,10,0,0,10,False,0.01,30,1500
33,10.14569,17.55731964111328,1.7618608474731445,5,150,10,500,10,0,0,10,False,0.01,30,1500
34,9.589138,16.811830520629883,1.6873502731323242,5,150,10,500,10,0,0,10,False,0.01,30,1500
35,9.074772,16.054868698120117,1.6115304231643677,5,150,10,500,10,0,0,10,False,0.01,30,1500
36,8.564489,15.399601936340332,1.5452288389205933,5,150,10,500,10,0,0,10,False,0.01,30,1500
37,8.107475,14.754399299621582,1.480839490890503,5,150,10,500,10,0,0,10,False,0.01,30,1500
38,7.664882,14.126973152160645,1.4176267385482788,5,150,10,500,10,0,0,10,False,0.01,30,1500
39,7.2570524,13.560341835021973,1.3602824211120605,5,150,10,500,10,0,0,10,False,0.01,30,1500
40,6.877072,13.004372596740723,1.3045353889465332,5,150,10,500,10,0,0,10,False,0.01,30,1500
41,6.5172305,12.466712951660156,1.2506752014160156,5,150,10,500,10,0,0,10,False,0.01,30,1500
42,6.1673617,11.943894386291504,1.1982061862945557,5,150,10,500,10,0,0,10,False,0.01,30,1500
43,5.8415484,11.435834884643555,1.1470688581466675,5,150,10,500,10,0,0,10,False,0.01,30,1500
44,5.5350456,10.987529754638672,1.1020526885986328,5,150,10,500,10,0,0,10,False,0.01,30,1500
45,5.2442904,10.543950080871582,1.0571768283843994,5,150,10,500,10,0,0,10,False,0.01,30,1500
46,4.9840155,10.136829376220703,1.0160154104232788,5,150,10,500,10,0,0,10,False,0.01,30,1500
47,4.7195683,9.734426498413086,0.9756773114204407,5,150,10,500,10,0,0,10,False,0.01,30,1500
48,4.4704566,9.309898376464844,0.9327862858772278,5,150,10,500,10,0,0,10,False,0.01,30,1500
49,4.2417636,8.940550804138184,0.8957068920135498,5,150,10,500,10,0,0,10,False,0.01,30,1500
50,4.033737,8.607903480529785,0.8618977069854736,5,150,10,500,10,0,0,10,False,0.01,30,1500
51,3.8300786,8.318573951721191,0.8324337005615234,5,150,10,500,10,0,0,10,False,0.01,30,1500
52,3.6365511,7.990569114685059,0.7991068363189697,5,150,10,500,10,0,0,10,False,0.01,30,1500
53,3.4567668,7.65997838973999,0.7658335566520691,5,150,10,500,10,0,0,10,False,0.01,30,1500
54,3.285618,7.342973232269287,0.7338122129440308,5,150,10,500,10,0,0,10,False,0.01,30,1500
55,3.1223392,7.092252731323242,0.7088073492050171,5,150,10,500,10,0,0,10,False,0.01,30,1500
56,2.9712975,6.858758926391602,0.684790313243866,5,150,10,500,10,0,0,10,False,0.01,30,1500
57,2.8345747,6.593716144561768,0.6579906344413757,5,150,10,500,10,0,0,10,False,0.01,30,1500
58,2.6972404,6.317792892456055,0.6298251748085022,5,150,10,500,10,0,0,10,False,0.01,30,1500
59,2.5682433,6.093158721923828,0.606682538986206,5,150,10,500,10,0,0,10,False,0.01,30,1500
60,2.449383,5.858344554901123,0.5826792120933533,5,150,10,500,10,0,0,10,False,0.01,30,1500
61,2.3340962,5.635591983795166,0.559782087802887,5,150,10,500,10,0,0,10,False,0.01,30,1500
62,2.2259758,5.427360534667969,0.5388921499252319,5,150,10,500,10,0,0,10,False,0.01,30,1500
63,2.1245248,5.234825134277344,0.5190730690956116,5,150,10,500,10,0,0,10,False,0.01,30,1500
