iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,94.659164,98.37185668945312,9.874156951904297,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
1,87.53239,91.99467468261719,9.241881370544434,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
2,80.92276,86.08876037597656,8.654935836791992,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
3,74.944374,80.84265899658203,8.132430076599121,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
4,69.41885,75.8674545288086,7.637566089630127,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
5,64.52,71.41506958007812,7.195476055145264,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
6,59.735306,66.92430114746094,6.7483954429626465,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
7,55.40367,62.98845672607422,6.356775283813477,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
8,51.379192,59.07234573364258,5.968001842498779,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
9,47.57965,55.53940963745117,5.616898059844971,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
10,44.103672,52.20048141479492,5.283259391784668,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
11,40.9275,49.130706787109375,4.977001190185547,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
12,37.96849,46.29768753051758,4.693106651306152,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
13,35.214542,43.56187438964844,4.419577121734619,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
14,32.68232,41.00834655761719,4.165107727050781,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
15,30.39103,38.73170852661133,3.937699794769287,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
16,28.260761,36.55571746826172,3.719949722290039,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
17,26.327667,34.508949279785156,3.5156023502349854,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
18,24.467672,32.503562927246094,3.314939260482788,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
19,22.762173,30.667240142822266,3.1304404735565186,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
20,21.16843,28.91482162475586,2.9541139602661133,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
21,19.70242,27.323341369628906,2.794043779373169,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
22,18.337955,25.834760665893555,2.644730806350708,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
23,17.046461,24.3491153717041,2.4954655170440674,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
24,15.865887,22.98133087158203,2.357987880706787,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
25,14.767191,21.73263168334961,2.232391834259033,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
26,13.772975,20.58645248413086,2.1164615154266357,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
27,12.825642,19.468570709228516,2.0041515827178955,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
28,11.957229,18.43498992919922,1.8995046615600586,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
29,11.160238,17.41605567932129,1.7968450784683228,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
30,10.407918,16.52391242980957,1.7064305543899536,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
31,9.719541,15.679571151733398,1.621744990348816,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
32,9.072641,14.830964088439941,1.5357874631881714,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
33,8.479494,14.036198616027832,1.45526921749115,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
34,7.9207306,13.32933521270752,1.3833208084106445,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
35,7.390389,12.617466926574707,1.3109830617904663,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
36,6.8941274,11.96554946899414,1.2445595264434814,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
37,6.444038,11.370519638061523,1.183715581893921,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
38,6.0264306,10.775653839111328,1.1233075857162476,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
39,5.628955,10.21533489227295,1.0662082433700562,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
40,5.2512035,9.66572093963623,1.0098708868026733,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
41,4.910503,9.170077323913574,0.959054708480835,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
42,4.5897756,8.696731567382812,0.9106332659721375,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
43,4.294762,8.238409996032715,0.8637009859085083,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
44,4.012475,7.8077826499938965,0.8194436430931091,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
45,3.7531273,7.408987045288086,0.778461754322052,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
46,3.509639,7.015154838562012,0.737957775592804,2,150,10,500,10,0,0,10,False,0.01,1,30,1500,0
