iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,6.3967057825420515,148.97389872240413,2,150,10,500,10,0.0,0.0,5,0.05,30,200
1,7.645499755952443,145.65870124492037,2,150,10,500,10,0.0,0.0,5,0.05,30,200
2,8.644737645985638,142.5696807866739,2,150,10,500,10,0.0,0.0,5,0.05,30,200
3,9.664852622166249,137.6900753427029,2,150,10,500,10,0.0,0.0,5,0.05,30,200
4,10.64051886803519,137.3536488358157,2,150,10,500,10,0.0,0.0,5,0.05,30,200
5,11.995714568548811,132.3269472939874,2,150,10,500,10,0.0,0.0,5,0.05,30,200
6,12.521783346645085,131.80836055185875,2,150,10,500,10,0.0,0.0,5,0.05,30,200
7,13.144869400669592,128.94057539377943,2,150,10,500,10,0.0,0.0,5,0.05,30,200
8,12.89604553325982,127.17263912295806,2,150,10,500,10,0.0,0.0,5,0.05,30,200
9,14.107517596543827,125.2511844298123,2,150,10,500,10,0.0,0.0,5,0.05,30,200
10,14.959950146553462,123.74555570740871,2,150,10,500,10,0.0,0.0,5,0.05,30,200
11,15.861263769659946,121.50816749775571,2,150,10,500,10,0.0,0.0,5,0.05,30,200
12,16.81397135256958,121.25537155799451,2,150,10,500,10,0.0,0.0,5,0.05,30,200
13,16.986786994883545,121.38679765918464,2,150,10,500,10,0.0,0.0,5,0.05,30,200
14,17.83418495593966,118.61741333354847,2,150,10,500,10,0.0,0.0,5,0.05,30,200
15,18.447996521987832,119.56311498989291,2,150,10,500,10,0.0,0.0,5,0.05,30,200
16,19.076736036007503,116.79273171185491,2,150,10,500,10,0.0,0.0,5,0.05,30,200
17,20.33557004842366,117.4492147734828,2,150,10,500,10,0.0,0.0,5,0.05,30,200
18,19.718313479719065,114.92939129041972,2,150,10,500,10,0.0,0.0,5,0.05,30,200
19,20.7581768260073,116.79577741961388,2,150,10,500,10,0.0,0.0,5,0.05,30,200
20,21.302343278811495,113.86867702677431,2,150,10,500,10,0.0,0.0,5,0.05,30,200
21,21.165523675902037,114.61196418503374,2,150,10,500,10,0.0,0.0,5,0.05,30,200
22,22.143613945851488,112.60075697818039,2,150,10,500,10,0.0,0.0,5,0.05,30,200
23,22.802358663054704,113.31365374794723,2,150,10,500,10,0.0,0.0,5,0.05,30,200
24,23.78441661970517,114.92459007047121,2,150,10,500,10,0.0,0.0,5,0.05,30,200
25,24.808383324466515,113.1680158807898,2,150,10,500,10,0.0,0.0,5,0.05,30,200
26,24.570767068194886,112.09617706818231,2,150,10,500,10,0.0,0.0,5,0.05,30,200
27,24.92992075126765,111.35737214563329,2,150,10,500,10,0.0,0.0,5,0.05,30,200
28,25.498549675696967,111.30278505158972,2,150,10,500,10,0.0,0.0,5,0.05,30,200
29,26.354698199283813,110.00036539895962,2,150,10,500,10,0.0,0.0,5,0.05,30,200
