iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,4.446618188110706,105.49816686409405,10,150,10,500,10,0.0,0.0,5,0.05,30,200
1,5.653730794269747,104.55219835614957,10,150,10,500,10,0.0,0.0,5,0.05,30,200
2,6.3280629295256565,102.9602018825534,10,150,10,500,10,0.0,0.0,5,0.05,30,200
3,7.031619636025039,101.9704132715315,10,150,10,500,10,0.0,0.0,5,0.05,30,200
4,7.649359296288847,98.46998906913021,10,150,10,500,10,0.0,0.0,5,0.05,30,200
5,8.497070051807757,96.52040345681313,10,150,10,500,10,0.0,0.0,5,0.05,30,200
6,8.953881973029526,96.0961875405701,10,150,10,500,10,0.0,0.0,5,0.05,30,200
7,9.246165826633387,95.04133930031611,10,150,10,500,10,0.0,0.0,5,0.05,30,200
8,9.942168469861778,94.2207801418595,10,150,10,500,10,0.0,0.0,5,0.05,30,200
9,10.114586744760489,92.32304658457745,10,150,10,500,10,0.0,0.0,5,0.05,30,200
10,10.794169559570213,91.60336608090954,10,150,10,500,10,0.0,0.0,5,0.05,30,200
11,11.910577417131808,90.03535840245196,10,150,10,500,10,0.0,0.0,5,0.05,30,200
12,12.298834353192184,89.12395799596936,10,150,10,500,10,0.0,0.0,5,0.05,30,200
13,12.380079504366066,87.55696308947999,10,150,10,500,10,0.0,0.0,5,0.05,30,200
14,12.769729209575065,86.13931072255205,10,150,10,500,10,0.0,0.0,5,0.05,30,200
15,13.520134639843851,86.74704392246608,10,150,10,500,10,0.0,0.0,5,0.05,30,200
16,14.132878016774697,85.97547206795068,10,150,10,500,10,0.0,0.0,5,0.05,30,200
17,14.136139089666218,84.19338551343819,10,150,10,500,10,0.0,0.0,5,0.05,30,200
18,15.061617600810415,85.44564798998903,10,150,10,500,10,0.0,0.0,5,0.05,30,200
19,14.780088074891276,83.69648325970955,10,150,10,500,10,0.0,0.0,5,0.05,30,200
20,15.797962954411256,83.39878795686565,10,150,10,500,10,0.0,0.0,5,0.05,30,200
21,15.853861708133644,82.92780796639067,10,150,10,500,10,0.0,0.0,5,0.05,30,200
22,16.10629435653547,82.98103272197244,10,150,10,500,10,0.0,0.0,5,0.05,30,200
23,16.62646968723057,82.56482053304498,10,150,10,500,10,0.0,0.0,5,0.05,30,200
24,17.462181793518557,82.95034592929879,10,150,10,500,10,0.0,0.0,5,0.05,30,200
25,17.49121479636058,82.32053442774387,10,150,10,500,10,0.0,0.0,5,0.05,30,200
26,17.153441887480636,81.52245638764016,10,150,10,500,10,0.0,0.0,5,0.05,30,200
27,18.768969782378655,80.7199541872331,10,150,10,500,10,0.0,0.0,5,0.05,30,200
28,19.106271146740866,80.62485746426002,10,150,10,500,10,0.0,0.0,5,0.05,30,200
29,18.85203029201743,79.90294607978217,10,150,10,500,10,0.0,0.0,5,0.05,30,200
30,19.73158208793467,80.76496215504572,10,150,10,500,10,0.0,0.0,5,0.05,30,200
31,19.918613589023252,80.49682782228828,10,150,10,500,10,0.0,0.0,5,0.05,30,200
32,20.463348594173294,79.94711071684556,10,150,10,500,10,0.0,0.0,5,0.05,30,200
33,20.33194004778443,80.03689757499322,10,150,10,500,10,0.0,0.0,5,0.05,30,200
34,21.541720650512048,78.99804047449241,10,150,10,500,10,0.0,0.0,5,0.05,30,200
35,20.716766634586573,78.86526267834103,10,150,10,500,10,0.0,0.0,5,0.05,30,200
36,21.643862382539034,79.3751573284696,10,150,10,500,10,0.0,0.0,5,0.05,30,200
37,21.0926194859865,78.86332303438373,10,150,10,500,10,0.0,0.0,5,0.05,30,200
38,21.76547732721207,79.97796485070113,10,150,10,500,10,0.0,0.0,5,0.05,30,200
39,21.675653104571737,80.02983628505547,10,150,10,500,10,0.0,0.0,5,0.05,30,200
40,22.104273127326007,79.91881796278174,10,150,10,500,10,0.0,0.0,5,0.05,30,200
41,22.485476769930187,79.2628053668547,10,150,10,500,10,0.0,0.0,5,0.05,30,200
42,23.160920530747706,77.5902041912461,10,150,10,500,10,0.0,0.0,5,0.05,30,200
43,23.111213079618203,78.46914868187042,10,150,10,500,10,0.0,0.0,5,0.05,30,200
44,23.42162182483009,78.34542250724341,10,150,10,500,10,0.0,0.0,5,0.05,30,200
45,23.90995860576269,78.06467735322899,10,150,10,500,10,0.0,0.0,5,0.05,30,200
46,23.95340853545961,79.2841538821187,10,150,10,500,10,0.0,0.0,5,0.05,30,200
47,25.01159777725294,79.68368408650213,10,150,10,500,10,0.0,0.0,5,0.05,30,200
48,24.526866730928234,78.88451959447242,10,150,10,500,10,0.0,0.0,5,0.05,30,200
49,25.292315428295968,79.54917229764757,10,150,10,500,10,0.0,0.0,5,0.05,30,200
50,25.391133545350677,78.33211742699714,10,150,10,500,10,0.0,0.0,5,0.05,30,200
51,25.192390240445985,78.45953093546464,10,150,10,500,10,0.0,0.0,5,0.05,30,200
52,25.88790324519183,78.82969137966198,10,150,10,500,10,0.0,0.0,5,0.05,30,200
53,25.637738558912435,77.87134877596827,10,150,10,500,10,0.0,0.0,5,0.05,30,200
54,26.48844396243759,77.96664825729695,10,150,10,500,10,0.0,0.0,5,0.05,30,200
55,26.54057531318936,78.16336675958796,10,150,10,500,10,0.0,0.0,5,0.05,30,200
56,26.382634670170766,77.95092742491963,10,150,10,500,10,0.0,0.0,5,0.05,30,200
57,27.39471451418473,77.51783377280026,10,150,10,500,10,0.0,0.0,5,0.05,30,200
58,27.203629557021625,76.70977325453666,10,150,10,500,10,0.0,0.0,5,0.05,30,200
59,27.140975290330346,77.59933375678725,10,150,10,500,10,0.0,0.0,5,0.05,30,200
60,26.883034967454023,77.00240375791807,10,150,10,500,10,0.0,0.0,5,0.05,30,200
61,26.89116134002564,76.95489240369389,10,150,10,500,10,0.0,0.0,5,0.05,30,200
62,27.632644873770428,77.99102365754996,10,150,10,500,10,0.0,0.0,5,0.05,30,200
63,27.91155723346061,77.4842415699743,10,150,10,500,10,0.0,0.0,5,0.05,30,200
64,27.740407215188032,77.16851875249934,10,150,10,500,10,0.0,0.0,5,0.05,30,200
65,27.510113320865234,77.25225949252038,10,150,10,500,10,0.0,0.0,5,0.05,30,200
66,27.503536511036693,76.64740034716827,10,150,10,500,10,0.0,0.0,5,0.05,30,200
67,27.621981551635212,78.13401231992596,10,150,10,500,10,0.0,0.0,5,0.05,30,200
68,27.728734827882725,77.11027405854549,10,150,10,500,10,0.0,0.0,5,0.05,30,200
69,29.245576294000553,77.8529882201995,10,150,10,500,10,0.0,0.0,5,0.05,30,200
70,28.94721998541155,77.56956451944392,10,150,10,500,10,0.0,0.0,5,0.05,30,200
71,28.305880445734978,77.54155245192787,10,150,10,500,10,0.0,0.0,5,0.05,30,200
72,29.64941292355726,77.43269657139705,10,150,10,500,10,0.0,0.0,5,0.05,30,200
73,28.6374950582867,76.36393748055244,10,150,10,500,10,0.0,0.0,5,0.05,30,200
74,29.56281091480236,78.48179577640516,10,150,10,500,10,0.0,0.0,5,0.05,30,200
75,29.10494660411483,77.19755265725834,10,150,10,500,10,0.0,0.0,5,0.05,30,200
76,30.013230338412832,76.97645022323795,10,150,10,500,10,0.0,0.0,5,0.05,30,200
77,29.74863774290267,76.26239971421232,10,150,10,500,10,0.0,0.0,5,0.05,30,200
78,30.108986431050063,76.38136251324082,10,150,10,500,10,0.0,0.0,5,0.05,30,200
79,30.51291528055335,76.4041754947353,10,150,10,500,10,0.0,0.0,5,0.05,30,200
80,30.617326322605507,77.01562024941587,10,150,10,500,10,0.0,0.0,5,0.05,30,200
81,30.705508114487046,77.06833586828772,10,150,10,500,10,0.0,0.0,5,0.05,30,200
82,31.31020798239806,76.40215181392068,10,150,10,500,10,0.0,0.0,5,0.05,30,200
83,30.707879116007266,76.43811145254585,10,150,10,500,10,0.0,0.0,5,0.05,30,200
84,31.617643469968474,76.21122040075842,10,150,10,500,10,0.0,0.0,5,0.05,30,200
85,30.8019266051125,77.50570744150443,10,150,10,500,10,0.0,0.0,5,0.05,30,200
86,30.987393264103872,75.87037470493699,10,150,10,500,10,0.0,0.0,5,0.05,30,200
87,31.83978471098435,76.84995032318527,10,150,10,500,10,0.0,0.0,5,0.05,30,200
88,32.03394938838364,76.43756284596735,10,150,10,500,10,0.0,0.0,5,0.05,30,200
89,31.681957509572737,77.48770611657379,10,150,10,500,10,0.0,0.0,5,0.05,30,200
90,31.98816094343536,77.59592274271311,10,150,10,500,10,0.0,0.0,5,0.05,30,200
91,32.15180151265425,77.70008693475246,10,150,10,500,10,0.0,0.0,5,0.05,30,200
92,32.03209244719197,76.6623259770763,10,150,10,500,10,0.0,0.0,5,0.05,30,200
93,32.05672249400012,77.03730082696187,10,150,10,500,10,0.0,0.0,5,0.05,30,200
94,31.950559180646938,76.61492069742171,10,150,10,500,10,0.0,0.0,5,0.05,30,200
95,31.9575867869293,76.58689881627465,10,150,10,500,10,0.0,0.0,5,0.05,30,200
