iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.44192,95.443115234375,9.598252296447754,3,150,10,500,10,0,0,10,False,0.01,30,1500
1,85.34573,90.31951141357422,9.087543487548828,3,150,10,500,10,0,0,10,False,0.01,30,1500
2,79.51028,85.30075073242188,8.585872650146484,3,150,10,500,10,0,0,10,False,0.01,30,1500
3,74.23372,80.599365234375,8.116847038269043,3,150,10,500,10,0,0,10,False,0.01,30,1500
4,69.27611,76.30992126464844,7.688191890716553,3,150,10,500,10,0,0,10,False,0.01,30,1500
5,64.65198,72.12674713134766,7.2703070640563965,3,150,10,500,10,0,0,10,False,0.01,30,1500
6,60.357433,68.25653076171875,6.883322238922119,3,150,10,500,10,0,0,10,False,0.01,30,1500
7,56.405117,64.53416442871094,6.51086950302124,3,150,10,500,10,0,0,10,False,0.01,30,1500
8,52.605164,61.0240592956543,6.1603007316589355,3,150,10,500,10,0,0,10,False,0.01,30,1500
9,49.233253,57.854469299316406,5.84210729598999,3,150,10,500,10,0,0,10,False,0.01,30,1500
10,46.071693,54.954586029052734,5.551279544830322,3,150,10,500,10,0,0,10,False,0.01,30,1500
11,43.009716,52.07774353027344,5.264270782470703,3,150,10,500,10,0,0,10,False,0.01,30,1500
12,40.28076,49.39372253417969,4.996131420135498,3,150,10,500,10,0,0,10,False,0.01,30,1500
13,37.695923,46.78752899169922,4.734200954437256,3,150,10,500,10,0,0,10,False,0.01,30,1500
14,35.315292,44.54102325439453,4.506740093231201,3,150,10,500,10,0,0,10,False,0.01,30,1500
15,33.09763,42.322261810302734,4.283630847930908,3,150,10,500,10,0,0,10,False,0.01,30,1500
16,30.999222,40.16062545776367,4.067213535308838,3,150,10,500,10,0,0,10,False,0.01,30,1500
17,29.064703,38.077274322509766,3.856971502304077,3,150,10,500,10,0,0,10,False,0.01,30,1500
18,27.22198,36.130008697509766,3.660094976425171,3,150,10,500,10,0,0,10,False,0.01,30,1500
19,25.555546,34.39400100708008,3.4852731227874756,3,150,10,500,10,0,0,10,False,0.01,30,1500
20,23.955305,32.6717643737793,3.3119912147521973,3,150,10,500,10,0,0,10,False,0.01,30,1500
21,22.491035,31.129772186279297,3.1560707092285156,3,150,10,500,10,0,0,10,False,0.01,30,1500
22,21.09796,29.562591552734375,2.998546600341797,3,150,10,500,10,0,0,10,False,0.01,30,1500
23,19.801119,28.074039459228516,2.848723888397217,3,150,10,500,10,0,0,10,False,0.01,30,1500
24,18.581722,26.708301544189453,2.710536241531372,3,150,10,500,10,0,0,10,False,0.01,30,1500
25,17.464916,25.47174835205078,2.584087610244751,3,150,10,500,10,0,0,10,False,0.01,30,1500
26,16.411003,24.245960235595703,2.4596304893493652,3,150,10,500,10,0,0,10,False,0.01,30,1500
27,15.412272,23.05987548828125,2.3399696350097656,3,150,10,500,10,0,0,10,False,0.01,30,1500
28,14.508215,21.995811462402344,2.2320568561553955,3,150,10,500,10,0,0,10,False,0.01,30,1500
29,13.639962,20.936044692993164,2.124347686767578,3,150,10,500,10,0,0,10,False,0.01,30,1500
30,12.834956,19.959339141845703,2.024717330932617,3,150,10,500,10,0,0,10,False,0.01,30,1500
31,12.070547,19.009441375732422,1.9284344911575317,3,150,10,500,10,0,0,10,False,0.01,30,1500
32,11.35642,18.12222671508789,1.838568925857544,3,150,10,500,10,0,0,10,False,0.01,30,1500
33,10.681196,17.26526641845703,1.7512083053588867,3,150,10,500,10,0,0,10,False,0.01,30,1500
34,10.058486,16.487369537353516,1.6711283922195435,3,150,10,500,10,0,0,10,False,0.01,30,1500
35,9.47156,15.741857528686523,1.59489107131958,3,150,10,500,10,0,0,10,False,0.01,30,1500
36,8.923581,15.055384635925293,1.5241647958755493,3,150,10,500,10,0,0,10,False,0.01,30,1500
37,8.402041,14.424886703491211,1.4598298072814941,3,150,10,500,10,0,0,10,False,0.01,30,1500
38,7.924829,13.79448413848877,1.3946632146835327,3,150,10,500,10,0,0,10,False,0.01,30,1500
39,7.470249,13.14742374420166,1.328532338142395,3,150,10,500,10,0,0,10,False,0.01,30,1500
40,7.044907,12.561684608459473,1.2682448625564575,3,150,10,500,10,0,0,10,False,0.01,30,1500
41,6.6461744,11.980610847473145,1.208387851715088,3,150,10,500,10,0,0,10,False,0.01,30,1500
42,6.2760444,11.486248016357422,1.1570844650268555,3,150,10,500,10,0,0,10,False,0.01,30,1500
43,5.93109,10.982701301574707,1.1049998998641968,3,150,10,500,10,0,0,10,False,0.01,30,1500
44,5.603891,10.49666976928711,1.0540971755981445,3,150,10,500,10,0,0,10,False,0.01,30,1500
45,5.2951417,10.024045944213867,1.005172848701477,3,150,10,500,10,0,0,10,False,0.01,30,1500
