iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.05679,95.98568725585938,9.644669532775879,3,150,10,500,10,0.1,10,False,0.01,30,1500
1,84.910805,90.69609069824219,9.118020057678223,3,150,10,500,10,0.1,10,False,0.01,30,1500
2,78.994896,85.7154769897461,8.62148380279541,3,150,10,500,10,0.1,10,False,0.01,30,1500
3,73.753044,80.991943359375,8.152739524841309,3,150,10,500,10,0.1,10,False,0.01,30,1500
4,68.870224,76.553955078125,7.710448741912842,3,150,10,500,10,0.1,10,False,0.01,30,1500
5,64.192406,72.37886810302734,7.295080661773682,3,150,10,500,10,0.1,10,False,0.01,30,1500
6,59.91867,68.49846649169922,6.907623767852783,3,150,10,500,10,0.1,10,False,0.01,30,1500
7,55.945026,64.83816528320312,6.540926933288574,3,150,10,500,10,0.1,10,False,0.01,30,1500
8,52.28929,61.44066619873047,6.201659679412842,3,150,10,500,10,0.1,10,False,0.01,30,1500
9,48.944103,58.15656280517578,5.873629093170166,3,150,10,500,10,0.1,10,False,0.01,30,1500
10,45.74999,55.15773391723633,5.573487758636475,3,150,10,500,10,0.1,10,False,0.01,30,1500
11,42.81285,52.43351364135742,5.299530506134033,3,150,10,500,10,0.1,10,False,0.01,30,1500
12,40.09843,49.773136138916016,5.032203674316406,3,150,10,500,10,0.1,10,False,0.01,30,1500
13,37.507824,47.24208450317383,4.778138160705566,3,150,10,500,10,0.1,10,False,0.01,30,1500
14,35.138668,44.87770080566406,4.540348052978516,3,150,10,500,10,0.1,10,False,0.01,30,1500
15,32.937843,42.5978889465332,4.310677528381348,3,150,10,500,10,0.1,10,False,0.01,30,1500
16,30.832077,40.46308898925781,4.0967698097229,3,150,10,500,10,0.1,10,False,0.01,30,1500
17,28.92602,38.44676208496094,3.8949801921844482,3,150,10,500,10,0.1,10,False,0.01,30,1500
18,27.178392,36.629425048828125,3.711942672729492,3,150,10,500,10,0.1,10,False,0.01,30,1500
19,25.49035,34.76704025268555,3.5242884159088135,3,150,10,500,10,0.1,10,False,0.01,30,1500
20,23.927147,33.133480072021484,3.358438491821289,3,150,10,500,10,0.1,10,False,0.01,30,1500
21,22.409372,31.583751678466797,3.201927900314331,3,150,10,500,10,0.1,10,False,0.01,30,1500
22,21.023285,30.041337966918945,3.046849250793457,3,150,10,500,10,0.1,10,False,0.01,30,1500
23,19.732428,28.638160705566406,2.904583215713501,3,150,10,500,10,0.1,10,False,0.01,30,1500
24,18.517315,27.214691162109375,2.761035680770874,3,150,10,500,10,0.1,10,False,0.01,30,1500
25,17.401306,25.941272735595703,2.63287353515625,3,150,10,500,10,0.1,10,False,0.01,30,1500
26,16.35269,24.753400802612305,2.5123534202575684,3,150,10,500,10,0.1,10,False,0.01,30,1500
27,15.375136,23.615922927856445,2.397174835205078,3,150,10,500,10,0.1,10,False,0.01,30,1500
28,14.442682,22.50813102722168,2.284454107284546,3,150,10,500,10,0.1,10,False,0.01,30,1500
29,13.571181,21.443912506103516,2.176290273666382,3,150,10,500,10,0.1,10,False,0.01,30,1500
30,12.774853,20.411174774169922,2.0711746215820312,3,150,10,500,10,0.1,10,False,0.01,30,1500
31,11.999678,19.403549194335938,1.9680112600326538,3,150,10,500,10,0.1,10,False,0.01,30,1500
32,11.286263,18.509916305541992,1.876824975013733,3,150,10,500,10,0.1,10,False,0.01,30,1500
33,10.622839,17.684951782226562,1.7932568788528442,3,150,10,500,10,0.1,10,False,0.01,30,1500
34,9.996654,16.84593391418457,1.7075506448745728,3,150,10,500,10,0.1,10,False,0.01,30,1500
35,9.4097805,16.043779373168945,1.6254112720489502,3,150,10,500,10,0.1,10,False,0.01,30,1500
36,8.881929,15.302528381347656,1.5496478080749512,3,150,10,500,10,0.1,10,False,0.01,30,1500
37,8.380502,14.641168594360352,1.482008457183838,3,150,10,500,10,0.1,10,False,0.01,30,1500
38,7.900614,14.004194259643555,1.416817545890808,3,150,10,500,10,0.1,10,False,0.01,30,1500
39,7.4472747,13.36652660369873,1.3508356809616089,3,150,10,500,10,0.1,10,False,0.01,30,1500
40,7.0334888,12.799189567565918,1.2919641733169556,3,150,10,500,10,0.1,10,False,0.01,30,1500
41,6.6414723,12.223287582397461,1.2327593564987183,3,150,10,500,10,0.1,10,False,0.01,30,1500
42,6.268232,11.654654502868652,1.1742053031921387,3,150,10,500,10,0.1,10,False,0.01,30,1500
43,5.9180202,11.151992797851562,1.1217291355133057,3,150,10,500,10,0.1,10,False,0.01,30,1500
44,5.5888906,10.688955307006836,1.0734153985977173,3,150,10,500,10,0.1,10,False,0.01,30,1500
45,5.274074,10.204084396362305,1.0234726667404175,3,150,10,500,10,0.1,10,False,0.01,30,1500
46,4.98388,9.75340461730957,0.9766491055488586,3,150,10,500,10,0.1,10,False,0.01,30,1500
47,4.7138324,9.323579788208008,0.9320663809776306,3,150,10,500,10,0.1,10,False,0.01,30,1500
48,4.4621363,8.918364524841309,0.8898830413818359,3,150,10,500,10,0.1,10,False,0.01,30,1500
49,4.223047,8.52731990814209,0.849194347858429,3,150,10,500,10,0.1,10,False,0.01,30,1500
50,4.0009294,8.166800498962402,0.8116775751113892,3,150,10,500,10,0.1,10,False,0.01,30,1500
51,3.79262,7.841111660003662,0.7774230241775513,3,150,10,500,10,0.1,10,False,0.01,30,1500
52,3.5976171,7.522214412689209,0.7436257004737854,3,150,10,500,10,0.1,10,False,0.01,30,1500
53,3.4101145,7.224506855010986,0.7123809456825256,3,150,10,500,10,0.1,10,False,0.01,30,1500
54,3.233522,6.9236955642700195,0.6808568835258484,3,150,10,500,10,0.1,10,False,0.01,30,1500
55,3.0680144,6.645590782165527,0.651396632194519,3,150,10,500,10,0.1,10,False,0.01,30,1500
56,2.9137094,6.4037699699401855,0.625567615032196,3,150,10,500,10,0.1,10,False,0.01,30,1500
57,2.7705164,6.149467945098877,0.5982327461242676,3,150,10,500,10,0.1,10,False,0.01,30,1500
58,2.6358466,5.91411018371582,0.5732197761535645,3,150,10,500,10,0.1,10,False,0.01,30,1500
59,2.5078049,5.679339408874512,0.5483147501945496,3,150,10,500,10,0.1,10,False,0.01,30,1500
60,2.3893,5.453662872314453,0.5242056846618652,3,150,10,500,10,0.1,10,False,0.01,30,1500
61,2.278678,5.2364068031311035,0.5010891556739807,3,150,10,500,10,0.1,10,False,0.01,30,1500
62,2.1701336,5.048741340637207,0.4811756908893585,3,150,10,500,10,0.1,10,False,0.01,30,1500
63,2.0700264,4.868158340454102,0.46203842759132385,3,150,10,500,10,0.1,10,False,0.01,30,1500
64,1.9740319,4.688051700592041,0.4427315294742584,3,150,10,500,10,0.1,10,False,0.01,30,1500
65,1.8853784,4.543178558349609,0.4269101023674011,3,150,10,500,10,0.1,10,False,0.01,30,1500
66,1.8029227,4.385861396789551,0.4097132682800293,3,150,10,500,10,0.1,10,False,0.01,30,1500
67,1.7234106,4.248907566070557,0.39480966329574585,3,150,10,500,10,0.1,10,False,0.01,30,1500
68,1.6474432,4.105508327484131,0.37903353571891785,3,150,10,500,10,0.1,10,False,0.01,30,1500
69,1.5755771,3.9672458171844482,0.3641161322593689,3,150,10,500,10,0.1,10,False,0.01,30,1500
70,1.5084243,3.8279128074645996,0.349022775888443,3,150,10,500,10,0.1,10,False,0.01,30,1500
71,1.4472532,3.701676845550537,0.3353279232978821,3,150,10,500,10,0.1,10,False,0.01,30,1500
72,1.3875979,3.593672752380371,0.3234823942184448,3,150,10,500,10,0.1,10,False,0.01,30,1500
73,1.3324666,3.4954285621643066,0.31260815262794495,3,150,10,500,10,0.1,10,False,0.01,30,1500
74,1.279395,3.395209550857544,0.3014688193798065,3,150,10,500,10,0.1,10,False,0.01,30,1500
75,1.2295903,3.3053951263427734,0.29155638813972473,3,150,10,500,10,0.1,10,False,0.01,30,1500
76,1.1830198,3.220815896987915,0.28212228417396545,3,150,10,500,10,0.1,10,False,0.01,30,1500
