iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,77.42366228103637,8.806655883789062,89.33366394042969,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
1,61.53687686920166,7.683347225189209,77.9727783203125,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
2,49.331351057688394,6.725324630737305,68.24957275390625,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
3,39.805916945139565,5.904786109924316,59.9789924621582,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
4,32.59650468190511,5.268927574157715,53.51127243041992,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
5,26.893270435333253,4.727586269378662,48.04436492919922,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
6,22.49292253812154,4.238734722137451,43.1214599609375,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
7,18.893974707921345,3.798582077026367,38.71914291381836,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
8,15.985408511161804,3.426344156265259,34.96530532836914,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
9,13.467129232088725,3.071744203567505,31.391389846801758,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
10,11.5166481924057,2.7835116386413574,28.49643898010254,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
11,9.943601735432942,2.5396645069122314,26.06069564819336,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
12,8.673398051261902,2.3288118839263916,23.958662033081055,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
13,7.599487482706706,2.1412947177886963,22.08087158203125,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
14,6.6379708401362105,1.961280107498169,20.283193588256836,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
15,5.828358242511749,1.8102971315383911,18.781766891479492,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
16,5.159292627573013,1.6563770771026611,17.260831832885742,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
17,4.609101384480795,1.5247774124145508,15.959149360656738,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
18,4.117783861955007,1.409926176071167,14.825328826904297,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
19,3.7565984936555226,1.311100959777832,13.857967376708984,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
20,3.4005432947476706,1.2173069715499878,12.929597854614258,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
21,3.1276282465457914,1.1506330966949463,12.271471977233887,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
22,2.9128791892528536,1.0829921960830688,11.612687110900879,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
23,2.6510336960355443,1.0052107572555542,10.852555274963379,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
24,2.467327792942524,0.9449743628501892,10.261247634887695,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
25,2.3265798465410867,0.8923307657241821,9.744400024414062,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
26,2.181856305102507,0.8427789807319641,9.258284568786621,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
27,2.0364974865317347,0.7965185642242432,8.7985258102417,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
28,1.89580256630977,0.7448300123214722,8.28293514251709,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
29,1.776097963054975,0.7077603340148926,7.924947261810303,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
30,1.683402431309223,0.6729164719581604,7.592268943786621,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
31,1.5690532074371975,0.6310585737228394,7.185286045074463,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
32,1.4706930009524029,0.6003364324569702,6.88303804397583,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
33,1.3746943319837253,0.5614879727363586,6.504208564758301,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
34,1.3404672435919445,0.5519872903823853,6.40577507019043,3,150,10,500,10,0.5,0,False,10,False,0.01,,5,300,2
