iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lrate_decay,algo_S,algo_R,algo_R_local
0,77.17485929489136,8.613635063171387,88.09800720214844,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
1,61.347288354237875,7.478979587554932,76.6387710571289,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
2,49.019995098114016,6.535961627960205,67.1037826538086,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
3,39.56798652013143,5.763362884521484,59.286598205566406,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
4,32.37299683888753,5.125093460083008,52.807960510253906,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
5,26.686241585413615,4.583524227142334,47.335350036621094,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
6,22.342839981714885,4.13302755355835,42.795162200927734,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
7,18.748825448354086,3.716773748397827,38.616939544677734,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
8,16.091666348775227,3.408137798309326,35.52147674560547,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
9,13.72818133354187,3.0916991233825684,32.354557037353516,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
10,11.831190719604493,2.800875663757324,29.45802116394043,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
11,10.248994592825571,2.5610268115997314,27.03876495361328,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
12,8.970468905766806,2.361130952835083,25.013887405395508,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
13,7.876356636683147,2.1715471744537354,23.125896453857422,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
14,6.895170477231344,2.002044677734375,21.433435440063477,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
15,6.133630761702856,1.8584314584732056,20.003808975219727,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
16,5.399023609956106,1.699856162071228,18.434680938720703,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
17,4.898942309617996,1.580731987953186,17.257793426513672,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
18,4.448083681265513,1.4724833965301514,16.184463500976562,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
19,4.057483548323313,1.3816866874694824,15.29560375213623,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
20,3.70863130569458,1.2909544706344604,14.397736549377441,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
21,3.349492758512497,1.1993262767791748,13.494257926940918,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
22,3.0875929546356202,1.1191520690917969,12.68465518951416,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
23,2.82929789463679,1.0382792949676514,11.88339614868164,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
24,2.654821267326673,0.9837905168533325,11.36288070678711,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
25,2.5002262564500173,0.9279273748397827,10.80265998840332,3,150,10,500,10,1.0,0,False,10,False,0.01,,5,300,2
