iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,76.96256928126017,8.58945083618164,89.05714416503906,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
1,61.23496652285258,7.455014705657959,77.6070556640625,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
2,49.02130094528198,6.536698341369629,68.33616638183594,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
3,39.88943381945292,5.783931255340576,60.76300811767578,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
4,32.89201032002767,5.185680866241455,54.68632888793945,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
5,27.284989455540973,4.627840518951416,49.02396774291992,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
6,22.942537158330282,4.180373191833496,44.515384674072266,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
7,19.173750400543213,3.766566753387451,40.32416915893555,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
8,16.241290265719098,3.3887152671813965,36.52849197387695,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
9,13.936464856465658,3.0830681324005127,33.47187423706055,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
10,12.008315423329671,2.817547082901001,30.851892471313477,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
11,10.543208497365315,2.593339204788208,28.622966766357422,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
12,9.352937651475271,2.3722267150878906,26.439838409423828,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
13,8.29940729856491,2.2137086391448975,24.85382652282715,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
14,7.307386933962504,2.022688627243042,22.9478759765625,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
15,6.5972247298558555,1.8838434219360352,21.59328269958496,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
16,5.980248589515686,1.7387787103652954,20.14398765563965,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
17,5.42933669090271,1.6091160774230957,18.855100631713867,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
18,4.9136305117607115,1.500714659690857,17.777193069458008,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
19,4.4744368934631344,1.3945033550262451,16.733699798583984,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
20,4.131359993219376,1.3008151054382324,15.796455383300781,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
21,3.801714330514272,1.2211558818817139,14.997724533081055,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
22,3.5289281018575034,1.1610136032104492,14.40467357635498,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
23,3.3312690822283426,1.0972130298614502,13.774984359741211,3,150,10,500,10,1.5,0,False,10,False,0.01,1,5,300,2
