iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,91.71935,97.85485076904297,9.616398811340332,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
1,85.555885,92.6353759765625,9.097207069396973,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
2,79.87702,87.67021942138672,8.6029052734375,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
3,74.56576,83.14620971679688,8.150409698486328,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
4,69.7292,78.81050109863281,7.717788219451904,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
5,65.139755,74.69450378417969,7.305761814117432,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
6,61.0703,70.95244598388672,6.9302825927734375,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
7,57.036816,67.3545150756836,6.570461750030518,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
8,53.304752,63.883033752441406,6.223852157592773,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
9,49.839806,60.612430572509766,5.895312309265137,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
10,46.64818,57.592567443847656,5.590557098388672,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
11,43.711266,54.66317367553711,5.2980475425720215,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
12,40.98661,51.96235656738281,5.026829719543457,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
13,38.425568,49.43903350830078,4.772757053375244,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
14,35.99777,46.97504806518555,4.525196075439453,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
15,33.802494,44.74620056152344,4.301901340484619,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
16,31.741,42.617103576660156,4.08765172958374,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
17,29.81139,40.550601959228516,3.880293369293213,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
18,27.997131,38.64046096801758,3.687995672225952,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
19,26.29092,36.84600830078125,3.5060982704162598,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
20,24.737871,35.134429931640625,3.3328819274902344,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
21,23.28027,33.56613540649414,3.174788236618042,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
22,21.874443,31.993162155151367,3.0159573554992676,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
23,20.609308,30.59611701965332,2.873612880706787,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
24,19.424824,29.27241325378418,2.739635467529297,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
25,18.31229,27.99172592163086,2.609527349472046,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
26,17.266127,26.793027877807617,2.4876551628112793,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
27,16.288727,25.61005401611328,2.367198944091797,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
28,15.368716,24.622188568115234,2.2670202255249023,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
29,14.500254,23.50339698791504,2.1535580158233643,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
30,13.672103,22.510095596313477,2.052746534347534,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
31,12.923084,21.570192337036133,1.9572101831436157,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
32,12.221454,20.7050838470459,1.8690617084503174,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
33,11.571744,19.88001823425293,1.785681962966919,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
34,10.949467,19.111400604248047,1.706668496131897,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
35,10.3656845,18.40064239501953,1.6341649293899536,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
36,9.82167,17.688888549804688,1.5609525442123413,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
37,9.303077,17.033077239990234,1.4933420419692993,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
38,8.81713,16.478858947753906,1.4363600015640259,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
39,8.364065,15.874357223510742,1.3743056058883667,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
40,7.9363565,15.270153045654297,1.3118804693222046,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
41,7.5510244,14.748140335083008,1.2577368021011353,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
42,7.164559,14.240205764770508,1.2045484781265259,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
43,6.820802,13.75200366973877,1.153438687324524,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
44,6.4992948,13.27182674407959,1.1033365726470947,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
45,6.1919556,12.833343505859375,1.0579590797424316,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
46,5.9014006,12.423108100891113,1.0149991512298584,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
47,5.6301613,11.999883651733398,0.9709375500679016,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
48,5.379617,11.673526763916016,0.936632513999939,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
49,5.140168,11.377372741699219,0.9053815007209778,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
50,4.9177446,11.054869651794434,0.8711511492729187,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
51,4.7137914,10.801031112670898,0.8444202542304993,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
52,4.513574,10.500067710876465,0.813065767288208,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
53,4.3268986,10.170751571655273,0.7786564826965332,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
54,4.1501904,9.913474082946777,0.7514235377311707,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
55,3.9819992,9.69249153137207,0.7275755405426025,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
56,3.8278122,9.406959533691406,0.6974856853485107,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
57,3.6799724,9.179713249206543,0.672947883605957,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
58,3.539203,8.984559059143066,0.6519380211830139,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
59,3.4090254,8.780455589294434,0.6303889155387878,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
60,3.286665,8.577999114990234,0.6089621782302856,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
61,3.1732447,8.40857982635498,0.5912923216819763,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
62,3.0662668,8.23397445678711,0.5729604959487915,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
63,2.9595344,8.07543659210205,0.5560359358787537,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
64,2.8665764,7.9298624992370605,0.5401766300201416,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
65,2.7759583,7.777939796447754,0.5238448977470398,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
66,2.6879015,7.662022590637207,0.5105031728744507,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
67,2.6070662,7.562966346740723,0.49919062852859497,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
68,2.529088,7.481758117675781,0.4901890754699707,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
69,2.4563668,7.380559921264648,0.47821030020713806,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
70,2.3864324,7.3140692710876465,0.4714643955230713,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
71,2.3211858,7.179121494293213,0.45711758732795715,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
72,2.256742,7.089790344238281,0.44728511571884155,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
73,2.1978781,6.9648332595825195,0.4337511658668518,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
74,2.140972,6.889573097229004,0.4259735345840454,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
75,2.087393,6.869295597076416,0.4235428273677826,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
76,2.0370061,6.782796859741211,0.4139541983604431,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
77,1.9867669,6.722255706787109,0.40689146518707275,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
78,1.9421116,6.680570125579834,0.40200236439704895,3,150,10,500,10,1.5,0,10,False,0.01,1,30,1500,0
