iter,loss_mean,MSE_params,MSE_test,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_test,data_n_features,data_noise_scale,data_noise_weight,data_no_scale,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,76.63409990946452,8.608783721923828,88.00228881835938,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
1,60.794785766601564,7.476170539855957,76.57282257080078,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
2,48.972870140075685,6.584680080413818,67.58124542236328,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
3,39.85332774480184,5.834657192230225,60.02534484863281,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
4,32.41314703305562,5.1551032066345215,53.16545486450195,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
5,26.68121561686198,4.5813751220703125,47.385746002197266,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
6,22.276674658457438,4.107670307159424,42.634849548339844,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
7,18.728082852363585,3.7192842960357666,38.74269104003906,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
8,15.970118406613668,3.389714479446411,35.446720123291016,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
9,13.585016624132793,3.072415590286255,32.25543212890625,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
10,11.642499049504599,2.8198394775390625,29.719003677368164,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
11,10.135140374501546,2.586977481842041,27.37753677368164,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
12,8.786876005331676,2.3746297359466553,25.272302627563477,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
13,7.6387773784001665,2.158392906188965,23.111038208007812,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
14,6.733115928967794,1.9869931936264038,21.384178161621094,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
15,5.929326891899109,1.8275775909423828,19.77601432800293,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
16,5.379478715260824,1.7022513151168823,18.539899826049805,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
17,4.902841459910075,1.6101127862930298,17.607030868530273,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
18,4.395606281757355,1.4883116483688354,16.393341064453125,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
19,3.9670535778999327,1.3747540712356567,15.269500732421875,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
20,3.584811036189397,1.2717244625091553,14.25324535369873,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
21,3.3579133598009747,1.209571361541748,13.665457725524902,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
22,3.1348519722620645,1.132238745689392,12.906145095825195,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
23,2.8873623611529666,1.0602777004241943,12.190784454345703,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
24,2.688872889280319,0.9968854784965515,11.556617736816406,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
25,2.539624898433685,0.9415854215621948,11.000215530395508,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
26,2.3916782997051875,0.8928187489509583,10.532295227050781,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
27,2.2657262208064397,0.8484072685241699,10.087555885314941,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
28,2.137292220592499,0.8058961033821106,9.68148422241211,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
29,2.0232080631454785,0.7822448015213013,9.451559066772461,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
30,1.935608212351799,0.7440199851989746,9.063247680664062,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
31,1.8677310797572135,0.7110896706581116,8.74045181274414,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
32,1.8379701765378316,0.6859923005104065,8.501419067382812,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
33,1.7565616766611736,0.6423739790916443,8.076010704040527,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
34,1.6779978439211845,0.6090831756591797,7.731987476348877,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
35,1.5843934579690298,0.575640857219696,7.407884120941162,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
36,1.5166775568823019,0.5459856390953064,7.115800857543945,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
37,1.50731005931894,0.5357546210289001,7.016038417816162,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
38,1.4447062000632287,0.5134132504463196,6.801067352294922,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
39,1.3788501724600792,0.4934365451335907,6.600161552429199,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
40,1.3719665389259657,0.48375824093818665,6.498149394989014,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
41,1.3449775525927543,0.4652022421360016,6.317566394805908,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
42,1.3243351070086162,0.4558578133583069,6.222623825073242,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
43,1.3101269177595773,0.44900304079055786,6.1554975509643555,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
44,1.2659023949503898,0.4360058605670929,6.042474746704102,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
45,1.274934385518233,0.4258826673030853,5.947022914886475,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
46,1.264315690199534,0.4164280593395233,5.852021217346191,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
47,1.2615465393662453,0.4063795804977417,5.762372970581055,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
48,1.2009477932254473,0.38286831974983215,5.530636310577393,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
49,1.1972650221983592,0.38103482127189636,5.530275821685791,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
50,1.1776024122039477,0.3736736476421356,5.451160430908203,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
51,1.1732349029183389,0.37056416273117065,5.41903829574585,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
52,1.154666589597861,0.3674495220184326,5.3919196128845215,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
53,1.1345972391963004,0.3591490387916565,5.310349464416504,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
54,1.098182442287604,0.34192949533462524,5.135035991668701,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
55,1.1095457072059314,0.33894190192222595,5.10924768447876,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
56,1.129448423186938,0.3397614061832428,5.113239288330078,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
57,1.0853735097249348,0.33436962962150574,5.0536675453186035,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
58,1.0706543776392936,0.3181600570678711,4.889380931854248,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
59,1.0587233205636342,0.3135227859020233,4.843042373657227,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
60,1.0411086988449096,0.31763023138046265,4.885951519012451,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
61,1.0592338262001673,0.3261266052722931,4.9728899002075195,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
62,1.0474072362979252,0.3209388256072998,4.912065029144287,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
63,1.0495737093190352,0.3218573033809662,4.925810813903809,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
64,1.064063343256712,0.3283831775188446,4.986464023590088,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
65,1.0868322611351808,0.32698678970336914,4.96735143661499,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
66,1.044979550242424,0.31782451272010803,4.875881195068359,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
67,1.0079468672474226,0.30126041173934937,4.715091228485107,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
68,1.021858660876751,0.29920268058776855,4.69021463394165,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
69,1.0275635222593944,0.2960857152938843,4.6630048751831055,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
70,1.0254259896278382,0.29300931096076965,4.624536037445068,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
71,0.9917324375112851,0.2853375971317291,4.554481506347656,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
72,1.0070720945298672,0.29334959387779236,4.633440017700195,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
73,1.0169445200264453,0.2924594581127167,4.621149063110352,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
74,0.9901228567957878,0.28270474076271057,4.527606964111328,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
75,0.9715591571728388,0.27611953020095825,4.462708950042725,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
76,0.9706287556886672,0.2773033678531647,4.47576904296875,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
77,0.983976331849893,0.2792392671108246,4.489441871643066,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
78,0.9860517059763273,0.27998560667037964,4.499560832977295,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
79,0.9812306343515714,0.27679502964019775,4.4658613204956055,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
80,0.9728160001834234,0.2854595184326172,4.5407633781433105,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
81,0.9654848495125771,0.2791913151741028,4.480215072631836,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
82,0.9383151385188103,0.2694283127784729,4.3871002197265625,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
83,0.9221237852176031,0.26521849632263184,4.348596572875977,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
84,0.9310240324338277,0.26609939336776733,4.371977806091309,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
85,0.9261126167078813,0.2612064480781555,4.33120584487915,3,150,10,500,10,1.0,0,False,10,False,0.01,1,5,300,2
