iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_n_features,model_bias,algo_lrate,algo_lmbd,algo_S,algo_R,algo_R_local
0,91.342354,97.28106689453125,9.680476188659668,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
1,85.195274,92.1349105834961,9.166790962219238,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
2,79.422806,87.04396057128906,8.66009521484375,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
3,74.08424,82.27850341796875,8.183232307434082,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
4,69.21354,78.0656967163086,7.762254238128662,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
5,64.56674,73.75178527832031,7.334005832672119,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
6,60.36048,69.9962158203125,6.957704544067383,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
7,56.414036,66.27240753173828,6.586122989654541,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
8,52.751163,62.82884979248047,6.24246072769165,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
9,49.32113,59.62184524536133,5.922124862670898,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
10,46.128048,56.63886260986328,5.623875141143799,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
11,43.17204,53.759464263916016,5.3366594314575195,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
12,40.423096,51.01995849609375,5.060962200164795,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
13,37.81214,48.45137023925781,4.80356502532959,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
14,35.42231,46.03221130371094,4.560711860656738,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
15,33.221264,43.7849235534668,4.3347930908203125,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
16,31.139935,41.633914947509766,4.1186370849609375,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
17,29.219648,39.70277786254883,3.9224812984466553,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
18,27.429785,37.74979019165039,3.7252252101898193,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
19,25.744463,35.86537170410156,3.535625457763672,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
20,24.172777,34.169456481933594,3.364488124847412,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
21,22.696533,32.56304931640625,3.202988862991333,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
22,21.330833,31.013219833374023,3.0461161136627197,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
23,20.048597,29.576534271240234,2.9012527465820312,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
24,18.852907,28.2080020904541,2.762735605239868,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
25,17.722313,26.906953811645508,2.629730701446533,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
26,16.675436,25.679508209228516,2.5049803256988525,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
27,15.692153,24.475017547607422,2.3826332092285156,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
28,14.769495,23.377025604248047,2.271270513534546,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
29,13.9047165,22.309545516967773,2.1627824306488037,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
30,13.109645,21.3686580657959,2.0670690536499023,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
31,12.353246,20.434370040893555,1.9721580743789673,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
32,11.646821,19.519147872924805,1.8793693780899048,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
33,10.990172,18.645872116088867,1.7903530597686768,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
34,10.366904,17.868993759155273,1.7105743885040283,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
35,9.792036,17.13967514038086,1.634804368019104,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
36,9.233786,16.456432342529297,1.5646589994430542,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
37,8.714492,15.750665664672852,1.492889165878296,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
38,8.241149,15.112046241760254,1.427857756614685,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
39,7.794185,14.50611686706543,1.3650528192520142,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
40,7.3742385,13.89832592010498,1.3021982908248901,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
41,6.9799185,13.354808807373047,1.2457971572875977,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
42,6.606186,12.811689376831055,1.1897339820861816,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
43,6.2652335,12.30331039428711,1.1372026205062866,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
44,5.9358134,11.858602523803711,1.091471791267395,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
45,5.6283493,11.417325973510742,1.0454915761947632,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
46,5.3395743,10.981572151184082,0.9997177124023438,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
47,5.067465,10.575358390808105,0.9574023485183716,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
48,4.810773,10.171609878540039,0.9150803089141846,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
49,4.5694065,9.798027992248535,0.8764750361442566,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
50,4.3464932,9.427617073059082,0.8376595973968506,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
51,4.142318,9.09927749633789,0.803394615650177,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
52,3.948999,8.825547218322754,0.773931622505188,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
53,3.7692754,8.549738883972168,0.7451013326644897,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
54,3.5941179,8.291431427001953,0.7177976369857788,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
55,3.4300675,8.03147029876709,0.6906369924545288,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
56,3.2751296,7.775751113891602,0.6634843945503235,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
57,3.1316931,7.514430522918701,0.6358521580696106,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
58,2.9942298,7.262210369110107,0.6090853810310364,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
59,2.870061,7.028102397918701,0.5839211940765381,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
60,2.748667,6.853574275970459,0.5649453401565552,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
61,2.6364949,6.675453186035156,0.5457023978233337,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
62,2.529895,6.474278926849365,0.5241057276725769,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
63,2.4291847,6.303974151611328,0.5062740445137024,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
64,2.334141,6.1499810218811035,0.48949775099754333,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
65,2.246304,5.981550216674805,0.4716205596923828,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
66,2.1623147,5.865981101989746,0.45881831645965576,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
67,2.0815353,5.76508903503418,0.4474335312843323,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
68,2.0070891,5.600129127502441,0.42962342500686646,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
69,1.9368217,5.473003387451172,0.4153320789337158,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
70,1.8691207,5.338146686553955,0.4007056951522827,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
71,1.8062505,5.261327266693115,0.39194780588150024,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
72,1.7452594,5.138551235198975,0.37845584750175476,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
73,1.6891263,5.020939826965332,0.36570465564727783,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
74,1.6360029,4.946721076965332,0.3571545481681824,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
75,1.5873333,4.885319232940674,0.3500562608242035,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
76,1.5397522,4.780733108520508,0.33846768736839294,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
77,1.4950541,4.737104415893555,0.3330985903739929,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
78,1.4512842,4.658292293548584,0.32438361644744873,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
79,1.4094652,4.579944610595703,0.31572648882865906,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
80,1.3734102,4.497279644012451,0.3064793348312378,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
81,1.3373319,4.46086311340332,0.30217379331588745,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
82,1.302834,4.408041954040527,0.2960709035396576,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
83,1.2698299,4.328732967376709,0.28730735182762146,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
84,1.2388881,4.261538505554199,0.2797219455242157,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
85,1.2094959,4.203524589538574,0.2733669877052307,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
86,1.1841985,4.179869651794434,0.2705448269844055,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
87,1.1585323,4.122535705566406,0.26435181498527527,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
88,1.1325971,4.086700439453125,0.26030629873275757,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
89,1.1080014,4.042695999145508,0.25523385405540466,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
90,1.085994,4.0162835121154785,0.2519627511501312,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
91,1.06438,3.991971015930176,0.24896594882011414,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
92,1.0435662,3.9629008769989014,0.2456546574831009,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
93,1.0230662,3.948610544204712,0.2441336065530777,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
94,1.0036687,3.9343490600585938,0.24200737476348877,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
95,0.9849935,3.8946611881256104,0.23745359480381012,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
96,0.9681828,3.8670358657836914,0.2341902256011963,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
97,0.95144117,3.8436813354492188,0.2312840074300766,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
98,0.935184,3.8148539066314697,0.22780996561050415,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
99,0.9211397,3.7778220176696777,0.22355802357196808,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
100,0.90769005,3.736302137374878,0.21903900802135468,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
101,0.8939573,3.7121803760528564,0.21638570725917816,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
102,0.88140047,3.706937313079834,0.2154509723186493,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
103,0.86863065,3.706639051437378,0.21507535874843597,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
104,0.85575724,3.7005767822265625,0.2142171561717987,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
105,0.8446341,3.7005176544189453,0.21386544406414032,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
106,0.832718,3.683234214782715,0.21201767027378082,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
107,0.8226786,3.6680421829223633,0.21019800007343292,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
108,0.81122404,3.6784751415252686,0.21091413497924805,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
109,0.80188894,3.6484692096710205,0.20736409723758698,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
110,0.79231703,3.653674840927124,0.20727378129959106,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
111,0.7832527,3.650634527206421,0.2066175639629364,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
112,0.77483577,3.638179302215576,0.2053070366382599,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
113,0.76693445,3.62158203125,0.20337383449077606,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
114,0.75923324,3.5908634662628174,0.20009967684745789,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
115,0.75226337,3.5830047130584717,0.19898752868175507,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
116,0.74432665,3.606151580810547,0.20121420919895172,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
117,0.73757434,3.5931556224823,0.19988515973091125,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
118,0.73037785,3.5699191093444824,0.197417750954628,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
119,0.7237146,3.5843210220336914,0.19921715557575226,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
120,0.71719724,3.589827537536621,0.19967545568943024,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
121,0.71070457,3.598127841949463,0.20021790266036987,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
122,0.70447487,3.6063427925109863,0.20080095529556274,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
123,0.6984547,3.632058620452881,0.2031242549419403,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
124,0.6928592,3.6047708988189697,0.19999925792217255,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
125,0.6876707,3.6055240631103516,0.20055599510669708,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
126,0.6822251,3.5953879356384277,0.19919298589229584,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
127,0.67755735,3.588031053543091,0.1982780545949936,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
128,0.67308146,3.5761682987213135,0.19675809144973755,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
129,0.6675649,3.5792038440704346,0.19717535376548767,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
130,0.662582,3.574099540710449,0.1964341700077057,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
131,0.65724903,3.5916550159454346,0.1978653371334076,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
132,0.65276563,3.5729875564575195,0.1959323287010193,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
133,0.6483288,3.582123279571533,0.19664885103702545,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
134,0.6445052,3.5629770755767822,0.19462625682353973,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
135,0.6408724,3.55702805519104,0.1937473565340042,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
136,0.6368942,3.5538270473480225,0.1930917352437973,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
137,0.6329431,3.5689074993133545,0.19455969333648682,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
138,0.6291991,3.5510776042938232,0.19253404438495636,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
139,0.6249244,3.5794177055358887,0.19536688923835754,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
140,0.6211546,3.595329761505127,0.19670826196670532,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
141,0.6174072,3.595863103866577,0.19720274209976196,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
142,0.61432934,3.58545184135437,0.19589953124523163,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
143,0.61130404,3.5956478118896484,0.19695104658603668,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
144,0.60838234,3.5764942169189453,0.19490987062454224,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
145,0.60509646,3.580512046813965,0.19532941281795502,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
146,0.6020234,3.5816009044647217,0.1951894909143448,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
147,0.5992489,3.5706441402435303,0.19392810761928558,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
148,0.5963678,3.5784053802490234,0.194600909948349,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
149,0.593541,3.5818798542022705,0.19467344880104065,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
150,0.5917832,3.5705745220184326,0.19341956079006195,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
151,0.5888214,3.580203056335449,0.19419953227043152,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
152,0.58557904,3.5766854286193848,0.19347381591796875,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
153,0.5833889,3.5630009174346924,0.19188567996025085,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
154,0.58123916,3.591834306716919,0.19484473764896393,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
155,0.57908124,3.5965189933776855,0.19520296156406403,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
156,0.5770023,3.5816500186920166,0.19366511702537537,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
157,0.5746916,3.592916250228882,0.1944769024848938,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
158,0.57285017,3.5946030616760254,0.19473464787006378,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
159,0.5713744,3.60163950920105,0.19568820297718048,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
160,0.568343,3.5971949100494385,0.19500860571861267,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
161,0.56591225,3.597205400466919,0.19506341218948364,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
162,0.56430525,3.580913543701172,0.19343245029449463,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
163,0.56242704,3.5822739601135254,0.1933438628911972,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
164,0.5608935,3.5908381938934326,0.19418928027153015,3,150,10,500,10,1.0,0,10,False,0.01,1,30,1500,0
