iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,6.800800122926685,140.33055658271002,3,150,10,500,10,0.1,0,5,0.05,30,200
1,8.004638301538902,138.6006741568005,3,150,10,500,10,0.1,0,5,0.05,30,200
2,8.745925976345005,137.27431869036127,3,150,10,500,10,0.1,0,5,0.05,30,200
3,9.185063405876686,131.12075448045331,3,150,10,500,10,0.1,0,5,0.05,30,200
4,10.497351250911661,129.22102128680925,3,150,10,500,10,0.1,0,5,0.05,30,200
5,11.529334550672386,128.05624675544192,3,150,10,500,10,0.1,0,5,0.05,30,200
6,11.911691698538167,126.16018756080817,3,150,10,500,10,0.1,0,5,0.05,30,200
7,12.280619315867652,123.53345006917094,3,150,10,500,10,0.1,0,5,0.05,30,200
8,13.324120193102715,124.31325413284713,3,150,10,500,10,0.1,0,5,0.05,30,200
9,14.088847067502533,122.38780941027039,3,150,10,500,10,0.1,0,5,0.05,30,200
10,15.179412151842874,119.72004355852557,3,150,10,500,10,0.1,0,5,0.05,30,200
11,15.513220101504134,120.95884310526506,3,150,10,500,10,0.1,0,5,0.05,30,200
12,16.868255038156367,118.7211176577823,3,150,10,500,10,0.1,0,5,0.05,30,200
13,17.731940253858067,115.95391159892183,3,150,10,500,10,0.1,0,5,0.05,30,200
14,18.906680862669194,115.22092920096239,3,150,10,500,10,0.1,0,5,0.05,30,200
15,19.889753232810246,114.68877476489855,3,150,10,500,10,0.1,0,5,0.05,30,200
16,19.864550360237573,112.66023015055708,3,150,10,500,10,0.1,0,5,0.05,30,200
17,20.321592502105062,113.0179935421536,3,150,10,500,10,0.1,0,5,0.05,30,200
18,21.244152795321362,110.99975903235502,3,150,10,500,10,0.1,0,5,0.05,30,200
19,21.59304314749715,111.22330456383088,3,150,10,500,10,0.1,0,5,0.05,30,200
20,21.057804602389766,112.10591080406091,3,150,10,500,10,0.1,0,5,0.05,30,200
21,22.114080043935246,109.58456420315801,3,150,10,500,10,0.1,0,5,0.05,30,200
22,23.16734695698322,111.61676063699488,3,150,10,500,10,0.1,0,5,0.05,30,200
23,23.802602589715068,107.89102703513788,3,150,10,500,10,0.1,0,5,0.05,30,200
24,24.074706171142218,107.30408913290456,3,150,10,500,10,0.1,0,5,0.05,30,200
25,24.210424826375057,105.1228864245484,3,150,10,500,10,0.1,0,5,0.05,30,200
26,24.242872706737575,105.87301786394207,3,150,10,500,10,0.1,0,5,0.05,30,200
27,24.522944334897087,105.65722247633671,3,150,10,500,10,0.1,0,5,0.05,30,200
28,26.12238290163616,106.45611601452615,3,150,10,500,10,0.1,0,5,0.05,30,200
29,25.50193803505388,104.79038022296758,3,150,10,500,10,0.1,0,5,0.05,30,200
30,26.264980425539314,103.28975369637982,3,150,10,500,10,0.1,0,5,0.05,30,200
31,27.41053386428818,104.67023865678385,3,150,10,500,10,0.1,0,5,0.05,30,200
32,28.245688780720034,106.21561432769631,3,150,10,500,10,0.1,0,5,0.05,30,200
33,28.464737995986155,105.08204497847815,3,150,10,500,10,0.1,0,5,0.05,30,200
34,29.088678892354782,103.61551048823215,3,150,10,500,10,0.1,0,5,0.05,30,200
35,29.942490325075912,103.18145263639295,3,150,10,500,10,0.1,0,5,0.05,30,200
36,30.0226218448618,104.10490641647422,3,150,10,500,10,0.1,0,5,0.05,30,200
37,30.729056551430283,103.4943037010618,3,150,10,500,10,0.1,0,5,0.05,30,200
38,31.15207685262011,103.34952643420489,3,150,10,500,10,0.1,0,5,0.05,30,200
39,32.15138266696095,102.86630887423458,3,150,10,500,10,0.1,0,5,0.05,30,200
40,32.47327967579019,102.99125657795993,3,150,10,500,10,0.1,0,5,0.05,30,200
41,33.58035340073986,103.34589184332197,3,150,10,500,10,0.1,0,5,0.05,30,200
42,33.74924154284931,102.09201298297701,3,150,10,500,10,0.1,0,5,0.05,30,200
43,33.14942131538468,101.84382976539104,3,150,10,500,10,0.1,0,5,0.05,30,200
44,34.029707595619456,102.0706087893612,3,150,10,500,10,0.1,0,5,0.05,30,200
45,33.49867777810136,100.68010027327524,3,150,10,500,10,0.1,0,5,0.05,30,200
46,34.48740404629384,100.41567178593155,3,150,10,500,10,0.1,0,5,0.05,30,200
47,34.37447214294984,102.0436626948956,3,150,10,500,10,0.1,0,5,0.05,30,200
48,35.85169428724445,102.01324328976946,3,150,10,500,10,0.1,0,5,0.05,30,200
49,34.80211590873138,102.0241564104931,3,150,10,500,10,0.1,0,5,0.05,30,200
50,35.025273901309326,100.58409878818479,3,150,10,500,10,0.1,0,5,0.05,30,200
51,34.75972258889388,100.73652633785923,3,150,10,500,10,0.1,0,5,0.05,30,200
52,35.033052847674114,99.76505781601035,3,150,10,500,10,0.1,0,5,0.05,30,200
53,35.05910144731753,101.04096301853319,3,150,10,500,10,0.1,0,5,0.05,30,200
54,36.246458417278035,101.75148561190461,3,150,10,500,10,0.1,0,5,0.05,30,200
55,35.90836300897377,100.83062286028472,3,150,10,500,10,0.1,0,5,0.05,30,200
56,35.22967647067015,99.5143672200668,3,150,10,500,10,0.1,0,5,0.05,30,200
57,35.861596120264075,101.29275984753707,3,150,10,500,10,0.1,0,5,0.05,30,200
58,36.01658881048646,100.42023900264203,3,150,10,500,10,0.1,0,5,0.05,30,200
59,38.1372850925158,100.92874195380624,3,150,10,500,10,0.1,0,5,0.05,30,200
60,37.152634806156506,100.69960073586424,3,150,10,500,10,0.1,0,5,0.05,30,200
61,37.57402713520741,101.55804256208573,3,150,10,500,10,0.1,0,5,0.05,30,200
62,38.111941820068616,100.25584501772582,3,150,10,500,10,0.1,0,5,0.05,30,200
63,39.176160652873584,99.4127202901951,3,150,10,500,10,0.1,0,5,0.05,30,200
64,38.483470201053706,100.3412522946328,3,150,10,500,10,0.1,0,5,0.05,30,200
65,39.12011307846842,101.48947771519585,3,150,10,500,10,0.1,0,5,0.05,30,200
66,39.329006960264266,99.88104297816844,3,150,10,500,10,0.1,0,5,0.05,30,200
67,39.86996160887216,100.58542547806255,3,150,10,500,10,0.1,0,5,0.05,30,200
68,38.51792308458366,100.48086674083669,3,150,10,500,10,0.1,0,5,0.05,30,200
69,39.44461627372591,99.48111019152512,3,150,10,500,10,0.1,0,5,0.05,30,200
70,40.22167624863255,99.89586409944752,3,150,10,500,10,0.1,0,5,0.05,30,200
71,40.688867023539245,99.87559787782483,3,150,10,500,10,0.1,0,5,0.05,30,200
72,40.76115001333437,98.68965984483869,3,150,10,500,10,0.1,0,5,0.05,30,200
73,41.19173815360162,98.87252123240128,3,150,10,500,10,0.1,0,5,0.05,30,200
74,39.48485659696009,100.34532231754096,3,150,10,500,10,0.1,0,5,0.05,30,200
75,40.09276173566246,98.97007339274839,3,150,10,500,10,0.1,0,5,0.05,30,200
76,41.4895139547845,99.29150469702311,3,150,10,500,10,0.1,0,5,0.05,30,200
77,42.89862493128944,99.67656796261024,3,150,10,500,10,0.1,0,5,0.05,30,200
78,40.32809266237768,98.10771363736913,3,150,10,500,10,0.1,0,5,0.05,30,200
79,40.60578746328336,99.48272141623407,3,150,10,500,10,0.1,0,5,0.05,30,200
80,41.82598318044274,99.16832762315627,3,150,10,500,10,0.1,0,5,0.05,30,200
81,41.01406445244166,98.84779315329601,3,150,10,500,10,0.1,0,5,0.05,30,200
82,42.77988159593636,99.11664844724554,3,150,10,500,10,0.1,0,5,0.05,30,200
83,41.62928928174632,97.6180023849527,3,150,10,500,10,0.1,0,5,0.05,30,200
84,41.58788101789537,98.60304893858952,3,150,10,500,10,0.1,0,5,0.05,30,200
85,42.12698692887129,99.78049359533244,3,150,10,500,10,0.1,0,5,0.05,30,200
86,42.052946911722564,100.48880402525047,3,150,10,500,10,0.1,0,5,0.05,30,200
87,42.551870927922394,99.38782270214647,3,150,10,500,10,0.1,0,5,0.05,30,200
88,41.90810755006241,100.63984431820111,3,150,10,500,10,0.1,0,5,0.05,30,200
89,42.62291092013995,100.56091339877901,3,150,10,500,10,0.1,0,5,0.05,30,200
90,40.98505972985551,101.43875269665752,3,150,10,500,10,0.1,0,5,0.05,30,200
91,42.66848825680471,101.19584516990489,3,150,10,500,10,0.1,0,5,0.05,30,200
92,42.64999762155444,99.91787215302836,3,150,10,500,10,0.1,0,5,0.05,30,200
93,41.644249142304616,102.72597058350043,3,150,10,500,10,0.1,0,5,0.05,30,200
94,42.21376888293004,100.11348583422684,3,150,10,500,10,0.1,0,5,0.05,30,200
95,42.941982854164976,100.97829276369335,3,150,10,500,10,0.1,0,5,0.05,30,200
96,43.66183372113155,102.18843984292359,3,150,10,500,10,0.1,0,5,0.05,30,200
97,43.31678755609426,100.75211428447423,3,150,10,500,10,0.1,0,5,0.05,30,200
98,42.99189049129922,99.89015163182903,3,150,10,500,10,0.1,0,5,0.05,30,200
99,43.43162943942142,100.51533368296458,3,150,10,500,10,0.1,0,5,0.05,30,200
100,43.85485260144241,100.02385692625326,3,150,10,500,10,0.1,0,5,0.05,30,200
101,42.82247358034629,98.93744097186666,3,150,10,500,10,0.1,0,5,0.05,30,200
102,43.93562195575521,100.89137432597032,3,150,10,500,10,0.1,0,5,0.05,30,200
103,42.16187790269669,100.38172652525161,3,150,10,500,10,0.1,0,5,0.05,30,200
104,42.777232855331704,99.36689578563785,3,150,10,500,10,0.1,0,5,0.05,30,200
105,42.95393831399235,100.80043833547545,3,150,10,500,10,0.1,0,5,0.05,30,200
106,41.88026624489487,99.9709815634778,3,150,10,500,10,0.1,0,5,0.05,30,200
107,41.04597661844009,100.1842323195168,3,150,10,500,10,0.1,0,5,0.05,30,200
108,42.389315538036605,100.62763739415655,3,150,10,500,10,0.1,0,5,0.05,30,200
109,42.07532321686924,100.12749174036014,3,150,10,500,10,0.1,0,5,0.05,30,200
110,42.33420678876432,100.18399081927464,3,150,10,500,10,0.1,0,5,0.05,30,200
111,42.16152063377107,100.36915842761222,3,150,10,500,10,0.1,0,5,0.05,30,200
112,42.42324134991548,100.22803813246847,3,150,10,500,10,0.1,0,5,0.05,30,200
113,43.36700476410857,100.82112287733109,3,150,10,500,10,0.1,0,5,0.05,30,200
114,43.375705453764255,99.41965274594514,3,150,10,500,10,0.1,0,5,0.05,30,200
115,42.39756389892839,101.49372324217312,3,150,10,500,10,0.1,0,5,0.05,30,200
116,42.88778958396956,100.63046081724765,3,150,10,500,10,0.1,0,5,0.05,30,200
117,43.64350656628004,100.6867849475713,3,150,10,500,10,0.1,0,5,0.05,30,200
118,43.63627359672411,100.87793134675078,3,150,10,500,10,0.1,0,5,0.05,30,200
119,43.778605367858574,101.70862893193848,3,150,10,500,10,0.1,0,5,0.05,30,200
120,42.589922419598416,100.75744401619491,3,150,10,500,10,0.1,0,5,0.05,30,200
121,44.07002789537875,103.06712528706866,3,150,10,500,10,0.1,0,5,0.05,30,200
122,43.35113849754585,100.53374935354246,3,150,10,500,10,0.1,0,5,0.05,30,200
123,42.7308314538416,100.8454367439325,3,150,10,500,10,0.1,0,5,0.05,30,200
124,42.94620974709385,100.79561812618074,3,150,10,500,10,0.1,0,5,0.05,30,200
125,44.26275039438487,100.76720436134983,3,150,10,500,10,0.1,0,5,0.05,30,200
126,44.391794958605175,99.98807142024097,3,150,10,500,10,0.1,0,5,0.05,30,200
127,44.80142955932779,100.7749570914554,3,150,10,500,10,0.1,0,5,0.05,30,200
128,43.97010952705304,100.9380602157455,3,150,10,500,10,0.1,0,5,0.05,30,200
129,44.391145700842706,101.64756820468908,3,150,10,500,10,0.1,0,5,0.05,30,200
130,42.83539962798147,102.11761254525877,3,150,10,500,10,0.1,0,5,0.05,30,200
131,42.88562554418503,99.48312731583924,3,150,10,500,10,0.1,0,5,0.05,30,200
132,42.53129195264407,99.39660570908886,3,150,10,500,10,0.1,0,5,0.05,30,200
133,43.72608233964692,100.50616842744832,3,150,10,500,10,0.1,0,5,0.05,30,200
134,44.42810549856002,99.73328432503575,3,150,10,500,10,0.1,0,5,0.05,30,200
135,43.57066006066344,101.23982964345606,3,150,10,500,10,0.1,0,5,0.05,30,200
136,43.85563126711461,99.03716632805315,3,150,10,500,10,0.1,0,5,0.05,30,200
137,43.69800590314086,98.37377081085977,3,150,10,500,10,0.1,0,5,0.05,30,200
138,43.246256222242785,98.6399606029648,3,150,10,500,10,0.1,0,5,0.05,30,200
139,43.84977921471386,99.25922461887896,3,150,10,500,10,0.1,0,5,0.05,30,200
140,43.230083489577304,97.93147009368167,3,150,10,500,10,0.1,0,5,0.05,30,200
141,44.19721962441894,99.00150946955814,3,150,10,500,10,0.1,0,5,0.05,30,200
142,43.045929567625464,98.81195747444897,3,150,10,500,10,0.1,0,5,0.05,30,200
143,43.757420062559554,97.71998062724978,3,150,10,500,10,0.1,0,5,0.05,30,200
144,43.40096206246332,97.85160995626417,3,150,10,500,10,0.1,0,5,0.05,30,200
145,43.6136761599855,97.88220941164938,3,150,10,500,10,0.1,0,5,0.05,30,200
146,43.69792074740673,98.03973823293632,3,150,10,500,10,0.1,0,5,0.05,30,200
147,45.49442372364002,97.86914270143085,3,150,10,500,10,0.1,0,5,0.05,30,200
148,44.94618318551445,99.1164555083912,3,150,10,500,10,0.1,0,5,0.05,30,200
149,45.075982618032846,99.56353236760168,3,150,10,500,10,0.1,0,5,0.05,30,200
150,44.72902409773998,98.93249944428221,3,150,10,500,10,0.1,0,5,0.05,30,200
151,45.545286784254074,99.58847958995412,3,150,10,500,10,0.1,0,5,0.05,30,200
152,45.207190046937164,98.33212319048806,3,150,10,500,10,0.1,0,5,0.05,30,200
153,45.483254573846764,98.20735378109882,3,150,10,500,10,0.1,0,5,0.05,30,200
154,46.23995089227267,98.62684521171381,3,150,10,500,10,0.1,0,5,0.05,30,200
155,45.502320112992905,98.80289625138542,3,150,10,500,10,0.1,0,5,0.05,30,200
156,45.74717017269633,98.73824549831,3,150,10,500,10,0.1,0,5,0.05,30,200
157,45.158557491609244,99.50662282052845,3,150,10,500,10,0.1,0,5,0.05,30,200
158,45.6042342993232,99.68865154393868,3,150,10,500,10,0.1,0,5,0.05,30,200
159,44.88849744495126,99.75198328678947,3,150,10,500,10,0.1,0,5,0.05,30,200
160,44.710351122542015,98.92648469159317,3,150,10,500,10,0.1,0,5,0.05,30,200
161,45.787434841460275,98.93908603114718,3,150,10,500,10,0.1,0,5,0.05,30,200
162,45.25810291872163,98.65246811873726,3,150,10,500,10,0.1,0,5,0.05,30,200
163,44.599599522902466,98.51029952316439,3,150,10,500,10,0.1,0,5,0.05,30,200
164,46.3023577008739,100.43475128728757,3,150,10,500,10,0.1,0,5,0.05,30,200
165,46.457617325287366,100.29257437929108,3,150,10,500,10,0.1,0,5,0.05,30,200
166,46.73248392476226,99.29886263618944,3,150,10,500,10,0.1,0,5,0.05,30,200
167,46.154775334246104,100.86888395503802,3,150,10,500,10,0.1,0,5,0.05,30,200
168,46.80565812340942,99.48239912800095,3,150,10,500,10,0.1,0,5,0.05,30,200
169,46.82713084225332,98.79201138991694,3,150,10,500,10,0.1,0,5,0.05,30,200
170,47.988385865092965,98.28773547457631,3,150,10,500,10,0.1,0,5,0.05,30,200
171,46.9817395861085,98.66496986877264,3,150,10,500,10,0.1,0,5,0.05,30,200
172,47.07637303221816,98.80396531432453,3,150,10,500,10,0.1,0,5,0.05,30,200
173,47.35568852903223,99.06270112694335,3,150,10,500,10,0.1,0,5,0.05,30,200
