iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,7.134170554819466,140.02831890794803,3,150,10,500,10,1.0,0,5,0.05,30,200
1,8.375766222533672,137.97138798639347,3,150,10,500,10,1.0,0,5,0.05,30,200
2,9.50328394769429,136.36590031456242,3,150,10,500,10,1.0,0,5,0.05,30,200
3,10.73394336400852,133.92236021005434,3,150,10,500,10,1.0,0,5,0.05,30,200
4,11.131588852314941,132.3117456941558,3,150,10,500,10,1.0,0,5,0.05,30,200
5,12.098870618050016,131.85368669811874,3,150,10,500,10,1.0,0,5,0.05,30,200
6,12.707039356775498,127.7398129266556,3,150,10,500,10,1.0,0,5,0.05,30,200
7,13.142334610730977,124.40609228102352,3,150,10,500,10,1.0,0,5,0.05,30,200
8,14.015951145762802,123.95194054188784,3,150,10,500,10,1.0,0,5,0.05,30,200
9,14.609492058405474,123.58200572188561,3,150,10,500,10,1.0,0,5,0.05,30,200
10,16.188351501404274,121.37875665701867,3,150,10,500,10,1.0,0,5,0.05,30,200
11,16.124706031896356,119.47701242073303,3,150,10,500,10,1.0,0,5,0.05,30,200
12,17.29590253460679,119.42067119262434,3,150,10,500,10,1.0,0,5,0.05,30,200
13,17.354588601683435,118.42445683819828,3,150,10,500,10,1.0,0,5,0.05,30,200
14,18.258715575049287,118.09213987295942,3,150,10,500,10,1.0,0,5,0.05,30,200
15,18.748889703021415,114.03376144291192,3,150,10,500,10,1.0,0,5,0.05,30,200
16,19.82955572459605,114.82627151783207,3,150,10,500,10,1.0,0,5,0.05,30,200
17,20.831833233494407,113.61524195768017,3,150,10,500,10,1.0,0,5,0.05,30,200
18,20.09634880693259,113.96135663602074,3,150,10,500,10,1.0,0,5,0.05,30,200
19,20.765919561338674,113.3822939907485,3,150,10,500,10,1.0,0,5,0.05,30,200
20,22.121055417764897,111.71489440156797,3,150,10,500,10,1.0,0,5,0.05,30,200
21,22.064732549648447,111.03432022344505,3,150,10,500,10,1.0,0,5,0.05,30,200
22,22.98950615444111,110.37222933094377,3,150,10,500,10,1.0,0,5,0.05,30,200
23,22.694885914661068,109.48546999605736,3,150,10,500,10,1.0,0,5,0.05,30,200
24,23.05609587519859,109.64654189013963,3,150,10,500,10,1.0,0,5,0.05,30,200
25,24.09867622186568,110.8129661459353,3,150,10,500,10,1.0,0,5,0.05,30,200
26,25.360820662372358,111.0617818210193,3,150,10,500,10,1.0,0,5,0.05,30,200
27,25.633415970738263,108.69641527398194,3,150,10,500,10,1.0,0,5,0.05,30,200
28,24.97483094516945,109.63628645772275,3,150,10,500,10,1.0,0,5,0.05,30,200
29,26.591089137924634,108.46394336381371,3,150,10,500,10,1.0,0,5,0.05,30,200
30,26.988051880361546,109.22226073793529,3,150,10,500,10,1.0,0,5,0.05,30,200
31,26.77531418867802,109.05240498133426,3,150,10,500,10,1.0,0,5,0.05,30,200
32,28.437043358473215,109.05314201706682,3,150,10,500,10,1.0,0,5,0.05,30,200
33,28.5377503832096,107.5262138779166,3,150,10,500,10,1.0,0,5,0.05,30,200
34,29.515469779578805,107.6154143595379,3,150,10,500,10,1.0,0,5,0.05,30,200
35,29.16021393676402,108.03561949865589,3,150,10,500,10,1.0,0,5,0.05,30,200
36,30.341999095226747,108.2817209105013,3,150,10,500,10,1.0,0,5,0.05,30,200
37,30.693112667230594,106.27965600852473,3,150,10,500,10,1.0,0,5,0.05,30,200
38,30.15542241489812,107.38626246050677,3,150,10,500,10,1.0,0,5,0.05,30,200
39,31.032914105494445,109.31922151949902,3,150,10,500,10,1.0,0,5,0.05,30,200
40,31.021726709802216,106.00284646638623,3,150,10,500,10,1.0,0,5,0.05,30,200
41,32.9261317657815,108.66718989345188,3,150,10,500,10,1.0,0,5,0.05,30,200
42,33.23042955944681,106.17924903863839,3,150,10,500,10,1.0,0,5,0.05,30,200
43,32.30607151012354,107.92146972498291,3,150,10,500,10,1.0,0,5,0.05,30,200
44,32.44396289336699,107.62858448460342,3,150,10,500,10,1.0,0,5,0.05,30,200
45,33.814044729840816,109.0622967877286,3,150,10,500,10,1.0,0,5,0.05,30,200
46,34.17125988403478,109.13247334214626,3,150,10,500,10,1.0,0,5,0.05,30,200
47,34.394579572791166,105.69981452466341,3,150,10,500,10,1.0,0,5,0.05,30,200
48,34.189219444327385,107.58808378955469,3,150,10,500,10,1.0,0,5,0.05,30,200
49,34.51388922117535,105.60706025896555,3,150,10,500,10,1.0,0,5,0.05,30,200
50,35.49196017129086,106.10583306556909,3,150,10,500,10,1.0,0,5,0.05,30,200
51,34.74648274781754,106.28804989005994,3,150,10,500,10,1.0,0,5,0.05,30,200
52,34.89426777223086,106.56656637698025,3,150,10,500,10,1.0,0,5,0.05,30,200
53,35.468075565884234,106.72582422002918,3,150,10,500,10,1.0,0,5,0.05,30,200
54,35.93412204193173,104.96528362270556,3,150,10,500,10,1.0,0,5,0.05,30,200
55,35.27738053875715,105.26241776604587,3,150,10,500,10,1.0,0,5,0.05,30,200
56,36.79368017877727,104.28080670085582,3,150,10,500,10,1.0,0,5,0.05,30,200
57,36.052309091225084,105.56748060578641,3,150,10,500,10,1.0,0,5,0.05,30,200
58,36.55059260578981,104.16924744489309,3,150,10,500,10,1.0,0,5,0.05,30,200
59,36.43573611834086,104.65246510419858,3,150,10,500,10,1.0,0,5,0.05,30,200
60,37.958500702394,103.11472463070861,3,150,10,500,10,1.0,0,5,0.05,30,200
61,36.31255065300049,102.98597687736641,3,150,10,500,10,1.0,0,5,0.05,30,200
62,36.123719739384455,103.65998380340955,3,150,10,500,10,1.0,0,5,0.05,30,200
63,37.839889789916285,103.44889692163636,3,150,10,500,10,1.0,0,5,0.05,30,200
64,37.883104886531655,104.6166713904088,3,150,10,500,10,1.0,0,5,0.05,30,200
65,38.86035754146678,103.23488102488345,3,150,10,500,10,1.0,0,5,0.05,30,200
66,38.30407845384036,103.51029401061892,3,150,10,500,10,1.0,0,5,0.05,30,200
67,38.53283380874756,104.09733133321863,3,150,10,500,10,1.0,0,5,0.05,30,200
68,38.17317734174862,102.74380732334431,3,150,10,500,10,1.0,0,5,0.05,30,200
69,38.36280868542212,101.45899987594105,3,150,10,500,10,1.0,0,5,0.05,30,200
70,38.65669776226541,101.70000348860066,3,150,10,500,10,1.0,0,5,0.05,30,200
71,39.74063666263992,103.46057244269446,3,150,10,500,10,1.0,0,5,0.05,30,200
72,39.168914213324,102.08593268536661,3,150,10,500,10,1.0,0,5,0.05,30,200
73,39.38304825246482,102.87509038934874,3,150,10,500,10,1.0,0,5,0.05,30,200
74,40.4391825610792,104.44245428170788,3,150,10,500,10,1.0,0,5,0.05,30,200
75,38.337691859072535,101.18376827965642,3,150,10,500,10,1.0,0,5,0.05,30,200
76,39.686355234711534,101.08752292118974,3,150,10,500,10,1.0,0,5,0.05,30,200
77,40.52404166550152,101.8699978377546,3,150,10,500,10,1.0,0,5,0.05,30,200
78,40.67502514519918,102.40678048930549,3,150,10,500,10,1.0,0,5,0.05,30,200
79,40.76938497532587,101.9120692458342,3,150,10,500,10,1.0,0,5,0.05,30,200
80,41.63484233650063,104.07048928869439,3,150,10,500,10,1.0,0,5,0.05,30,200
81,41.02472338655976,102.01667196290038,3,150,10,500,10,1.0,0,5,0.05,30,200
82,41.51139839703618,101.42026433719444,3,150,10,500,10,1.0,0,5,0.05,30,200
83,42.36757728645697,100.58721608981827,3,150,10,500,10,1.0,0,5,0.05,30,200
84,42.17033275224547,101.14354193943804,3,150,10,500,10,1.0,0,5,0.05,30,200
