iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,6.971653727807056,141.6897722184404,3,150,10,500,10,0.5,0,5,0.05,30,200
1,8.18694060561898,139.27142911693855,3,150,10,500,10,0.5,0,5,0.05,30,200
2,9.32313105947268,135.02256528100796,3,150,10,500,10,0.5,0,5,0.05,30,200
3,9.413994155673679,134.18002416151975,3,150,10,500,10,0.5,0,5,0.05,30,200
4,11.626361475617484,129.49550077229807,3,150,10,500,10,0.5,0,5,0.05,30,200
5,12.178352633095352,128.53367824708408,3,150,10,500,10,0.5,0,5,0.05,30,200
6,12.839298412123666,125.85111897144878,3,150,10,500,10,0.5,0,5,0.05,30,200
7,14.258181043895895,123.46266925653771,3,150,10,500,10,0.5,0,5,0.05,30,200
8,15.588967361406697,123.91114780339284,3,150,10,500,10,0.5,0,5,0.05,30,200
9,15.65150937775846,122.3403064078517,3,150,10,500,10,0.5,0,5,0.05,30,200
10,16.990120661417333,119.45542057751848,3,150,10,500,10,0.5,0,5,0.05,30,200
11,17.0934444861299,118.41125400471483,3,150,10,500,10,0.5,0,5,0.05,30,200
12,17.87467491981326,117.04761364728492,3,150,10,500,10,0.5,0,5,0.05,30,200
13,18.609323386734136,116.51643301183826,3,150,10,500,10,0.5,0,5,0.05,30,200
14,19.631261748367262,115.21483682877209,3,150,10,500,10,0.5,0,5,0.05,30,200
15,20.677125102252223,115.00556020083864,3,150,10,500,10,0.5,0,5,0.05,30,200
16,20.998813529530654,112.72970547093139,3,150,10,500,10,0.5,0,5,0.05,30,200
17,21.855465507130496,112.34892261606416,3,150,10,500,10,0.5,0,5,0.05,30,200
18,21.861558222372867,109.94518349939213,3,150,10,500,10,0.5,0,5,0.05,30,200
19,22.94980613599684,111.00930753375484,3,150,10,500,10,0.5,0,5,0.05,30,200
20,23.930044686270406,109.4755364062664,3,150,10,500,10,0.5,0,5,0.05,30,200
21,24.009488601956722,110.5743719766407,3,150,10,500,10,0.5,0,5,0.05,30,200
22,24.562597049716995,110.30570893290077,3,150,10,500,10,0.5,0,5,0.05,30,200
23,24.945123865918745,108.92942030038851,3,150,10,500,10,0.5,0,5,0.05,30,200
24,26.29866333619735,110.3279738211423,3,150,10,500,10,0.5,0,5,0.05,30,200
25,26.925431044310578,109.5072444979694,3,150,10,500,10,0.5,0,5,0.05,30,200
