iter,loss_mean,MSE_val,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,data_noise_weight,model_max_depth,algo_lmbd,algo_S,algo_R
0,7.05579138058748,145.99939381172342,3,150,10,500,10,1.0,0,5,0.05,30,200
1,7.8542336898452625,141.34301991404175,3,150,10,500,10,1.0,0,5,0.05,30,200
2,9.82101496337439,139.19143036581806,3,150,10,500,10,1.0,0,5,0.05,30,200
3,10.612292613364795,134.4648408710602,3,150,10,500,10,1.0,0,5,0.05,30,200
4,11.503608730396618,132.51165081894578,3,150,10,500,10,1.0,0,5,0.05,30,200
5,11.920597509926433,129.17383932582138,3,150,10,500,10,1.0,0,5,0.05,30,200
6,12.78972064554164,128.67088357875673,3,150,10,500,10,1.0,0,5,0.05,30,200
7,13.68668308255028,127.03583065219236,3,150,10,500,10,1.0,0,5,0.05,30,200
8,14.22768773714561,125.11973337366571,3,150,10,500,10,1.0,0,5,0.05,30,200
9,14.798809292790274,123.56506850115004,3,150,10,500,10,1.0,0,5,0.05,30,200
10,15.511647108907436,122.8043285087574,3,150,10,500,10,1.0,0,5,0.05,30,200
11,15.653999221341431,119.7995693059019,3,150,10,500,10,1.0,0,5,0.05,30,200
12,16.007861362272973,118.62391405785071,3,150,10,500,10,1.0,0,5,0.05,30,200
13,16.959134170313177,120.11211317941549,3,150,10,500,10,1.0,0,5,0.05,30,200
14,17.25616225312545,117.38675147801318,3,150,10,500,10,1.0,0,5,0.05,30,200
15,18.89603171872049,117.58192688177148,3,150,10,500,10,1.0,0,5,0.05,30,200
16,18.940047375738857,116.57303752429861,3,150,10,500,10,1.0,0,5,0.05,30,200
17,19.723181001227978,112.72630986144638,3,150,10,500,10,1.0,0,5,0.05,30,200
18,20.399874489279124,115.65868210660427,3,150,10,500,10,1.0,0,5,0.05,30,200
19,20.688578283603327,113.82372627632226,3,150,10,500,10,1.0,0,5,0.05,30,200
20,21.906272911349614,114.55348259349911,3,150,10,500,10,1.0,0,5,0.05,30,200
21,21.958053280218568,112.53277634865493,3,150,10,500,10,1.0,0,5,0.05,30,200
22,23.59804340709437,111.82719268529958,3,150,10,500,10,1.0,0,5,0.05,30,200
23,23.638599235441404,109.02805161193683,3,150,10,500,10,1.0,0,5,0.05,30,200
24,25.07929215375621,110.52211299687227,3,150,10,500,10,1.0,0,5,0.05,30,200
25,24.763634969097808,110.45244518398246,3,150,10,500,10,1.0,0,5,0.05,30,200
26,25.748382171611592,109.82928121271368,3,150,10,500,10,1.0,0,5,0.05,30,200
27,25.72002992423126,109.10365881905436,3,150,10,500,10,1.0,0,5,0.05,30,200
28,26.373854029609355,108.22075690253419,3,150,10,500,10,1.0,0,5,0.05,30,200
