iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.058334,95.62108612060547,9.625975608825684,3,150,10,500,10,0.01,10,False,0.01,30,1500
1,84.998116,90.48882293701172,9.113665580749512,3,150,10,500,10,0.01,10,False,0.01,30,1500
2,79.20996,85.5485610961914,8.621138572692871,3,150,10,500,10,0.01,10,False,0.01,30,1500
3,73.849686,80.80157470703125,8.148938179016113,3,150,10,500,10,0.01,10,False,0.01,30,1500
4,68.94809,76.4723129272461,7.715155601501465,3,150,10,500,10,0.01,10,False,0.01,30,1500
5,64.23612,72.2835464477539,7.297102451324463,3,150,10,500,10,0.01,10,False,0.01,30,1500
6,59.93586,68.41500854492188,6.909473419189453,3,150,10,500,10,0.01,10,False,0.01,30,1500
7,55.990337,64.77411651611328,6.544339179992676,3,150,10,500,10,0.01,10,False,0.01,30,1500
8,52.282875,61.39698791503906,6.203887462615967,3,150,10,500,10,0.01,10,False,0.01,30,1500
9,48.96944,58.32032012939453,5.893197059631348,3,150,10,500,10,0.01,10,False,0.01,30,1500
10,45.776443,55.22981262207031,5.583129405975342,3,150,10,500,10,0.01,10,False,0.01,30,1500
11,42.796776,52.36629867553711,5.295655727386475,3,150,10,500,10,0.01,10,False,0.01,30,1500
12,40.024387,49.6510009765625,5.024661540985107,3,150,10,500,10,0.01,10,False,0.01,30,1500
13,37.46169,47.014976501464844,4.760253429412842,3,150,10,500,10,0.01,10,False,0.01,30,1500
14,35.134754,44.600730895996094,4.51746940612793,3,150,10,500,10,0.01,10,False,0.01,30,1500
15,32.882812,42.29068374633789,4.285923004150391,3,150,10,500,10,0.01,10,False,0.01,30,1500
16,30.8143,40.19040298461914,4.073863983154297,3,150,10,500,10,0.01,10,False,0.01,30,1500
17,28.935778,38.23008728027344,3.876849889755249,3,150,10,500,10,0.01,10,False,0.01,30,1500
18,27.131554,36.35988235473633,3.688401460647583,3,150,10,500,10,0.01,10,False,0.01,30,1500
19,25.478344,34.62652587890625,3.5130932331085205,3,150,10,500,10,0.01,10,False,0.01,30,1500
20,23.898409,32.944129943847656,3.3435513973236084,3,150,10,500,10,0.01,10,False,0.01,30,1500
21,22.385714,31.30959129333496,3.178354024887085,3,150,10,500,10,0.01,10,False,0.01,30,1500
22,20.989317,29.782318115234375,3.0242607593536377,3,150,10,500,10,0.01,10,False,0.01,30,1500
23,19.724218,28.36431121826172,2.8804068565368652,3,150,10,500,10,0.01,10,False,0.01,30,1500
24,18.527126,27.00016975402832,2.7414896488189697,3,150,10,500,10,0.01,10,False,0.01,30,1500
25,17.371632,25.658876419067383,2.6051981449127197,3,150,10,500,10,0.01,10,False,0.01,30,1500
26,16.299965,24.452678680419922,2.482778549194336,3,150,10,500,10,0.01,10,False,0.01,30,1500
27,15.336589,23.25856590270996,2.3615286350250244,3,150,10,500,10,0.01,10,False,0.01,30,1500
28,14.392067,22.100095748901367,2.2437307834625244,3,150,10,500,10,0.01,10,False,0.01,30,1500
29,13.534156,21.054950714111328,2.137627601623535,3,150,10,500,10,0.01,10,False,0.01,30,1500
30,12.724712,20.110307693481445,2.04154896736145,3,150,10,500,10,0.01,10,False,0.01,30,1500
31,11.977076,19.188594818115234,1.9472947120666504,3,150,10,500,10,0.01,10,False,0.01,30,1500
32,11.2718525,18.32576560974121,1.8583492040634155,3,150,10,500,10,0.01,10,False,0.01,30,1500
33,10.611989,17.50971794128418,1.7743149995803833,3,150,10,500,10,0.01,10,False,0.01,30,1500
34,9.983862,16.721168518066406,1.6938283443450928,3,150,10,500,10,0.01,10,False,0.01,30,1500
35,9.4032955,15.9998197555542,1.6201462745666504,3,150,10,500,10,0.01,10,False,0.01,30,1500
36,8.853235,15.268887519836426,1.5450303554534912,3,150,10,500,10,0.01,10,False,0.01,30,1500
37,8.352295,14.594240188598633,1.4756392240524292,3,150,10,500,10,0.01,10,False,0.01,30,1500
38,7.8880386,13.921050071716309,1.4064717292785645,3,150,10,500,10,0.01,10,False,0.01,30,1500
39,7.4349685,13.311644554138184,1.3439229726791382,3,150,10,500,10,0.01,10,False,0.01,30,1500
40,7.0140114,12.720959663391113,1.2834256887435913,3,150,10,500,10,0.01,10,False,0.01,30,1500
41,6.617305,12.152325630187988,1.2246686220169067,3,150,10,500,10,0.01,10,False,0.01,30,1500
42,6.2544694,11.638360977172852,1.1709914207458496,3,150,10,500,10,0.01,10,False,0.01,30,1500
43,5.8997674,11.113496780395508,1.1167899370193481,3,150,10,500,10,0.01,10,False,0.01,30,1500
