iter,loss_mean,MSE_val,MSE_params,data_n_clusters,data_n_clients,data_n_samples,data_n_samples_val,data_n_features,data_noise_scale,model_n_features,model_bias,algo_lrate,algo_S,algo_R
0,91.57365,96.49497985839844,9.606714248657227,3,150,10,500,10,1.0,10,False,0.01,30,1500
1,85.50579,91.30194854736328,9.090006828308105,3,150,10,500,10,1.0,10,False,0.01,30,1500
2,79.68608,86.3069839477539,8.590388298034668,3,150,10,500,10,1.0,10,False,0.01,30,1500
3,74.41067,81.65997314453125,8.126559257507324,3,150,10,500,10,1.0,10,False,0.01,30,1500
4,69.47983,77.3353271484375,7.694735050201416,3,150,10,500,10,1.0,10,False,0.01,30,1500
5,64.87811,73.1319580078125,7.274373531341553,3,150,10,500,10,1.0,10,False,0.01,30,1500
6,60.581627,69.25920104980469,6.886651992797852,3,150,10,500,10,1.0,10,False,0.01,30,1500
7,56.638554,65.49215698242188,6.510156154632568,3,150,10,500,10,1.0,10,False,0.01,30,1500
8,52.849102,61.99018859863281,6.159602642059326,3,150,10,500,10,1.0,10,False,0.01,30,1500
9,49.50123,58.76374435424805,5.835676670074463,3,150,10,500,10,1.0,10,False,0.01,30,1500
10,46.341568,55.86023712158203,5.5442585945129395,3,150,10,500,10,1.0,10,False,0.01,30,1500
11,43.26837,52.939430236816406,5.252729415893555,3,150,10,500,10,1.0,10,False,0.01,30,1500
12,40.54028,50.250057220458984,4.983895301818848,3,150,10,500,10,1.0,10,False,0.01,30,1500
13,37.95416,47.667728424072266,4.725215435028076,3,150,10,500,10,1.0,10,False,0.01,30,1500
14,35.58494,45.395347595214844,4.495228290557861,3,150,10,500,10,1.0,10,False,0.01,30,1500
15,33.386772,43.17005157470703,4.271849632263184,3,150,10,500,10,1.0,10,False,0.01,30,1500
16,31.284746,41.04853820800781,4.058884143829346,3,150,10,500,10,1.0,10,False,0.01,30,1500
17,29.361341,39.036293029785156,3.856031894683838,3,150,10,500,10,1.0,10,False,0.01,30,1500
18,27.506804,37.080535888671875,3.658518075942993,3,150,10,500,10,1.0,10,False,0.01,30,1500
19,25.857643,35.38287353515625,3.486926794052124,3,150,10,500,10,1.0,10,False,0.01,30,1500
20,24.26141,33.696285247802734,3.3165230751037598,3,150,10,500,10,1.0,10,False,0.01,30,1500
21,22.797098,32.12751388549805,3.1580212116241455,3,150,10,500,10,1.0,10,False,0.01,30,1500
22,21.400738,30.56212043762207,3.0006203651428223,3,150,10,500,10,1.0,10,False,0.01,30,1500
23,20.093666,29.03400230407715,2.8468289375305176,3,150,10,500,10,1.0,10,False,0.01,30,1500
24,18.886484,27.640195846557617,2.7059378623962402,3,150,10,500,10,1.0,10,False,0.01,30,1500
25,17.760332,26.375375747680664,2.577058792114258,3,150,10,500,10,1.0,10,False,0.01,30,1500
26,16.713053,25.121213912963867,2.449159860610962,3,150,10,500,10,1.0,10,False,0.01,30,1500
27,15.712239,23.930381774902344,2.329192876815796,3,150,10,500,10,1.0,10,False,0.01,30,1500
28,14.817074,22.892864227294922,2.223381757736206,3,150,10,500,10,1.0,10,False,0.01,30,1500
29,13.958485,21.815439224243164,2.114037036895752,3,150,10,500,10,1.0,10,False,0.01,30,1500
30,13.147663,20.831104278564453,2.0137405395507812,3,150,10,500,10,1.0,10,False,0.01,30,1500
31,12.393539,19.85399055480957,1.914784550666809,3,150,10,500,10,1.0,10,False,0.01,30,1500
32,11.683042,18.984691619873047,1.8264962434768677,3,150,10,500,10,1.0,10,False,0.01,30,1500
33,11.005673,18.16602325439453,1.7429317235946655,3,150,10,500,10,1.0,10,False,0.01,30,1500
34,10.38771,17.37826156616211,1.6614505052566528,3,150,10,500,10,1.0,10,False,0.01,30,1500
35,9.810831,16.633527755737305,1.5845195055007935,3,150,10,500,10,1.0,10,False,0.01,30,1500
36,9.265256,15.96307373046875,1.515242338180542,3,150,10,500,10,1.0,10,False,0.01,30,1500
37,8.744102,15.25806999206543,1.4428733587265015,3,150,10,500,10,1.0,10,False,0.01,30,1500
38,8.268075,14.670625686645508,1.3822526931762695,3,150,10,500,10,1.0,10,False,0.01,30,1500
39,7.8175325,14.054803848266602,1.319061279296875,3,150,10,500,10,1.0,10,False,0.01,30,1500
40,7.392471,13.514167785644531,1.2633776664733887,3,150,10,500,10,1.0,10,False,0.01,30,1500
41,6.9991856,12.939315795898438,1.203801155090332,3,150,10,500,10,1.0,10,False,0.01,30,1500
42,6.6341734,12.492457389831543,1.1575897932052612,3,150,10,500,10,1.0,10,False,0.01,30,1500
43,6.2937574,11.993812561035156,1.106135606765747,3,150,10,500,10,1.0,10,False,0.01,30,1500
44,5.968757,11.585831642150879,1.0632374286651611,3,150,10,500,10,1.0,10,False,0.01,30,1500
45,5.661454,11.123982429504395,1.0153690576553345,3,150,10,500,10,1.0,10,False,0.01,30,1500
46,5.3810463,10.723118782043457,0.9734897017478943,3,150,10,500,10,1.0,10,False,0.01,30,1500
47,5.104992,10.329239845275879,0.9324558973312378,3,150,10,500,10,1.0,10,False,0.01,30,1500
48,4.8548536,9.927565574645996,0.8903792500495911,3,150,10,500,10,1.0,10,False,0.01,30,1500
49,4.6237445,9.586077690124512,0.8544174432754517,3,150,10,500,10,1.0,10,False,0.01,30,1500
50,4.4023333,9.222068786621094,0.8164646029472351,3,150,10,500,10,1.0,10,False,0.01,30,1500
51,4.1871657,8.906227111816406,0.783326268196106,3,150,10,500,10,1.0,10,False,0.01,30,1500
52,3.9913785,8.60220718383789,0.751150906085968,3,150,10,500,10,1.0,10,False,0.01,30,1500
